Zählstellenname;5.03 BN - Nordbrücke (Südseite);5.03 BN - Nordbrücke (Südseite);5.03 BN - Nordbrücke (Südseite);5.03 BN - Nordbrücke (Südseite);5.04 BN - Nordbrücke (Nordseite);5.04 BN - Nordbrücke (Nordseite);5.04 BN - Nordbrücke (Nordseite);5.04 BN - Nordbrücke (Nordseite);5.05 BN - Südbrücke (Südseite);5.05 BN - Südbrücke (Südseite);5.05 BN - Südbrücke (Südseite);5.05 BN - Südbrücke (Südseite);5.06 BN - Südbrücke (Nordseite);5.06 BN - Südbrücke (Nordseite);5.06 BN - Südbrücke (Nordseite);5.06 BN - Südbrücke (Nordseite);5.07 BN - Estermannufer;5.07 BN - Estermannufer;5.07 BN - Estermannufer;5.07 BN - Estermannufer;5.10 BN - Bröhltalweg;5.10 BN - Bröhltalweg;5.10 BN - Bröhltalweg;5.10 BN - Bröhltalweg;5.11 BN - Brühler Straße;5.11 BN - Brühler Straße;5.11 BN - Brühler Straße;5.11 BN - Brühler Straße;5.12 BN - Straßburger Weg;5.12 BN - Straßburger Weg;5.08 BN - Von-Sandt-Ufer;5.08 BN - Von-Sandt-Ufer;5.08 BN - Von-Sandt-Ufer;5.08 BN - Von-Sandt-Ufer;5.08 BN - Von-Sandt-Ufer;5.08 BN - Von-Sandt-Ufer;5.09 BN - Rhenusallee;5.09 BN - Rhenusallee;5.09 BN - Rhenusallee;5.09 BN - Rhenusallee;5.09 BN - Rhenusallee;5.09 BN - Rhenusallee;5.01 BN - Kennedybrücke (Nordseite);5.01 BN - Kennedybrücke (Nordseite);5.01 BN - Kennedybrücke (Nordseite);5.01 BN - Kennedybrücke (Nordseite);5.01 BN - Kennedybrücke (Nordseite);5.01 BN - Kennedybrücke (Nordseite);5.01 BN - Kennedybrücke (Nordseite);5.01 BN - Kennedybrücke (Nordseite);5.02 BN - Kennedybrücke (Südseite) Barometer;5.02 BN - Kennedybrücke (Südseite) Barometer;5.02 BN - Kennedybrücke (Südseite) Barometer;5.02 BN - Kennedybrücke (Südseite) Barometer;5.02 BN - Kennedybrücke (Südseite) Barometer;5.02 BN - Kennedybrücke (Südseite) Barometer;5.02 BN - Kennedybrücke (Südseite) Barometer;5.02 BN - Kennedybrücke (Südseite) Barometer;Kennedybrücke;Kennedybrücke;5.14 BN - Mc Cloy Weg;5.14 BN - Mc Cloy Weg;5.14 BN - Mc Cloy Weg;5.14 BN - Mc Cloy Weg;5.15 BN - Weg auf Damm Neil;5.15 BN - Weg auf Damm Neil;5.15 BN - Weg auf Damm Neil;5.15 BN - Weg auf Damm Neil;5.13 BN - Wilhelm-Spiritus-Ufer;5.13 BN - Wilhelm-Spiritus-Ufer;5.13 BN - Wilhelm-Spiritus-Ufer;5.13 BN - Wilhelm-Spiritus-Ufer;Südbrücke;Südbrücke;Nordbrücke;Nordbrücke
time;5.03 BN - Nordbrücke (Südseite) Radfahrer Ri. Beuel;5.03 BN - Nordbrücke (Südseite) Radfahrer Ri. Auerberg;5.03 BN - Nordbrücke (Südseite) [Bike IN];5.03 BN - Nordbrücke (Südseite) [Bike OUT];5.04 BN - Nordbrücke (Nordseite) Radfahrer Ri. Beuel;5.04 BN - Nordbrücke (Nordseite) Radfahrer Ri. Auerberg;5.04 BN - Nordbrücke (Nordseite) [Bike IN];5.04 BN - Nordbrücke (Nordseite) [Bike OUT];5.05 BN - Südbrücke (Südseite) Radfahrer Ri. Gronau;5.05 BN - Südbrücke (Südseite) Radfahrer Ri. Ramersdorf;5.05 BN - Südbrücke (Südseite) [Bike IN];5.05 BN - Südbrücke (Südseite) [Bike OUT];5.06 BN - Südbrücke (Nordseite) Radfahrer Ri. Gronau;5.06 BN - Südbrücke (Nordseite) Radfahrer Ri. Ri. Ramersdorf;5.06 BN - Südbrücke (Nordseite) [Bike IN];5.06 BN - Südbrücke (Nordseite) [Bike OUT];5.07 BN - Estermannufer Radfahrer Ri. Bonn;5.07 BN - Estermannufer Radfahrer Ri. Köln;5.07 BN - Estermannufer [Bike IN];5.07 BN - Estermannufer [Bike OUT];5.10 BN - Bröhltalweg Radfahrer Ri. Villich;5.10 BN - Bröhltalweg Radfahrer Ri. Beuel;5.10 BN - Bröhltalweg [Bike IN];5.10 BN - Bröhltalweg [Bike OUT];5.11 BN - Brühler Straße Radfahrer Ri. Süden;5.11 BN - Brühler Straße Radfahrer Ri. Norden;5.11 BN - Brühler Straße [Bike IN];5.11 BN - Brühler Straße [Bike OUT];5.12 BN - Straßenburger Weg Radfahrer Ri. Süden;5.12 BN - Straßenburger Weg Radfahrer Ri. Norden;5.08 BN - Von-Sandt-Ufer Radfahrer Ri. Bad Godesberg;5.08 BN - Von-Sandt-Ufer Radfahrer Ri. Bonn;5.08 BN - Von-Sandt-Ufer [Bike IN];5.08 BN - Von-Sandt-Ufer [Bike IN];5.08 BN - Von-Sandt-Ufer [Bike OUT];5.08 BN - Von-Sandt-Ufer [Bike OUT];5.09 BN - Rhenusallee Radfahrer Ri. Beuel;5.09 BN - Rhenusallee Radfahrer Ri. Oberkassel;5.09 BN - Rhenusallee [Bike IN];5.09 BN - Rhenusallee [Bike IN];5.09 BN - Rhenusallee [Bike OUT];5.09 BN - Rhenusallee [Bike OUT];5.01 BN - Kennedybrücke (Nordseite) Radfahrer Ri. Innenstadt;5.01 BN - Kennedybrücke (Nordseite) Radfahrer Ri. Beuel;5.01 BN - Kennedybrücke (Nordseite) [Bike IN];5.01 BN - Kennedybrücke (Nordseite) [Bike IN];5.01 BN - Kennedybrücke (Nordseite) [Bike IN];5.01 BN - Kennedybrücke (Nordseite) [Bike OUT];5.01 BN - Kennedybrücke (Nordseite) [Bike OUT];5.01 BN - Kennedybrücke (Nordseite) [Bike OUT];5.02 BN - Kennedybrücke (Südseite) IN;5.02 BN - Kennedybrücke (Südseite) Barometer Radfahrer Ri. Beuel;5.02 BN - Kennedybrücke (Südseite) Barometer [Bike IN];5.02 BN - Kennedybrücke (Südseite) Barometer [Bike IN];5.02 BN - Kennedybrücke (Südseite) Barometer [Bike IN];5.02 BN - Kennedybrücke (Südseite) Barometer [Bike OUT];5.02 BN - Kennedybrücke (Südseite) Barometer [Bike OUT];5.02 BN - Kennedybrücke (Südseite) Barometer [Bike OUT];Kennedybrücke Radfahrer Ri. Innenstadt;Kennedybrücke Radfahrer Ri. Beuel;5.14 BN - Mc Cloy Weg Radfahrer Ri. Remagen;5.14 BN - Mc Cloy Weg Radfahrer Ri. Bonn;5.14 BN - Mc Cloy Weg Radfahrer Ri. Remagen;5.14 BN - Mc Cloy Weg Radfahrer Ri. Bonn;5.15 BN - Weg auf Damm Neil Radfahrer Ri. Norden;5.15 BN - Weg auf Damm Neil Radfahrer Ri. Süden;5.15 BN - Weg auf Damm Neil Radfahrer Ri. Norden;5.15 BN - Weg auf Damm Neil Radfahrer Ri. Süden;5.13 BN - Wilhelm-Spiritus-Ufer Radfahrer Ri. Süden;5.13 BN - Wilhelm-Spiritus-Ufer Radfahrer Ri. Norden;5.13 BN - Wilhelm-Spiritus-Ufer Radfahrer Ri. Süden;5.13 BN - Wilhelm-Spiritus-Ufer Radfahrer Ri. Norden;Südbrücke Radfahrer Ri. Oberkassel;Südbrücke Radfahrer Ri. Rheinaue;Nordbrücke Radfahrer Ri. Beuel;Nordbrücke Radfahrer Ri. Auerberg
2022-01-01 00:00;0;0;0;0;0;0;0;0;4;0;1;0;1;0;0;0;0;0;0;0;;;;;0;0;0;0;;;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;2;4;0;0;0;0;0;0;0;0;0;0;0;2;5;1;0;0
2022-01-01 00:15;0;0;0;2;0;0;0;1;0;0;0;2;1;0;0;1;0;0;0;0;;;;;0;0;1;0;;;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;1;0;0;0;2;0;1;0;2;0;0;0;1;3;4;0;0;0;0;0;0;0;0;2;0;0;2;1;3;0;3
2022-01-01 00:30;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;;;;;0;4;1;2;;;1;2;1;0;1;1;0;0;1;0;1;0;0;0;0;2;0;0;0;2;1;0;1;0;0;0;1;1;4;4;0;0;0;0;0;1;0;0;1;1;0;1;3;1;0;0
2022-01-01 00:45;0;0;0;2;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;;;;;0;0;0;0;;;0;2;2;0;1;0;0;1;2;1;0;0;0;0;0;5;0;0;1;4;0;0;0;0;0;1;4;2;5;12;1;1;0;1;0;0;0;1;2;0;0;1;1;2;0;2
2022-01-01 01:00;1;0;0;2;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;;;;;0;0;1;0;;;0;0;1;1;0;0;0;1;0;2;0;0;1;0;0;5;0;0;0;0;0;0;0;2;3;0;11;4;11;15;0;0;1;0;2;0;1;1;0;0;1;0;0;3;1;2
2022-01-01 01:15;1;0;0;0;0;1;0;0;0;0;2;1;2;0;0;0;1;0;1;0;;;;;1;2;1;1;;;1;3;1;0;1;1;0;1;0;1;0;0;0;0;1;8;0;0;0;4;0;0;0;2;5;1;8;4;16;17;0;0;0;0;5;0;1;0;1;0;0;1;2;3;1;1
2022-01-01 01:30;0;0;0;1;0;0;0;0;5;0;0;1;3;0;0;0;0;0;0;0;;;;;1;3;0;1;;;2;1;3;0;0;0;0;0;0;0;1;0;0;0;1;4;0;0;0;0;0;1;1;1;3;0;2;1;10;4;0;1;0;0;3;1;0;1;0;0;1;0;5;4;0;1
2022-01-01 01:45;0;0;0;2;0;0;0;1;2;0;0;1;0;1;0;1;0;0;0;0;;;;;0;1;0;1;;;0;1;0;0;2;0;0;1;0;1;2;1;0;0;0;2;0;0;2;0;0;1;1;0;5;0;10;0;8;13;0;0;0;0;0;1;0;1;0;1;0;2;4;1;0;3
2022-01-01 02:00;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;2;0;0;0;0;;;;;0;0;0;0;;;0;2;0;1;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;2;0;0;1;0;1;1;11;4;5;18;0;0;0;0;1;0;0;2;0;0;1;0;2;2;0;1
2022-01-01 02:15;0;0;0;1;0;0;0;0;2;0;0;1;2;0;0;0;0;0;0;1;;;;;1;0;1;0;;;0;1;0;0;0;0;0;0;3;4;2;0;0;0;0;3;0;0;1;2;0;0;1;1;4;0;6;2;9;11;3;0;0;0;4;0;2;0;1;0;1;1;2;3;0;1
2022-01-01 02:30;0;0;0;1;0;0;0;0;3;2;1;1;1;1;1;2;0;1;0;1;;;;;0;0;2;0;;;0;0;2;0;0;0;0;0;3;1;0;0;0;0;0;4;0;0;1;2;0;0;1;1;2;3;4;2;8;12;0;2;0;0;5;0;2;0;2;0;2;0;7;5;0;1
2022-01-01 02:45;0;0;0;2;0;0;0;0;1;2;1;1;0;0;1;0;0;0;0;0;;;;;2;0;1;0;;;0;1;0;0;0;0;0;0;0;0;3;1;0;0;2;14;0;0;0;6;0;0;0;0;0;0;10;2;16;18;0;1;0;0;1;0;3;1;1;0;0;0;2;4;0;2
2022-01-01 03:00;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;;;;;0;0;0;0;;;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;3;0;0;0;1;0;0;0;3;1;1;8;0;7;10;0;0;0;0;1;0;0;0;1;0;0;0;1;2;0;1
2022-01-01 03:15;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;1;0;0;0;0;;;;;1;1;1;1;;;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;3;0;0;1;3;0;0;0;0;0;2;8;5;5;19;1;0;0;0;1;0;0;0;0;0;0;0;1;3;0;1
2022-01-01 03:30;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;;;;;1;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;5;0;0;0;3;0;0;0;1;4;0;7;1;12;11;0;0;0;0;0;1;0;2;3;1;0;1;4;0;0;0
2022-01-01 03:45;0;1;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;;;0;0;0;0;0;0;1;0;0;2;0;0;0;1;0;4;0;0;0;1;0;0;0;0;5;1;9;4;9;16;0;0;0;0;2;0;1;0;2;0;1;0;1;0;0;3
2022-01-01 04:00;0;1;0;1;0;1;1;1;2;1;1;0;1;0;0;0;0;0;0;0;;;;;0;3;0;0;;;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;2;0;1;1;2;0;0;0;2;2;0;4;0;6;8;0;0;0;0;1;0;1;1;0;0;0;0;3;2;1;4
2022-01-01 04:15;0;1;0;1;0;0;0;0;0;2;0;1;1;0;1;0;0;0;0;0;;;;;0;1;1;0;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;2;3;1;0;1;7;2;0;0;0;0;1;0;0;0;0;0;0;0;0;5;0;2
2022-01-01 04:30;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;;;;0;0;0;0;;;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;5;1;2;6;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1
2022-01-01 04:45;0;0;0;0;0;0;0;0;0;1;0;2;1;0;0;0;1;0;1;0;;;;;1;0;0;0;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4;0;3;1;4;5;0;0;0;0;0;0;1;0;0;0;0;0;0;4;0;0
2022-01-01 05:00;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;;;;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;2;0;0;1;4;2;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1
2022-01-01 05:15;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;;;;;0;0;1;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;1;2;1;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0
2022-01-01 05:30;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;;;;;0;0;1;0;;;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;5;1;2;8;1;0;0;0;0;0;0;1;0;0;0;2;0;3;0;1
2022-01-01 05:45;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;;;;;0;0;0;0;;;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;3;0;2;4;0;2;0;0;1;0;0;0;0;0;0;2;1;1;0;0
2022-01-01 06:00;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;0;1;0;;;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;1;0;1;0;0;0;2;0;4;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;1;1
2022-01-01 06:15;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;;;;;0;0;0;0;;;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;1;1;0;0
2022-01-01 06:30;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;;;;;0;0;0;0;;;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;3;0;2;3;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;2
2022-01-01 06:45;0;0;0;0;0;0;0;0;1;0;1;0;2;0;0;0;0;0;0;0;;;;;0;0;0;0;;;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;2;1;0;0;0;0;0;1;0;0;1;0;0;0;2;2;0;0
2022-01-01 07:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022-01-01 07:15;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;;;;;0;0;0;0;;;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;3;1;2;5;2;0;0;1;0;0;0;1;0;1;0;1;0;0;1;1
2022-01-01 07:30;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;1;0;;;2;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;3;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0
2022-01-01 07:45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;;;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;1;2;0;0;0;1;0;0;0;2;1;0;0;1;0;0;0;0
2022-01-01 08:00;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;1;;;;;0;0;0;0;;;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;1;0;4;0;5;4;1;1;0;0;0;0;0;0;2;0;0;1;1;3;0;0
2022-01-01 08:15;0;0;0;0;0;0;0;1;2;1;0;0;3;0;0;2;0;2;0;0;;;;;0;0;2;0;;;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;1;2;1;0;0;1;1;0;1;0;0;0;0;0;4;4;0;1
2022-01-01 08:30;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;;;;;0;0;1;0;;;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;3;0;0;0;0;0;1;1;1;2;2;3;0;7;7;0;1;1;0;2;0;0;2;1;1;0;4;2;1;0;0
2022-01-01 08:45;1;0;0;1;0;2;0;1;0;0;0;1;1;0;0;0;1;0;0;0;;;;;0;3;0;1;;;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;3;0;2;3;0;0;0;1;1;0;0;1;1;0;0;5;0;2;1;4
2022-01-01 09:00;0;0;0;0;1;2;0;0;1;0;0;0;0;2;0;2;0;0;0;2;;;;;0;2;1;1;;;0;3;0;0;2;0;0;0;1;2;0;1;0;0;0;4;0;0;0;1;0;0;0;0;0;1;5;0;4;7;1;2;0;2;2;0;1;1;1;0;0;7;5;0;1;2
2022-01-01 09:15;2;0;0;2;0;0;0;0;1;0;0;2;0;2;1;0;0;0;0;0;;;;;1;0;4;1;;;1;2;1;2;4;0;0;1;0;1;4;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;3;0;2;4;3;1;0;3;2;0;0;5;1;1;0;4;3;3;2;2
2022-01-01 09:30;1;0;0;1;1;0;0;0;5;1;0;0;2;1;0;1;3;0;0;0;;;;;0;1;1;1;;;1;0;3;0;0;0;0;2;0;4;0;0;0;0;2;4;0;0;1;1;0;1;0;0;0;1;4;0;6;8;4;1;0;4;4;0;0;0;3;0;0;3;7;3;2;1
2022-01-01 09:45;3;0;2;0;0;0;0;0;2;0;1;1;0;0;0;2;3;0;1;0;;;;;0;0;0;2;;;0;5;2;0;0;0;0;1;0;5;1;0;0;0;0;4;0;0;0;1;0;0;0;0;0;0;3;0;4;4;4;0;0;1;5;1;0;3;4;1;0;5;5;1;5;0
2022-01-01 10:00;7;0;0;4;0;2;0;0;2;1;0;4;0;1;0;3;2;0;2;1;;;;;0;1;1;0;;;1;2;3;1;1;0;0;5;4;2;1;2;0;0;1;1;0;0;0;0;0;0;0;3;1;0;9;0;6;9;1;4;0;4;4;0;1;1;5;2;0;9;6;5;7;6
2022-01-01 10:15;2;1;1;4;0;0;0;1;5;1;0;5;2;1;1;6;2;0;2;0;;;;;0;2;0;0;;;1;5;2;2;3;1;2;6;2;13;2;0;0;0;2;6;0;0;1;0;0;0;0;2;0;0;3;0;10;4;7;2;1;3;6;0;1;4;4;3;0;9;12;9;3;6
2022-01-01 10:30;1;0;0;0;0;2;0;2;6;0;0;1;6;3;1;6;0;3;0;5;;;;;0;0;0;0;;;4;8;6;3;0;0;0;6;1;7;6;0;0;0;0;7;0;0;1;1;0;0;0;3;1;0;7;0;11;9;4;2;2;3;16;1;1;7;17;2;0;11;15;8;1;4
2022-01-01 10:45;4;0;3;5;0;2;0;0;5;2;1;3;3;2;0;3;3;1;1;1;;;;;0;0;1;0;;;3;9;8;1;1;0;1;6;4;11;0;0;1;0;0;9;0;0;0;2;0;0;0;1;4;1;10;1;15;14;4;3;0;6;7;0;0;11;3;1;1;8;11;8;7;7
2022-01-01 11:00;1;0;3;8;0;2;0;7;4;1;1;3;3;3;0;3;1;0;0;1;;;;;0;1;1;2;;;2;2;8;0;1;0;0;7;1;7;2;0;0;0;1;5;0;0;1;0;0;2;0;3;2;2;7;2;11;14;3;3;0;8;13;1;2;9;15;2;1;12;11;7;4;17
2022-01-01 11:15;1;1;0;11;1;2;1;3;2;0;0;1;2;2;0;4;7;2;3;3;;;;;1;3;1;0;;;3;17;8;0;1;0;0;4;2;13;5;0;0;0;2;10;0;0;0;0;0;2;0;0;1;4;11;2;13;19;9;2;0;5;8;1;2;11;7;3;0;13;8;3;3;17
2022-01-01 11:30;3;2;1;7;0;0;0;7;2;1;0;3;10;1;1;14;1;2;0;0;;;;;1;0;0;0;;;3;10;3;2;2;0;0;11;6;11;8;0;0;0;3;10;0;1;0;1;0;0;0;0;3;0;5;0;16;7;11;8;2;10;15;3;1;16;6;3;1;10;17;15;4;16
2022-01-01 11:45;2;2;1;8;3;1;0;3;10;0;1;3;9;0;1;5;9;0;3;4;;;;;1;3;3;1;;;6;17;8;0;1;0;2;10;3;11;4;0;1;0;2;11;0;0;0;2;0;1;0;1;7;0;21;0;22;24;6;3;1;5;23;2;1;14;13;4;1;22;16;13;6;14
2022-01-01 12:00;4;0;1;8;1;4;1;9;26;1;5;6;4;1;1;5;5;1;3;5;;;;;1;2;1;0;;;4;15;12;5;4;0;0;20;3;11;8;4;1;0;0;10;0;0;2;4;0;0;1;1;8;1;14;1;21;22;8;3;1;16;15;5;1;21;16;3;2;13;37;12;7;21
2022-01-01 12:15;3;1;0;17;2;3;0;4;19;1;6;4;9;1;1;8;8;1;3;8;;;;;1;1;3;0;;;3;13;14;4;4;0;0;16;5;20;15;1;0;0;4;21;0;0;3;5;0;0;1;2;3;2;10;1;31;21;11;2;0;17;17;1;4;25;11;2;2;12;34;15;5;25
2022-01-01 12:30;1;3;0;24;2;2;1;11;13;7;1;4;9;1;3;4;3;4;0;3;;;;;0;2;1;0;;;4;8;17;5;5;0;1;14;9;17;9;2;0;0;1;22;0;0;5;2;0;3;1;0;2;2;19;0;26;31;7;5;0;10;23;3;1;29;13;4;1;30;19;23;4;40
2022-01-01 12:45;6;2;4;6;0;2;1;8;15;4;2;5;12;3;4;6;9;5;3;9;;;;;3;1;8;0;;;3;23;10;3;4;1;2;17;8;8;17;0;0;0;2;16;0;0;1;5;0;1;0;1;6;2;25;4;25;38;15;4;3;19;12;7;2;29;21;3;0;21;26;25;11;18
2022-01-01 13:00;2;2;1;14;2;0;0;3;9;4;2;7;7;4;2;4;2;0;2;6;;;;;1;2;9;0;;;4;15;26;8;1;0;1;10;14;19;8;5;1;0;4;15;0;0;1;4;0;0;0;1;9;2;28;5;30;40;9;4;5;21;40;1;5;37;22;6;1;22;19;20;5;19
2022-01-01 13:15;9;0;2;12;4;3;0;8;17;0;2;6;19;5;7;8;8;2;5;12;;;;;2;4;6;0;;;7;27;21;7;3;1;0;33;7;12;19;4;0;0;2;15;0;0;2;4;0;0;0;1;11;1;36;5;29;48;24;5;9;19;24;2;4;34;25;5;0;39;32;32;15;23
2022-01-01 13:30;11;2;2;21;2;0;1;6;19;0;3;15;6;0;7;11;20;5;2;2;;;;;0;2;4;1;;;2;29;10;7;11;1;2;20;11;30;16;2;0;0;5;19;0;1;5;9;0;1;0;1;8;1;30;6;33;53;6;5;2;18;34;2;2;21;25;4;3;21;33;28;16;29
2022-01-01 13:45;11;6;5;26;8;2;4;8;26;2;0;18;14;5;4;16;9;7;5;13;;;;;0;5;2;2;;;1;23;18;6;6;1;3;21;13;25;21;6;1;0;6;32;0;0;2;7;0;1;1;3;10;0;43;6;53;59;11;16;2;25;26;7;4;46;38;6;2;47;47;38;28;42
2022-01-01 14:00;6;0;0;31;5;5;3;6;27;3;4;12;20;4;3;18;10;8;4;16;;;;;0;5;7;0;;;5;16;23;11;6;0;0;23;17;28;22;3;0;0;2;16;0;0;2;3;0;1;0;1;14;3;26;7;33;42;20;7;8;15;47;4;4;39;32;7;2;34;53;38;14;42
2022-01-01 14:15;14;4;0;19;7;3;2;10;29;1;3;18;22;8;3;17;10;2;5;11;;;;;0;8;4;3;;;4;31;18;4;1;0;7;22;29;26;31;2;1;0;8;17;0;0;1;9;0;1;0;3;9;2;37;5;38;55;15;8;9;9;30;5;5;56;23;8;5;30;57;44;23;36
2022-01-01 14:30;19;12;2;28;11;3;0;16;29;4;3;22;22;6;7;27;7;4;5;8;;;;;2;5;7;0;;;8;22;24;11;5;0;0;26;25;23;32;11;0;0;2;18;0;1;1;9;0;1;0;2;13;0;32;13;35;57;18;7;3;23;35;3;2;50;42;5;3;35;65;55;32;59
2022-01-01 14:45;8;3;2;33;1;2;3;7;30;7;5;30;28;2;6;15;14;5;1;17;;;;;0;3;5;0;;;5;29;40;5;6;1;3;10;37;33;26;4;2;0;6;28;0;0;6;11;0;0;0;2;16;2;39;8;54;66;21;0;0;14;54;2;10;44;31;5;2;32;52;71;14;45
2022-01-01 15:00;7;4;2;22;0;9;0;11;31;2;7;17;26;1;10;13;18;2;1;6;;;;;1;8;1;7;;;15;16;24;12;5;2;1;11;16;25;33;1;4;1;8;53;0;0;2;18;0;0;0;4;13;1;54;10;82;86;26;5;0;23;62;5;6;32;57;2;10;34;52;55;9;46
2022-01-01 15:15;5;1;3;22;4;3;0;11;41;1;9;23;29;3;9;18;12;7;3;9;;;;;0;2;1;0;;;7;21;21;9;5;1;1;29;21;24;18;4;2;0;3;32;0;0;3;15;0;1;0;4;18;3;35;10;59;67;23;1;5;15;30;5;3;40;24;5;1;43;71;62;12;37
2022-01-01 15:30;9;2;1;13;2;2;1;13;14;4;5;24;23;5;14;17;6;2;1;16;;;;;0;4;8;0;;;10;16;32;14;6;0;1;34;34;39;20;1;1;0;4;26;0;0;2;9;0;0;2;2;17;0;28;10;52;49;26;5;0;20;39;2;3;41;53;3;7;36;41;65;13;30
2022-01-01 15:45;7;9;0;18;0;10;0;19;18;0;7;12;27;1;5;12;2;7;7;11;;;;;0;2;7;2;;;4;22;19;5;0;0;9;31;15;28;10;3;1;0;11;37;0;0;2;5;0;1;1;3;13;0;40;1;66;49;19;2;3;13;39;7;5;40;37;3;6;27;38;44;7;56
2022-01-01 16:00;9;2;1;25;3;7;0;6;17;1;4;16;20;2;9;7;8;2;3;7;;;;;0;0;2;0;;;6;23;12;10;4;0;1;18;16;23;11;1;2;0;2;32;0;0;3;3;0;2;0;1;13;5;34;8;50;55;9;5;1;11;35;3;5;20;34;1;5;21;30;46;13;40
