 ,5.09 BN - Rhenusallee ,5.09 BN - Rhenusallee Radfahrer Ri. Beuel ,5.09 BN - Rhenusallee Radfahrer Ri. Oberkassel
2016-02-04-16-15-00,4,3,1
2016-02-04-16-30-00,10,6,4
2016-02-04-16-45-00,7,4,3
2016-02-04-17-00-00,15,14,1
2016-02-04-17-15-00,11,8,3
2016-02-04-17-30-00,12,7,5
2016-02-04-17-45-00,9,8,1
2016-02-04-18-00-00,7,6,1
2016-02-04-18-15-00,10,10,0
2016-02-04-18-30-00,10,8,2
2016-02-04-18-45-00,5,5,0
2016-02-04-19-00-00,3,3,0
2016-02-04-19-15-00,4,3,1
2016-02-04-19-30-00,3,1,2
2016-02-04-19-45-00,3,2,1
2016-02-04-20-00-00,3,3,0
2016-02-04-20-15-00,4,0,4
2016-02-04-20-30-00,1,0,1
2016-02-04-20-45-00,3,2,1
2016-02-04-21-00-00,0,0,0
2016-02-04-21-15-00,1,1,0
2016-02-04-21-30-00,3,1,2
2016-02-04-21-45-00,3,2,1
2016-02-04-22-00-00,0,0,0
2016-02-04-22-15-00,1,0,1
2016-02-04-22-30-00,0,0,0
2016-02-04-22-45-00,3,3,0
2016-02-04-23-00-00,1,1,0
2016-02-04-23-15-00,0,0,0
2016-02-04-23-30-00,0,0,0
2016-02-04-23-45-00,0,0,0
2016-02-05-00-00-00,0,0,0
2016-02-05-00-15-00,1,0,1
2016-02-05-00-30-00,0,0,0
2016-02-05-00-45-00,0,0,0
2016-02-05-01-00-00,1,0,1
2016-02-05-01-15-00,0,0,0
2016-02-05-01-30-00,0,0,0
2016-02-05-01-45-00,0,0,0
2016-02-05-02-00-00,0,0,0
2016-02-05-02-15-00,1,0,1
2016-02-05-02-30-00,0,0,0
2016-02-05-02-45-00,0,0,0
2016-02-05-03-00-00,0,0,0
2016-02-05-03-15-00,0,0,0
2016-02-05-03-30-00,0,0,0
2016-02-05-03-45-00,0,0,0
2016-02-05-04-00-00,0,0,0
2016-02-05-04-15-00,0,0,0
2016-02-05-04-30-00,0,0,0
2016-02-05-04-45-00,0,0,0
2016-02-05-05-00-00,2,2,0
2016-02-05-05-15-00,0,0,0
2016-02-05-05-30-00,0,0,0
2016-02-05-05-45-00,3,0,3
2016-02-05-06-00-00,0,0,0
2016-02-05-06-15-00,1,0,1
2016-02-05-06-30-00,5,2,3
2016-02-05-06-45-00,6,2,4
2016-02-05-07-00-00,9,2,7
2016-02-05-07-15-00,9,4,5
2016-02-05-07-30-00,7,2,5
2016-02-05-07-45-00,14,7,7
2016-02-05-08-00-00,9,0,9
2016-02-05-08-15-00,16,4,12
2016-02-05-08-30-00,12,0,12
2016-02-05-08-45-00,15,3,12
2016-02-05-09-00-00,14,2,12
2016-02-05-09-15-00,9,1,8
2016-02-05-09-30-00,8,3,5
2016-02-05-09-45-00,3,3,0
2016-02-05-10-00-00,5,4,1
2016-02-05-10-15-00,3,1,2
2016-02-05-10-30-00,2,0,2
2016-02-05-10-45-00,5,3,2
2016-02-05-11-00-00,6,4,2
2016-02-05-11-15-00,3,0,3
2016-02-05-11-30-00,3,2,1
2016-02-05-11-45-00,0,0,0
2016-02-05-12-00-00,5,1,4
2016-02-05-12-15-00,7,4,3
2016-02-05-12-30-00,7,4,3
2016-02-05-12-45-00,1,0,1
2016-02-05-13-00-00,6,5,1
2016-02-05-13-15-00,6,4,2
2016-02-05-13-30-00,7,6,1
2016-02-05-13-45-00,10,3,7
2016-02-05-14-00-00,8,4,4
2016-02-05-14-15-00,10,9,1
2016-02-05-14-30-00,14,8,6
2016-02-05-14-45-00,11,8,3
2016-02-05-15-00-00,11,9,2
2016-02-05-15-15-00,12,10,2
2016-02-05-15-30-00,9,9,0
2016-02-05-15-45-00,22,9,13
2016-02-05-16-00-00,24,19,5
2016-02-05-16-15-00,10,8,2
2016-02-05-16-30-00,18,15,3
2016-02-05-16-45-00,16,8,8
2016-02-05-17-00-00,11,7,4
2016-02-05-17-15-00,28,18,10
2016-02-05-17-30-00,19,11,8
2016-02-05-17-45-00,8,6,2
2016-02-05-18-00-00,7,3,4
2016-02-05-18-15-00,8,7,1
2016-02-05-18-30-00,8,4,4
2016-02-05-18-45-00,9,7,2
2016-02-05-19-00-00,4,1,3
2016-02-05-19-15-00,8,4,4
2016-02-05-19-30-00,5,3,2
2016-02-05-19-45-00,7,5,2
2016-02-05-20-00-00,3,2,1
2016-02-05-20-15-00,1,1,0
2016-02-05-20-30-00,3,1,2
2016-02-05-20-45-00,7,3,4
2016-02-05-21-00-00,1,0,1
2016-02-05-21-15-00,5,3,2
2016-02-05-21-30-00,2,2,0
2016-02-05-21-45-00,1,0,1
2016-02-05-22-00-00,0,0,0
2016-02-05-22-15-00,2,2,0
2016-02-05-22-30-00,0,0,0
2016-02-05-22-45-00,0,0,0
2016-02-05-23-00-00,1,0,1
2016-02-05-23-15-00,1,0,1
2016-02-05-23-30-00,3,3,0
2016-02-05-23-45-00,1,0,1
2016-02-06-00-00-00,1,1,0
2016-02-06-00-15-00,0,0,0
2016-02-06-00-30-00,2,2,0
2016-02-06-00-45-00,0,0,0
2016-02-06-01-00-00,0,0,0
2016-02-06-01-15-00,3,0,3
2016-02-06-01-30-00,4,2,2
2016-02-06-01-45-00,0,0,0
2016-02-06-02-00-00,1,1,0
2016-02-06-02-15-00,1,0,1
2016-02-06-02-30-00,1,1,0
2016-02-06-02-45-00,1,0,1
2016-02-06-03-00-00,0,0,0
2016-02-06-03-15-00,1,0,1
2016-02-06-03-30-00,0,0,0
2016-02-06-03-45-00,0,0,0
2016-02-06-04-00-00,1,1,0
2016-02-06-04-15-00,0,0,0
2016-02-06-04-30-00,1,0,1
2016-02-06-04-45-00,1,1,0
2016-02-06-05-00-00,0,0,0
2016-02-06-05-15-00,0,0,0
2016-02-06-05-30-00,0,0,0
2016-02-06-05-45-00,0,0,0
2016-02-06-06-00-00,0,0,0
2016-02-06-06-15-00,1,1,0
2016-02-06-06-30-00,0,0,0
2016-02-06-06-45-00,0,0,0
2016-02-06-07-00-00,0,0,0
2016-02-06-07-15-00,3,2,1
2016-02-06-07-30-00,1,0,1
2016-02-06-07-45-00,1,0,1
2016-02-06-08-00-00,2,1,1
2016-02-06-08-15-00,4,2,2
2016-02-06-08-30-00,3,0,3
2016-02-06-08-45-00,6,3,3
2016-02-06-09-00-00,2,0,2
2016-02-06-09-15-00,3,2,1
2016-02-06-09-30-00,6,3,3
2016-02-06-09-45-00,5,4,1
2016-02-06-10-00-00,7,5,2
2016-02-06-10-15-00,18,13,5
2016-02-06-10-30-00,18,5,13
2016-02-06-10-45-00,28,16,12
2016-02-06-11-00-00,20,10,10
2016-02-06-11-15-00,23,15,8
2016-02-06-11-30-00,23,14,9
2016-02-06-11-45-00,35,10,25
2016-02-06-12-00-00,36,15,21
2016-02-06-12-15-00,25,12,13
2016-02-06-12-30-00,26,9,17
2016-02-06-12-45-00,41,11,30
2016-02-06-13-00-00,32,13,19
2016-02-06-13-15-00,41,16,25
2016-02-06-13-30-00,43,19,24
2016-02-06-13-45-00,37,19,18
2016-02-06-14-00-00,61,33,28
2016-02-06-14-15-00,51,30,21
2016-02-06-14-30-00,62,33,29
2016-02-06-14-45-00,48,22,26
2016-02-06-15-00-00,54,22,32
2016-02-06-15-15-00,41,18,23
2016-02-06-15-30-00,39,22,17
2016-02-06-15-45-00,38,32,6
2016-02-06-16-00-00,53,28,25
2016-02-06-16-15-00,22,13,9
2016-02-06-16-30-00,16,10,6
2016-02-06-16-45-00,34,23,11
2016-02-06-17-00-00,27,16,11
2016-02-06-17-15-00,13,11,2
2016-02-06-17-30-00,11,9,2
2016-02-06-17-45-00,24,18,6
2016-02-06-18-00-00,14,11,3
2016-02-06-18-15-00,8,4,4
2016-02-06-18-30-00,6,5,1
2016-02-06-18-45-00,3,2,1
2016-02-06-19-00-00,5,1,4
2016-02-06-19-15-00,3,3,0
2016-02-06-19-30-00,4,3,1
2016-02-06-19-45-00,2,1,1
2016-02-06-20-00-00,6,4,2
2016-02-06-20-15-00,0,0,0
2016-02-06-20-30-00,2,1,1
2016-02-06-20-45-00,2,0,2
2016-02-06-21-00-00,0,0,0
2016-02-06-21-15-00,3,2,1
2016-02-06-21-30-00,2,1,1
2016-02-06-21-45-00,4,2,2
2016-02-06-22-00-00,2,2,0
2016-02-06-22-15-00,0,0,0
2016-02-06-22-30-00,2,2,0
2016-02-06-22-45-00,0,0,0
2016-02-06-23-00-00,1,1,0
2016-02-06-23-15-00,0,0,0
2016-02-06-23-30-00,1,0,1
2016-02-06-23-45-00,0,0,0
2016-02-07-00-00-00,0,0,0
2016-02-07-00-15-00,1,1,0
2016-02-07-00-30-00,2,2,0
2016-02-07-00-45-00,0,0,0
2016-02-07-01-00-00,2,0,2
2016-02-07-01-15-00,2,2,0
2016-02-07-01-30-00,0,0,0
2016-02-07-01-45-00,1,0,1
2016-02-07-02-00-00,0,0,0
2016-02-07-02-15-00,2,0,2
2016-02-07-02-30-00,0,0,0
2016-02-07-02-45-00,2,0,2
2016-02-07-03-00-00,1,0,1
2016-02-07-03-15-00,1,0,1
2016-02-07-03-30-00,0,0,0
2016-02-07-03-45-00,0,0,0
2016-02-07-04-00-00,3,0,3
2016-02-07-04-15-00,0,0,0
2016-02-07-04-30-00,0,0,0
2016-02-07-04-45-00,0,0,0
2016-02-07-05-00-00,0,0,0
2016-02-07-05-15-00,0,0,0
2016-02-07-05-30-00,0,0,0
2016-02-07-05-45-00,0,0,0
2016-02-07-06-00-00,0,0,0
2016-02-07-06-15-00,1,1,0
2016-02-07-06-30-00,0,0,0
2016-02-07-06-45-00,0,0,0
2016-02-07-07-00-00,0,0,0
2016-02-07-07-15-00,1,0,1
2016-02-07-07-30-00,1,1,0
2016-02-07-07-45-00,1,0,1
2016-02-07-08-00-00,1,0,1
2016-02-07-08-15-00,0,0,0
2016-02-07-08-30-00,1,1,0
2016-02-07-08-45-00,2,2,0
2016-02-07-09-00-00,6,4,2
2016-02-07-09-15-00,5,3,2
2016-02-07-09-30-00,1,1,0
2016-02-07-09-45-00,5,4,1
2016-02-07-10-00-00,11,3,8
2016-02-07-10-15-00,5,2,3
2016-02-07-10-30-00,11,4,7
2016-02-07-10-45-00,10,2,8
2016-02-07-11-00-00,11,7,4
2016-02-07-11-15-00,16,5,11
2016-02-07-11-30-00,11,5,6
2016-02-07-11-45-00,5,3,2
2016-02-07-12-00-00,11,9,2
2016-02-07-12-15-00,9,7,2
2016-02-07-12-30-00,11,3,8
2016-02-07-12-45-00,13,4,9
2016-02-07-13-00-00,12,4,8
2016-02-07-13-15-00,12,8,4
2016-02-07-13-30-00,21,6,15
2016-02-07-13-45-00,17,6,11
2016-02-07-14-00-00,27,8,19
2016-02-07-14-15-00,16,9,7
2016-02-07-14-30-00,13,6,7
2016-02-07-14-45-00,19,7,12
2016-02-07-15-00-00,7,5,2
2016-02-07-15-15-00,22,9,13
2016-02-07-15-30-00,20,15,5
2016-02-07-15-45-00,30,15,15
2016-02-07-16-00-00,11,6,5
2016-02-07-16-15-00,17,10,7
2016-02-07-16-30-00,28,17,11
2016-02-07-16-45-00,26,17,9
2016-02-07-17-00-00,22,14,8
2016-02-07-17-15-00,26,17,9
2016-02-07-17-30-00,15,7,8
2016-02-07-17-45-00,16,12,4
2016-02-07-18-00-00,7,6,1
2016-02-07-18-15-00,11,7,4
2016-02-07-18-30-00,1,1,0
2016-02-07-18-45-00,2,1,1
2016-02-07-19-00-00,1,1,0
2016-02-07-19-15-00,5,2,3
2016-02-07-19-30-00,3,3,0
2016-02-07-19-45-00,2,1,1
2016-02-07-20-00-00,0,0,0
2016-02-07-20-15-00,5,5,0
2016-02-07-20-30-00,1,0,1
2016-02-07-20-45-00,1,1,0
2016-02-07-21-00-00,3,2,1
2016-02-07-21-15-00,5,1,4
2016-02-07-21-30-00,5,1,4
2016-02-07-21-45-00,3,2,1
2016-02-07-22-00-00,1,1,0
2016-02-07-22-15-00,1,0,1
2016-02-07-22-30-00,0,0,0
2016-02-07-22-45-00,1,0,1
2016-02-07-23-00-00,1,1,0
2016-02-07-23-15-00,1,0,1
2016-02-07-23-30-00,0,0,0
2016-02-07-23-45-00,0,0,0
2016-02-08-00-00-00,0,0,0
2016-02-08-00-15-00,0,0,0
2016-02-08-00-30-00,0,0,0
2016-02-08-00-45-00,0,0,0
2016-02-08-01-00-00,1,0,1
2016-02-08-01-15-00,1,1,0
2016-02-08-01-30-00,0,0,0
2016-02-08-01-45-00,1,1,0
2016-02-08-02-00-00,0,0,0
2016-02-08-02-15-00,0,0,0
2016-02-08-02-30-00,0,0,0
2016-02-08-02-45-00,0,0,0
2016-02-08-03-00-00,0,0,0
2016-02-08-03-15-00,1,1,0
2016-02-08-03-30-00,0,0,0
2016-02-08-03-45-00,0,0,0
2016-02-08-04-00-00,0,0,0
2016-02-08-04-15-00,0,0,0
2016-02-08-04-30-00,0,0,0
2016-02-08-04-45-00,0,0,0
2016-02-08-05-00-00,0,0,0
2016-02-08-05-15-00,0,0,0
2016-02-08-05-30-00,0,0,0
2016-02-08-05-45-00,0,0,0
2016-02-08-06-00-00,0,0,0
2016-02-08-06-15-00,0,0,0
2016-02-08-06-30-00,0,0,0
2016-02-08-06-45-00,1,1,0
2016-02-08-07-00-00,0,0,0
2016-02-08-07-15-00,3,1,2
2016-02-08-07-30-00,3,0,3
2016-02-08-07-45-00,4,1,3
2016-02-08-08-00-00,2,0,2
2016-02-08-08-15-00,3,0,3
2016-02-08-08-30-00,5,1,4
2016-02-08-08-45-00,8,3,5
2016-02-08-09-00-00,2,1,1
2016-02-08-09-15-00,3,2,1
2016-02-08-09-30-00,0,0,0
2016-02-08-09-45-00,0,0,0
2016-02-08-10-00-00,0,0,0
2016-02-08-10-15-00,1,0,1
2016-02-08-10-30-00,6,4,2
2016-02-08-10-45-00,0,0,0
2016-02-08-11-00-00,2,0,2
2016-02-08-11-15-00,11,6,5
2016-02-08-11-30-00,5,3,2
2016-02-08-11-45-00,8,5,3
2016-02-08-12-00-00,2,2,0
2016-02-08-12-15-00,0,0,0
2016-02-08-12-30-00,4,1,3
2016-02-08-12-45-00,3,1,2
2016-02-08-13-00-00,7,5,2
2016-02-08-13-15-00,5,4,1
2016-02-08-13-30-00,12,11,1
2016-02-08-13-45-00,11,4,7
2016-02-08-14-00-00,6,4,2
2016-02-08-14-15-00,5,2,3
2016-02-08-14-30-00,7,6,1
2016-02-08-14-45-00,13,9,4
2016-02-08-15-00-00,16,15,1
2016-02-08-15-15-00,14,9,5
2016-02-08-15-30-00,13,4,9
2016-02-08-15-45-00,14,5,9
2016-02-08-16-00-00,11,7,4
2016-02-08-16-15-00,18,9,9
2016-02-08-16-30-00,10,5,5
2016-02-08-16-45-00,19,13,6
2016-02-08-17-00-00,13,7,6
2016-02-08-17-15-00,15,12,3
2016-02-08-17-30-00,9,8,1
2016-02-08-17-45-00,9,5,4
2016-02-08-18-00-00,9,3,6
2016-02-08-18-15-00,2,2,0
2016-02-08-18-30-00,7,3,4
2016-02-08-18-45-00,2,1,1
2016-02-08-19-00-00,3,2,1
2016-02-08-19-15-00,3,3,0
2016-02-08-19-30-00,3,3,0
2016-02-08-19-45-00,2,0,2
2016-02-08-20-00-00,1,1,0
2016-02-08-20-15-00,1,0,1
2016-02-08-20-30-00,4,1,3
2016-02-08-20-45-00,1,1,0
2016-02-08-21-00-00,0,0,0
2016-02-08-21-15-00,0,0,0
2016-02-08-21-30-00,1,1,0
2016-02-08-21-45-00,1,0,1
2016-02-08-22-00-00,0,0,0
2016-02-08-22-15-00,2,0,2
2016-02-08-22-30-00,0,0,0
2016-02-08-22-45-00,0,0,0
2016-02-08-23-00-00,0,0,0
2016-02-08-23-15-00,0,0,0
2016-02-08-23-30-00,0,0,0
2016-02-08-23-45-00,0,0,0
2016-02-09-00-00-00,0,0,0
2016-02-09-00-15-00,0,0,0
2016-02-09-00-30-00,0,0,0
2016-02-09-00-45-00,0,0,0
2016-02-09-01-00-00,0,0,0
2016-02-09-01-15-00,0,0,0
2016-02-09-01-30-00,0,0,0
2016-02-09-01-45-00,0,0,0
2016-02-09-02-00-00,0,0,0
2016-02-09-02-15-00,0,0,0
2016-02-09-02-30-00,0,0,0
2016-02-09-02-45-00,0,0,0
2016-02-09-03-00-00,0,0,0
2016-02-09-03-15-00,0,0,0
2016-02-09-03-30-00,0,0,0
2016-02-09-03-45-00,0,0,0
2016-02-09-04-00-00,0,0,0
2016-02-09-04-15-00,0,0,0
2016-02-09-04-30-00,0,0,0
2016-02-09-04-45-00,0,0,0
2016-02-09-05-00-00,0,0,0
2016-02-09-05-15-00,0,0,0
2016-02-09-05-30-00,1,0,1
2016-02-09-05-45-00,2,2,0
2016-02-09-06-00-00,4,1,3
2016-02-09-06-15-00,1,0,1
2016-02-09-06-30-00,5,1,4
2016-02-09-06-45-00,6,2,4
2016-02-09-07-00-00,9,5,4
2016-02-09-07-15-00,14,4,10
2016-02-09-07-30-00,23,10,13
2016-02-09-07-45-00,34,6,28
2016-02-09-08-00-00,20,5,15
2016-02-09-08-15-00,28,3,25
2016-02-09-08-30-00,31,7,24
2016-02-09-08-45-00,22,1,21
2016-02-09-09-00-00,12,1,11
2016-02-09-09-15-00,9,2,7
2016-02-09-09-30-00,9,4,5
2016-02-09-09-45-00,4,3,1
2016-02-09-10-00-00,5,2,3
2016-02-09-10-15-00,8,5,3
2016-02-09-10-30-00,8,4,4
2016-02-09-10-45-00,5,3,2
2016-02-09-11-00-00,1,1,0
2016-02-09-11-15-00,5,4,1
2016-02-09-11-30-00,1,0,1
2016-02-09-11-45-00,5,4,1
2016-02-09-12-00-00,2,0,2
2016-02-09-12-15-00,6,3,3
2016-02-09-12-30-00,1,1,0
2016-02-09-12-45-00,3,3,0
2016-02-09-13-00-00,6,3,3
2016-02-09-13-15-00,3,0,3
2016-02-09-13-30-00,4,2,2
2016-02-09-13-45-00,6,2,4
2016-02-09-14-00-00,7,2,5
2016-02-09-14-15-00,0,0,0
2016-02-09-14-30-00,7,4,3
2016-02-09-14-45-00,4,2,2
2016-02-09-15-00-00,8,6,2
2016-02-09-15-15-00,5,5,0
2016-02-09-15-30-00,5,4,1
2016-02-09-15-45-00,5,5,0
2016-02-09-16-00-00,4,4,0
2016-02-09-16-15-00,9,8,1
2016-02-09-16-30-00,19,14,5
2016-02-09-16-45-00,16,12,4
2016-02-09-17-00-00,17,14,3
2016-02-09-17-15-00,20,18,2
2016-02-09-17-30-00,18,11,7
2016-02-09-17-45-00,18,14,4
2016-02-09-18-00-00,14,9,5
2016-02-09-18-15-00,16,13,3
2016-02-09-18-30-00,11,9,2
2016-02-09-18-45-00,12,10,2
2016-02-09-19-00-00,4,4,0
2016-02-09-19-15-00,3,3,0
2016-02-09-19-30-00,2,1,1
2016-02-09-19-45-00,2,2,0
2016-02-09-20-00-00,5,5,0
2016-02-09-20-15-00,1,0,1
2016-02-09-20-30-00,2,0,2
2016-02-09-20-45-00,1,1,0
2016-02-09-21-00-00,0,0,0
2016-02-09-21-15-00,2,0,2
2016-02-09-21-30-00,1,1,0
2016-02-09-21-45-00,1,0,1
2016-02-09-22-00-00,2,0,2
2016-02-09-22-15-00,0,0,0
2016-02-09-22-30-00,0,0,0
2016-02-09-22-45-00,0,0,0
2016-02-09-23-00-00,4,1,3
2016-02-09-23-15-00,0,0,0
2016-02-09-23-30-00,1,1,0
2016-02-09-23-45-00,0,0,0
2016-02-10-00-00-00,1,0,1
2016-02-10-00-15-00,0,0,0
2016-02-10-00-30-00,0,0,0
2016-02-10-00-45-00,0,0,0
2016-02-10-01-00-00,0,0,0
2016-02-10-01-15-00,1,1,0
2016-02-10-01-30-00,0,0,0
2016-02-10-01-45-00,0,0,0
2016-02-10-02-00-00,0,0,0
2016-02-10-02-15-00,0,0,0
2016-02-10-02-30-00,0,0,0
2016-02-10-02-45-00,0,0,0
2016-02-10-03-00-00,0,0,0
2016-02-10-03-15-00,0,0,0
2016-02-10-03-30-00,0,0,0
2016-02-10-03-45-00,0,0,0
2016-02-10-04-00-00,0,0,0
2016-02-10-04-15-00,0,0,0
2016-02-10-04-30-00,0,0,0
2016-02-10-04-45-00,0,0,0
2016-02-10-05-00-00,0,0,0
2016-02-10-05-15-00,0,0,0
2016-02-10-05-30-00,2,1,1
2016-02-10-05-45-00,5,3,2
2016-02-10-06-00-00,2,0,2
2016-02-10-06-15-00,2,1,1
2016-02-10-06-30-00,4,0,4
2016-02-10-06-45-00,13,7,6
2016-02-10-07-00-00,13,4,9
2016-02-10-07-15-00,10,8,2
2016-02-10-07-30-00,27,6,21
2016-02-10-07-45-00,24,3,21
2016-02-10-08-00-00,31,5,26
2016-02-10-08-15-00,26,4,22
2016-02-10-08-30-00,24,5,19
2016-02-10-08-45-00,32,2,30
2016-02-10-09-00-00,16,7,9
2016-02-10-09-15-00,8,0,8
2016-02-10-09-30-00,4,1,3
2016-02-10-09-45-00,5,2,3
2016-02-10-10-00-00,3,0,3
2016-02-10-10-15-00,3,2,1
2016-02-10-10-30-00,1,1,0
2016-02-10-10-45-00,2,1,1
2016-02-10-11-00-00,2,1,1
2016-02-10-11-15-00,2,1,1
2016-02-10-11-30-00,1,0,1
2016-02-10-11-45-00,3,1,2
2016-02-10-12-00-00,3,1,2
2016-02-10-12-15-00,3,3,0
2016-02-10-12-30-00,6,4,2
2016-02-10-12-45-00,6,4,2
2016-02-10-13-00-00,6,1,5
2016-02-10-13-15-00,6,3,3
2016-02-10-13-30-00,5,3,2
2016-02-10-13-45-00,5,3,2
2016-02-10-14-00-00,12,9,3
2016-02-10-14-15-00,1,1,0
2016-02-10-14-30-00,8,4,4
2016-02-10-14-45-00,3,1,2
2016-02-10-15-00-00,8,5,3
2016-02-10-15-15-00,1,0,1
2016-02-10-15-30-00,9,9,0
2016-02-10-15-45-00,9,6,3
2016-02-10-16-00-00,15,10,5
2016-02-10-16-15-00,11,9,2
2016-02-10-16-30-00,20,13,7
2016-02-10-16-45-00,14,9,5
2016-02-10-17-00-00,11,6,5
2016-02-10-17-15-00,19,16,3
2016-02-10-17-30-00,20,14,6
2016-02-10-17-45-00,18,14,4
2016-02-10-18-00-00,15,10,5
2016-02-10-18-15-00,12,9,3
2016-02-10-18-30-00,18,12,6
2016-02-10-18-45-00,9,8,1
2016-02-10-19-00-00,5,5,0
2016-02-10-19-15-00,2,0,2
2016-02-10-19-30-00,3,3,0
2016-02-10-19-45-00,4,2,2
2016-02-10-20-00-00,5,4,1
2016-02-10-20-15-00,2,2,0
2016-02-10-20-30-00,2,1,1
2016-02-10-20-45-00,3,3,0
2016-02-10-21-00-00,3,2,1
2016-02-10-21-15-00,0,0,0
2016-02-10-21-30-00,1,0,1
2016-02-10-21-45-00,2,2,0
2016-02-10-22-00-00,1,1,0
2016-02-10-22-15-00,0,0,0
2016-02-10-22-30-00,0,0,0
2016-02-10-22-45-00,0,0,0
2016-02-10-23-00-00,0,0,0
2016-02-10-23-15-00,0,0,0
2016-02-10-23-30-00,1,1,0
2016-02-10-23-45-00,0,0,0
2016-02-11-00-00-00,1,0,1
2016-02-11-00-15-00,1,1,0
2016-02-11-00-30-00,0,0,0
2016-02-11-00-45-00,0,0,0
2016-02-11-01-00-00,1,0,1
2016-02-11-01-15-00,0,0,0
2016-02-11-01-30-00,1,1,0
2016-02-11-01-45-00,0,0,0
2016-02-11-02-00-00,0,0,0
2016-02-11-02-15-00,0,0,0
2016-02-11-02-30-00,0,0,0
2016-02-11-02-45-00,0,0,0
2016-02-11-03-00-00,0,0,0
2016-02-11-03-15-00,0,0,0
2016-02-11-03-30-00,0,0,0
2016-02-11-03-45-00,0,0,0
2016-02-11-04-00-00,0,0,0
2016-02-11-04-15-00,0,0,0
2016-02-11-04-30-00,0,0,0
2016-02-11-04-45-00,0,0,0
2016-02-11-05-00-00,0,0,0
2016-02-11-05-15-00,0,0,0
2016-02-11-05-30-00,1,0,1
2016-02-11-05-45-00,4,1,3
2016-02-11-06-00-00,3,0,3
2016-02-11-06-15-00,6,2,4
2016-02-11-06-30-00,2,1,1
2016-02-11-06-45-00,10,2,8
2016-02-11-07-00-00,13,7,6
2016-02-11-07-15-00,19,8,11
2016-02-11-07-30-00,27,6,21
2016-02-11-07-45-00,28,5,23
2016-02-11-08-00-00,30,2,28
2016-02-11-08-15-00,39,7,32
2016-02-11-08-30-00,47,8,39
2016-02-11-08-45-00,24,3,21
2016-02-11-09-00-00,18,3,15
2016-02-11-09-15-00,11,4,7
2016-02-11-09-30-00,8,3,5
2016-02-11-09-45-00,8,4,4
2016-02-11-10-00-00,6,3,3
2016-02-11-10-15-00,8,5,3
2016-02-11-10-30-00,13,7,6
2016-02-11-10-45-00,13,8,5
2016-02-11-11-00-00,11,5,6
2016-02-11-11-15-00,11,4,7
2016-02-11-11-30-00,17,13,4
2016-02-11-11-45-00,12,8,4
2016-02-11-12-00-00,13,8,5
2016-02-11-12-15-00,20,8,12
2016-02-11-12-30-00,6,5,1
2016-02-11-12-45-00,16,8,8
2016-02-11-13-00-00,15,13,2
2016-02-11-13-15-00,22,10,12
2016-02-11-13-30-00,15,10,5
2016-02-11-13-45-00,17,7,10
2016-02-11-14-00-00,10,2,8
2016-02-11-14-15-00,25,14,11
2016-02-11-14-30-00,19,15,4
2016-02-11-14-45-00,14,7,7
2016-02-11-15-00-00,15,11,4
2016-02-11-15-15-00,18,8,10
2016-02-11-15-30-00,17,9,8
2016-02-11-15-45-00,24,12,12
2016-02-11-16-00-00,19,10,9
2016-02-11-16-15-00,30,22,8
2016-02-11-16-30-00,20,16,4
2016-02-11-16-45-00,30,19,11
2016-02-11-17-00-00,22,14,8
2016-02-11-17-15-00,47,40,7
2016-02-11-17-30-00,24,18,6
2016-02-11-17-45-00,26,21,5
2016-02-11-18-00-00,31,26,5
2016-02-11-18-15-00,20,17,3
2016-02-11-18-30-00,20,15,5
2016-02-11-18-45-00,24,19,5
2016-02-11-19-00-00,6,4,2
2016-02-11-19-15-00,17,13,4
2016-02-11-19-30-00,6,3,3
2016-02-11-19-45-00,10,6,4
2016-02-11-20-00-00,14,6,8
2016-02-11-20-15-00,6,5,1
2016-02-11-20-30-00,4,2,2
2016-02-11-20-45-00,0,0,0
2016-02-11-21-00-00,3,2,1
2016-02-11-21-15-00,2,0,2
2016-02-11-21-30-00,2,2,0
2016-02-11-21-45-00,3,1,2
2016-02-11-22-00-00,4,0,4
2016-02-11-22-15-00,0,0,0
2016-02-11-22-30-00,2,2,0
2016-02-11-22-45-00,0,0,0
2016-02-11-23-00-00,2,1,1
2016-02-11-23-15-00,1,0,1
2016-02-11-23-30-00,0,0,0
2016-02-11-23-45-00,1,0,1
2016-02-12-00-00-00,0,0,0
2016-02-12-00-15-00,0,0,0
2016-02-12-00-30-00,0,0,0
2016-02-12-00-45-00,0,0,0
2016-02-12-01-00-00,0,0,0
2016-02-12-01-15-00,0,0,0
2016-02-12-01-30-00,0,0,0
2016-02-12-01-45-00,0,0,0
2016-02-12-02-00-00,0,0,0
2016-02-12-02-15-00,1,0,1
2016-02-12-02-30-00,0,0,0
2016-02-12-02-45-00,0,0,0
2016-02-12-03-00-00,0,0,0
2016-02-12-03-15-00,0,0,0
2016-02-12-03-30-00,0,0,0
2016-02-12-03-45-00,0,0,0
2016-02-12-04-00-00,0,0,0
2016-02-12-04-15-00,0,0,0
2016-02-12-04-30-00,1,0,1
2016-02-12-04-45-00,0,0,0
2016-02-12-05-00-00,1,1,0
2016-02-12-05-15-00,0,0,0
2016-02-12-05-30-00,1,0,1
2016-02-12-05-45-00,2,1,1
2016-02-12-06-00-00,4,0,4
2016-02-12-06-15-00,6,2,4
2016-02-12-06-30-00,3,0,3
2016-02-12-06-45-00,10,7,3
2016-02-12-07-00-00,14,6,8
