 ;5.02 BN - Kennedybrücke (Südseite) Barometer ;5.02 BN - Kennedybrücke (Südseite) IN ;5.02 BN - Kennedybrücke (Südseite) Barometer Radfahrer Ri. Beuel
2015-03-26-02-00-00;1;0;1
2015-03-26-02-15-00;2;1;1
2015-03-26-02-30-00;1;0;1
2015-03-26-02-45-00;3;0;3
2015-03-26-03-00-00;1;0;1
2015-03-26-03-15-00;2;1;1
2015-03-26-03-30-00;2;0;2
2015-03-26-03-45-00;0;0;0
2015-03-26-04-00-00;1;1;0
2015-03-26-04-15-00;2;1;1
2015-03-26-04-30-00;7;3;4
2015-03-26-04-45-00;2;1;1
2015-03-26-05-00-00;1;0;1
2015-03-26-05-15-00;6;1;5
2015-03-26-05-30-00;8;3;5
2015-03-26-05-45-00;8;4;4
2015-03-26-06-00-00;13;5;8
2015-03-26-06-15-00;21;10;11
2015-03-26-06-30-00;25;12;13
2015-03-26-06-45-00;45;19;26
2015-03-26-07-00-00;37;15;22
2015-03-26-07-15-00;63;27;36
2015-03-26-07-30-00;95;49;46
2015-03-26-07-45-00;99;61;38
2015-03-26-08-00-00;57;30;27
2015-03-26-08-15-00;62;30;32
2015-03-26-08-30-00;70;31;39
2015-03-26-08-45-00;59;35;24
2015-03-26-09-00-00;46;24;22
2015-03-26-09-15-00;40;22;18
2015-03-26-09-30-00;39;21;18
2015-03-26-09-45-00;47;27;20
2015-03-26-10-00-00;33;13;20
2015-03-26-10-15-00;34;9;25
2015-03-26-10-30-00;17;6;11
2015-03-26-10-45-00;33;13;20
2015-03-26-11-00-00;39;20;19
2015-03-26-11-15-00;36;10;26
2015-03-26-11-30-00;39;11;28
2015-03-26-11-45-00;45;11;34
2015-03-26-12-00-00;45;16;29
2015-03-26-12-15-00;38;9;29
2015-03-26-12-30-00;54;22;32
2015-03-26-12-45-00;47;11;36
2015-03-26-13-00-00;58;10;48
2015-03-26-13-15-00;64;19;45
2015-03-26-13-30-00;66;11;55
2015-03-26-13-45-00;63;24;39
2015-03-26-14-00-00;54;15;39
2015-03-26-14-15-00;62;15;47
2015-03-26-14-30-00;53;15;38
2015-03-26-14-45-00;73;20;53
2015-03-26-15-00-00;66;16;50
2015-03-26-15-15-00;56;5;51
2015-03-26-15-30-00;71;10;61
2015-03-26-15-45-00;85;17;68
2015-03-26-16-00-00;99;15;84
2015-03-26-16-15-00;87;14;73
2015-03-26-16-30-00;79;7;72
2015-03-26-16-45-00;84;15;69
2015-03-26-17-00-00;86;19;67
2015-03-26-17-15-00;76;11;65
2015-03-26-17-30-00;93;17;76
2015-03-26-17-45-00;84;18;66
2015-03-26-18-00-00;68;13;55
2015-03-26-18-15-00;65;9;56
2015-03-26-18-30-00;76;15;61
2015-03-26-18-45-00;97;14;83
2015-03-26-19-00-00;56;8;48
2015-03-26-19-15-00;56;18;38
2015-03-26-19-30-00;52;14;38
2015-03-26-19-45-00;37;15;22
2015-03-26-20-00-00;28;7;21
2015-03-26-20-15-00;37;7;30
2015-03-26-20-30-00;25;3;22
2015-03-26-20-45-00;23;7;16
2015-03-26-21-00-00;33;6;27
2015-03-26-21-15-00;24;4;20
2015-03-26-21-30-00;17;0;17
2015-03-26-21-45-00;19;2;17
2015-03-26-22-00-00;30;6;24
2015-03-26-22-15-00;21;4;17
2015-03-26-22-30-00;18;3;15
2015-03-26-22-45-00;15;2;13
2015-03-26-23-00-00;13;1;12
2015-03-26-23-15-00;14;0;14
2015-03-26-23-30-00;14;0;14
2015-03-26-23-45-00;13;6;7
2015-03-27-00-00-00;7;0;7
2015-03-27-00-15-00;7;2;5
2015-03-27-00-30-00;7;2;5
2015-03-27-00-45-00;3;0;3
2015-03-27-01-00-00;0;0;0
2015-03-27-01-15-00;3;1;2
2015-03-27-01-30-00;5;0;5
2015-03-27-01-45-00;1;1;0
2015-03-27-02-00-00;2;0;2
2015-03-27-02-15-00;0;0;0
2015-03-27-02-30-00;2;0;2
2015-03-27-02-45-00;1;0;1
2015-03-27-03-00-00;1;0;1
2015-03-27-03-15-00;2;1;1
2015-03-27-03-30-00;1;0;1
2015-03-27-03-45-00;2;2;0
2015-03-27-04-00-00;3;1;2
2015-03-27-04-15-00;3;2;1
2015-03-27-04-30-00;5;2;3
2015-03-27-04-45-00;1;0;1
2015-03-27-05-00-00;1;0;1
2015-03-27-05-15-00;6;2;4
2015-03-27-05-30-00;7;4;3
2015-03-27-05-45-00;6;4;2
2015-03-27-06-00-00;17;9;8
2015-03-27-06-15-00;16;7;9
2015-03-27-06-30-00;24;12;12
2015-03-27-06-45-00;26;14;12
2015-03-27-07-00-00;31;17;14
2015-03-27-07-15-00;43;16;27
2015-03-27-07-30-00;70;43;27
2015-03-27-07-45-00;66;35;31
2015-03-27-08-00-00;58;32;26
2015-03-27-08-15-00;57;32;25
2015-03-27-08-30-00;71;36;35
2015-03-27-08-45-00;54;30;24
2015-03-27-09-00-00;37;19;18
