 ;5.15 BN - Weg auf Damm Neil ;5.15 BN - Weg auf Damm Neil Radfahrer Ri. Norden ;5.15 BN - Weg auf Damm Neil Radfahrer Ri. Süden ;5.15 BN - Weg auf Damm Neil Radfahrer Ri. Norden ;5.15 BN - Weg auf Damm Neil Radfahrer Ri. Süden
2016-02-12-06-30-00;3;1;0;0;2
2016-02-12-06-45-00;7;4;0;0;3
2016-02-12-07-00-00;8;4;0;0;4
2016-02-12-07-15-00;18;7;0;5;6
2016-02-12-07-30-00;42;13;2;0;27
2016-02-12-07-45-00;33;13;2;0;18
2016-02-12-08-00-00;30;13;1;0;16
2016-02-12-08-15-00;27;9;1;1;16
2016-02-12-08-30-00;26;10;0;0;16
2016-02-12-08-45-00;24;9;0;2;13
2016-02-12-09-00-00;16;6;0;1;9
2016-02-12-09-15-00;10;6;0;2;2
2016-02-12-09-30-00;19;10;0;1;8
2016-02-12-09-45-00;10;7;0;2;1
2016-02-12-10-00-00;7;2;0;0;5
2016-02-12-10-15-00;7;4;0;0;3
2016-02-12-10-30-00;10;6;0;1;3
2016-02-12-10-45-00;14;6;0;0;8
2016-02-12-11-00-00;11;5;0;3;3
2016-02-12-11-15-00;15;9;0;2;4
2016-02-12-11-30-00;22;9;1;0;12
2016-02-12-11-45-00;14;6;0;1;7
2016-02-12-12-00-00;23;12;0;2;9
2016-02-12-12-15-00;17;4;0;3;10
2016-02-12-12-30-00;16;7;0;3;6
2016-02-12-12-45-00;9;2;0;0;7
2016-02-12-13-00-00;26;16;0;2;8
2016-02-12-13-15-00;17;7;0;1;9
2016-02-12-13-30-00;14;8;0;0;6
2016-02-12-13-45-00;14;8;1;0;5
2016-02-12-14-00-00;14;8;0;0;6
2016-02-12-14-15-00;19;9;0;1;9
2016-02-12-14-30-00;23;11;0;1;11
2016-02-12-14-45-00;16;11;0;1;4
2016-02-12-15-00-00;21;8;1;0;12
2016-02-12-15-15-00;29;13;0;2;14
2016-02-12-15-30-00;29;19;0;3;7
2016-02-12-15-45-00;25;11;0;5;9
2016-02-12-16-00-00;26;11;1;0;14
2016-02-12-16-15-00;22;14;1;2;5
2016-02-12-16-30-00;21;13;2;0;6
2016-02-12-16-45-00;31;14;1;0;16
2016-02-12-17-00-00;25;17;0;3;5
2016-02-12-17-15-00;18;15;0;0;3
2016-02-12-17-30-00;20;10;0;0;10
2016-02-12-17-45-00;24;9;3;1;11
2016-02-12-18-00-00;21;10;0;2;9
2016-02-12-18-15-00;16;9;0;1;6
2016-02-12-18-30-00;11;2;1;1;7
2016-02-12-18-45-00;7;2;0;0;5
2016-02-12-19-00-00;2;1;0;0;1
2016-02-12-19-15-00;7;2;0;2;3
2016-02-12-19-30-00;2;2;0;0;0
2016-02-12-19-45-00;3;1;0;1;1
2016-02-12-20-00-00;2;1;0;1;0
2016-02-12-20-15-00;9;5;0;2;2
2016-02-12-20-30-00;3;0;1;2;0
2016-02-12-20-45-00;0;0;0;0;0
2016-02-12-21-00-00;1;0;0;0;1
2016-02-12-21-15-00;2;2;0;0;0
2016-02-12-21-30-00;7;5;0;1;1
2016-02-12-21-45-00;3;2;0;0;1
2016-02-12-22-00-00;0;0;0;0;0
2016-02-12-22-15-00;2;0;1;0;1
2016-02-12-22-30-00;0;0;0;0;0
2016-02-12-22-45-00;1;0;0;0;1
2016-02-12-23-00-00;0;0;0;0;0
2016-02-12-23-15-00;2;1;0;1;0
2016-02-12-23-30-00;0;0;0;0;0
2016-02-12-23-45-00;1;0;0;0;1
2016-02-13-00-00-00;0;0;0;0;0
2016-02-13-00-15-00;0;0;0;0;0
2016-02-13-00-30-00;1;0;0;0;1
2016-02-13-00-45-00;0;0;0;0;0
2016-02-13-01-00-00;1;0;0;1;0
2016-02-13-01-15-00;0;0;0;0;0
2016-02-13-01-30-00;1;0;0;0;1
2016-02-13-01-45-00;0;0;0;0;0
2016-02-13-02-00-00;1;0;0;0;1
2016-02-13-02-15-00;0;0;0;0;0
2016-02-13-02-30-00;1;0;0;0;1
2016-02-13-02-45-00;0;0;0;0;0
2016-02-13-03-00-00;0;0;0;0;0
2016-02-13-03-15-00;0;0;0;0;0
2016-02-13-03-30-00;0;0;0;0;0
2016-02-13-03-45-00;0;0;0;0;0
2016-02-13-04-00-00;0;0;0;0;0
2016-02-13-04-15-00;0;0;0;0;0
2016-02-13-04-30-00;0;0;0;0;0
2016-02-13-04-45-00;0;0;0;0;0
2016-02-13-05-00-00;0;0;0;0;0
2016-02-13-05-15-00;1;1;0;0;0
2016-02-13-05-30-00;0;0;0;0;0
2016-02-13-05-45-00;0;0;0;0;0
2016-02-13-06-00-00;0;0;0;0;0
2016-02-13-06-15-00;1;0;0;0;1
2016-02-13-06-30-00;1;1;0;0;0
2016-02-13-06-45-00;0;0;0;0;0
2016-02-13-07-00-00;0;0;0;0;0
2016-02-13-07-15-00;0;0;0;0;0
2016-02-13-07-30-00;0;0;0;0;0
2016-02-13-07-45-00;1;1;0;0;0
2016-02-13-08-00-00;0;0;0;0;0
2016-02-13-08-15-00;3;0;0;0;3
2016-02-13-08-30-00;4;2;0;1;1
2016-02-13-08-45-00;10;5;1;0;4
2016-02-13-09-00-00;2;0;0;0;2
2016-02-13-09-15-00;3;1;0;0;2
2016-02-13-09-30-00;8;5;0;3;0
2016-02-13-09-45-00;7;2;0;2;3
2016-02-13-10-00-00;16;9;0;1;6
2016-02-13-10-15-00;5;4;0;0;1
2016-02-13-10-30-00;10;8;0;0;2
2016-02-13-10-45-00;13;8;0;1;4
2016-02-13-11-00-00;10;3;0;0;7
2016-02-13-11-15-00;16;6;2;2;6
2016-02-13-11-30-00;23;7;0;1;15
2016-02-13-11-45-00;20;9;0;2;9
2016-02-13-12-00-00;20;7;0;1;12
2016-02-13-12-15-00;14;5;0;0;9
2016-02-13-12-30-00;22;5;0;1;16
2016-02-13-12-45-00;21;14;0;1;6
2016-02-13-13-00-00;15;6;2;1;6
2016-02-13-13-15-00;8;4;0;1;3
2016-02-13-13-30-00;10;4;1;0;5
2016-02-13-13-45-00;8;6;1;1;0
2016-02-13-14-00-00;8;3;1;2;2
2016-02-13-14-15-00;8;1;1;0;6
2016-02-13-14-30-00;9;8;0;0;1
2016-02-13-14-45-00;9;4;0;1;4
2016-02-13-15-00-00;6;3;0;0;3
2016-02-13-15-15-00;7;2;1;0;4
2016-02-13-15-30-00;10;2;2;2;4
2016-02-13-15-45-00;5;2;0;0;3
2016-02-13-16-00-00;5;2;0;2;1
2016-02-13-16-15-00;6;2;1;1;2
2016-02-13-16-30-00;3;0;2;0;1
2016-02-13-16-45-00;9;6;0;0;3
2016-02-13-17-00-00;2;2;0;0;0
2016-02-13-17-15-00;7;3;0;0;4
2016-02-13-17-30-00;0;0;0;0;0
2016-02-13-17-45-00;5;2;0;1;2
2016-02-13-18-00-00;3;2;0;0;1
2016-02-13-18-15-00;1;0;0;1;0
2016-02-13-18-30-00;2;0;0;0;2
2016-02-13-18-45-00;3;0;1;0;2
2016-02-13-19-00-00;3;1;0;0;2
2016-02-13-19-15-00;2;1;0;0;1
2016-02-13-19-30-00;2;0;0;0;2
2016-02-13-19-45-00;4;1;1;0;2
2016-02-13-20-00-00;1;0;1;0;0
2016-02-13-20-15-00;0;0;0;0;0
2016-02-13-20-30-00;2;0;0;0;2
2016-02-13-20-45-00;4;2;0;1;1
2016-02-13-21-00-00;0;0;0;0;0
2016-02-13-21-15-00;0;0;0;0;0
2016-02-13-21-30-00;0;0;0;0;0
2016-02-13-21-45-00;0;0;0;0;0
2016-02-13-22-00-00;0;0;0;0;0
2016-02-13-22-15-00;1;1;0;0;0
2016-02-13-22-30-00;0;0;0;0;0
2016-02-13-22-45-00;0;0;0;0;0
2016-02-13-23-00-00;0;0;0;0;0
2016-02-13-23-15-00;3;0;0;0;3
2016-02-13-23-30-00;0;0;0;0;0
2016-02-13-23-45-00;1;0;0;0;1
2016-02-14-00-00-00;0;0;0;0;0
2016-02-14-00-15-00;0;0;0;0;0
2016-02-14-00-30-00;0;0;0;0;0
2016-02-14-00-45-00;0;0;0;0;0
2016-02-14-01-00-00;0;0;0;0;0
2016-02-14-01-15-00;0;0;0;0;0
2016-02-14-01-30-00;0;0;0;0;0
2016-02-14-01-45-00;0;0;0;0;0
2016-02-14-02-00-00;0;0;0;0;0
2016-02-14-02-15-00;0;0;0;0;0
2016-02-14-02-30-00;0;0;0;0;0
2016-02-14-02-45-00;0;0;0;0;0
2016-02-14-03-00-00;0;0;0;0;0
2016-02-14-03-15-00;1;0;0;0;1
2016-02-14-03-30-00;0;0;0;0;0
2016-02-14-03-45-00;0;0;0;0;0
2016-02-14-04-00-00;1;0;0;0;1
2016-02-14-04-15-00;0;0;0;0;0
2016-02-14-04-30-00;0;0;0;0;0
2016-02-14-04-45-00;0;0;0;0;0
2016-02-14-05-00-00;0;0;0;0;0
2016-02-14-05-15-00;0;0;0;0;0
2016-02-14-05-30-00;0;0;0;0;0
2016-02-14-05-45-00;0;0;0;0;0
2016-02-14-06-00-00;0;0;0;0;0
2016-02-14-06-15-00;0;0;0;0;0
2016-02-14-06-30-00;1;0;0;1;0
2016-02-14-06-45-00;0;0;0;0;0
2016-02-14-07-00-00;0;0;0;0;0
2016-02-14-07-15-00;1;1;0;0;0
2016-02-14-07-30-00;1;1;0;0;0
2016-02-14-07-45-00;2;0;0;0;2
2016-02-14-08-00-00;1;0;0;0;1
2016-02-14-08-15-00;2;2;0;0;0
2016-02-14-08-30-00;3;1;0;1;1
2016-02-14-08-45-00;9;6;0;0;3
2016-02-14-09-00-00;7;4;0;2;1
2016-02-14-09-15-00;9;2;1;2;4
2016-02-14-09-30-00;7;1;0;0;6
2016-02-14-09-45-00;7;3;1;0;3
2016-02-14-10-00-00;2;0;0;0;2
2016-02-14-10-15-00;8;3;0;1;4
2016-02-14-10-30-00;4;1;0;0;3
2016-02-14-10-45-00;6;0;0;0;6
2016-02-14-11-00-00;6;6;0;0;0
2016-02-14-11-15-00;8;2;0;0;6
2016-02-14-11-30-00;15;8;0;2;5
2016-02-14-11-45-00;14;5;1;0;8
2016-02-14-12-00-00;14;5;1;0;8
2016-02-14-12-15-00;16;7;3;1;5
2016-02-14-12-30-00;18;9;1;0;8
2016-02-14-12-45-00;14;8;0;2;4
2016-02-14-13-00-00;7;6;0;1;0
2016-02-14-13-15-00;15;5;0;0;10
2016-02-14-13-30-00;22;11;1;1;9
2016-02-14-13-45-00;11;4;1;2;4
2016-02-14-14-00-00;11;7;0;1;3
2016-02-14-14-15-00;18;8;0;4;6
2016-02-14-14-30-00;17;12;0;2;3
2016-02-14-14-45-00;14;8;1;1;4
2016-02-14-15-00-00;4;3;0;0;1
2016-02-14-15-15-00;14;7;2;2;3
2016-02-14-15-30-00;18;5;0;0;13
2016-02-14-15-45-00;17;10;0;2;5
2016-02-14-16-00-00;25;8;3;0;14
2016-02-14-16-15-00;13;2;5;2;4
2016-02-14-16-30-00;24;12;1;4;7
2016-02-14-16-45-00;19;6;0;3;10
2016-02-14-17-00-00;10;4;2;2;2
2016-02-14-17-15-00;8;1;4;0;3
2016-02-14-17-30-00;16;8;0;0;8
2016-02-14-17-45-00;4;0;1;0;3
2016-02-14-18-00-00;3;3;0;0;0
2016-02-14-18-15-00;1;0;0;0;1
2016-02-14-18-30-00;5;3;2;0;0
2016-02-14-18-45-00;5;3;0;1;1
2016-02-14-19-00-00;2;1;0;0;1
2016-02-14-19-15-00;6;2;0;0;4
2016-02-14-19-30-00;2;0;1;0;1
2016-02-14-19-45-00;1;0;0;0;1
2016-02-14-20-00-00;4;1;0;1;2
2016-02-14-20-15-00;1;0;0;0;1
2016-02-14-20-30-00;0;0;0;0;0
2016-02-14-20-45-00;1;1;0;0;0
2016-02-14-21-00-00;1;0;0;1;0
2016-02-14-21-15-00;1;0;0;0;1
2016-02-14-21-30-00;1;0;1;0;0
2016-02-14-21-45-00;0;0;0;0;0
2016-02-14-22-00-00;4;1;0;3;0
2016-02-14-22-15-00;1;0;0;0;1
2016-02-14-22-30-00;0;0;0;0;0
2016-02-14-22-45-00;0;0;0;0;0
2016-02-14-23-00-00;0;0;0;0;0
2016-02-14-23-15-00;0;0;0;0;0
2016-02-14-23-30-00;0;0;0;0;0
2016-02-14-23-45-00;0;0;0;0;0
2016-02-15-00-00-00;0;0;0;0;0
2016-02-15-00-15-00;0;0;0;0;0
2016-02-15-00-30-00;0;0;0;0;0
2016-02-15-00-45-00;0;0;0;0;0
2016-02-15-01-00-00;0;0;0;0;0
2016-02-15-01-15-00;0;0;0;0;0
2016-02-15-01-30-00;0;0;0;0;0
2016-02-15-01-45-00;0;0;0;0;0
2016-02-15-02-00-00;0;0;0;0;0
2016-02-15-02-15-00;0;0;0;0;0
2016-02-15-02-30-00;0;0;0;0;0
2016-02-15-02-45-00;0;0;0;0;0
2016-02-15-03-00-00;0;0;0;0;0
2016-02-15-03-15-00;0;0;0;0;0
2016-02-15-03-30-00;0;0;0;0;0
2016-02-15-03-45-00;0;0;0;0;0
2016-02-15-04-00-00;0;0;0;0;0
2016-02-15-04-15-00;0;0;0;0;0
2016-02-15-04-30-00;0;0;0;0;0
2016-02-15-04-45-00;0;0;0;0;0
2016-02-15-05-00-00;0;0;0;0;0
2016-02-15-05-15-00;0;0;0;0;0
2016-02-15-05-30-00;2;0;0;1;1
2016-02-15-05-45-00;0;0;0;0;0
2016-02-15-06-00-00;2;0;0;0;2
2016-02-15-06-15-00;2;1;0;0;1
2016-02-15-06-30-00;2;0;0;2;0
2016-02-15-06-45-00;10;2;0;1;7
2016-02-15-07-00-00;4;2;0;0;2
2016-02-15-07-15-00;18;7;1;0;10
2016-02-15-07-30-00;36;9;2;1;24
2016-02-15-07-45-00;27;10;1;1;15
2016-02-15-08-00-00;12;5;0;0;7
2016-02-15-08-15-00;19;5;1;0;13
2016-02-15-08-30-00;16;6;0;0;10
2016-02-15-08-45-00;12;3;1;1;7
2016-02-15-09-00-00;11;2;0;1;8
2016-02-15-09-15-00;9;4;0;1;4
2016-02-15-09-30-00;6;3;0;0;3
2016-02-15-09-45-00;3;1;0;0;2
2016-02-15-10-00-00;3;2;0;0;1
2016-02-15-10-15-00;3;2;0;0;1
2016-02-15-10-30-00;2;1;0;0;1
2016-02-15-10-45-00;1;1;0;0;0
2016-02-15-11-00-00;2;1;0;0;1
2016-02-15-11-15-00;4;2;0;0;2
2016-02-15-11-30-00;2;2;0;0;0
2016-02-15-11-45-00;9;3;0;0;6
2016-02-15-12-00-00;2;2;0;0;0
2016-02-15-12-15-00;1;1;0;0;0
2016-02-15-12-30-00;2;1;0;0;1
2016-02-15-12-45-00;3;1;0;0;2
2016-02-15-13-00-00;5;1;0;0;4
2016-02-15-13-15-00;17;8;0;6;3
2016-02-15-13-30-00;13;4;1;3;5
2016-02-15-13-45-00;5;3;0;0;2
2016-02-15-14-00-00;5;1;0;0;4
2016-02-15-14-15-00;5;2;0;0;3
2016-02-15-14-30-00;17;12;0;3;2
2016-02-15-14-45-00;5;1;0;0;4
2016-02-15-15-00-00;6;3;0;0;3
2016-02-15-15-15-00;10;6;0;0;4
2016-02-15-15-30-00;7;3;0;0;4
2016-02-15-15-45-00;8;6;0;0;2
2016-02-15-16-00-00;11;6;0;0;5
2016-02-15-16-15-00;13;9;0;0;4
2016-02-15-16-30-00;17;8;0;2;7
2016-02-15-16-45-00;11;4;1;0;6
2016-02-15-17-00-00;17;11;0;2;4
2016-02-15-17-15-00;10;4;2;2;2
2016-02-15-17-30-00;15;8;0;0;7
2016-02-15-17-45-00;15;7;0;1;7
2016-02-15-18-00-00;23;14;2;1;6
2016-02-15-18-15-00;13;7;0;0;6
2016-02-15-18-30-00;9;6;0;0;3
2016-02-15-18-45-00;7;4;0;0;3
2016-02-15-19-00-00;10;5;0;3;2
2016-02-15-19-15-00;6;4;0;0;2
2016-02-15-19-30-00;8;5;0;0;3
2016-02-15-19-45-00;11;6;1;0;4
2016-02-15-20-00-00;6;4;0;0;2
2016-02-15-20-15-00;4;1;0;1;2
2016-02-15-20-30-00;4;3;0;0;1
2016-02-15-20-45-00;1;0;0;0;1
2016-02-15-21-00-00;2;0;1;0;1
2016-02-15-21-15-00;3;2;0;0;1
2016-02-15-21-30-00;2;0;0;0;2
2016-02-15-21-45-00;1;1;0;0;0
2016-02-15-22-00-00;1;1;0;0;0
2016-02-15-22-15-00;2;0;1;0;1
2016-02-15-22-30-00;1;0;0;0;1
2016-02-15-22-45-00;1;1;0;0;0
2016-02-15-23-00-00;1;0;0;0;1
2016-02-15-23-15-00;0;0;0;0;0
2016-02-15-23-30-00;1;0;0;0;1
2016-02-15-23-45-00;1;1;0;0;0
2016-02-16-00-00-00;0;0;0;0;0
2016-02-16-00-15-00;0;0;0;0;0
2016-02-16-00-30-00;1;0;0;0;1
2016-02-16-00-45-00;0;0;0;0;0
2016-02-16-01-00-00;0;0;0;0;0
2016-02-16-01-15-00;0;0;0;0;0
2016-02-16-01-30-00;0;0;0;0;0
2016-02-16-01-45-00;0;0;0;0;0
2016-02-16-02-00-00;0;0;0;0;0
2016-02-16-02-15-00;0;0;0;0;0
2016-02-16-02-30-00;0;0;0;0;0
2016-02-16-02-45-00;0;0;0;0;0
2016-02-16-03-00-00;0;0;0;0;0
2016-02-16-03-15-00;0;0;0;0;0
2016-02-16-03-30-00;0;0;0;0;0
2016-02-16-03-45-00;0;0;0;0;0
2016-02-16-04-00-00;0;0;0;0;0
2016-02-16-04-15-00;0;0;0;0;0
2016-02-16-04-30-00;0;0;0;0;0
2016-02-16-04-45-00;0;0;0;0;0
2016-02-16-05-00-00;0;0;0;0;0
2016-02-16-05-15-00;1;0;0;1;0
2016-02-16-05-30-00;1;0;0;0;1
2016-02-16-05-45-00;2;2;0;0;0
2016-02-16-06-00-00;1;0;1;0;0
2016-02-16-06-15-00;1;1;0;0;0
2016-02-16-06-30-00;5;3;0;1;1
2016-02-16-06-45-00;7;2;0;0;5
2016-02-16-07-00-00;10;0;1;0;9
2016-02-16-07-15-00;17;8;0;2;7
2016-02-16-07-30-00;52;17;3;0;32
2016-02-16-07-45-00;36;17;0;0;19
2016-02-16-08-00-00;34;13;2;0;19
2016-02-16-08-15-00;28;6;1;0;21
2016-02-16-08-30-00;40;12;0;3;25
2016-02-16-08-45-00;12;4;0;0;8
2016-02-16-09-00-00;20;10;0;0;10
2016-02-16-09-15-00;22;11;0;0;11
2016-02-16-09-30-00;9;4;0;0;5
2016-02-16-09-45-00;10;4;0;1;5
2016-02-16-10-00-00;8;3;2;1;2
2016-02-16-10-15-00;7;3;0;0;4
2016-02-16-10-30-00;11;3;1;1;6
2016-02-16-10-45-00;7;3;0;0;4
2016-02-16-11-00-00;6;3;0;1;2
2016-02-16-11-15-00;14;8;0;0;6
2016-02-16-11-30-00;14;5;0;1;8
2016-02-16-11-45-00;15;7;0;3;5
2016-02-16-12-00-00;15;5;0;0;10
2016-02-16-12-15-00;17;8;1;0;8
2016-02-16-12-30-00;20;8;2;2;8
2016-02-16-12-45-00;20;8;0;2;10
2016-02-16-13-00-00;22;10;0;2;10
2016-02-16-13-15-00;24;12;1;0;11
2016-02-16-13-30-00;22;7;2;2;11
2016-02-16-13-45-00;32;10;1;1;20
2016-02-16-14-00-00;31;10;3;3;15
2016-02-16-14-15-00;29;12;2;0;15
2016-02-16-14-30-00;35;22;1;1;11
2016-02-16-14-45-00;22;10;1;1;10
2016-02-16-15-00-00;36;22;0;5;9
2016-02-16-15-15-00;19;5;3;0;11
2016-02-16-15-30-00;22;12;0;2;8
2016-02-16-15-45-00;38;17;0;3;18
2016-02-16-16-00-00;49;33;0;5;11
2016-02-16-16-15-00;38;25;1;3;9
2016-02-16-16-30-00;43;20;0;2;21
2016-02-16-16-45-00;41;18;1;0;22
2016-02-16-17-00-00;45;27;0;3;15
2016-02-16-17-15-00;52;25;0;2;25
2016-02-16-17-30-00;35;20;0;1;14
2016-02-16-17-45-00;32;16;1;1;14
2016-02-16-18-00-00;21;12;0;3;6
2016-02-16-18-15-00;21;12;1;1;7
2016-02-16-18-30-00;15;9;0;2;4
2016-02-16-18-45-00;21;11;0;0;10
2016-02-16-19-00-00;20;5;3;3;9
2016-02-16-19-15-00;11;7;0;0;4
2016-02-16-19-30-00;13;8;0;1;4
2016-02-16-19-45-00;5;2;0;0;3
2016-02-16-20-00-00;14;7;1;1;5
2016-02-16-20-15-00;6;4;0;0;2
2016-02-16-20-30-00;5;2;1;0;2
2016-02-16-20-45-00;6;4;0;1;1
2016-02-16-21-00-00;3;1;1;0;1
2016-02-16-21-15-00;7;2;1;2;2
2016-02-16-21-30-00;1;0;0;0;1
2016-02-16-21-45-00;4;0;0;1;3
2016-02-16-22-00-00;5;1;1;1;2
2016-02-16-22-15-00;0;0;0;0;0
2016-02-16-22-30-00;2;0;0;0;2
2016-02-16-22-45-00;0;0;0;0;0
2016-02-16-23-00-00;5;3;0;1;1
2016-02-16-23-15-00;1;0;0;0;1
2016-02-16-23-30-00;1;1;0;0;0
2016-02-16-23-45-00;0;0;0;0;0
2016-02-17-00-00-00;0;0;0;0;0
2016-02-17-00-15-00;0;0;0;0;0
2016-02-17-00-30-00;0;0;0;0;0
2016-02-17-00-45-00;0;0;0;0;0
2016-02-17-01-00-00;0;0;0;0;0
2016-02-17-01-15-00;0;0;0;0;0
2016-02-17-01-30-00;1;0;0;0;1
2016-02-17-01-45-00;0;0;0;0;0
2016-02-17-02-00-00;0;0;0;0;0
2016-02-17-02-15-00;0;0;0;0;0
2016-02-17-02-30-00;0;0;0;0;0
2016-02-17-02-45-00;0;0;0;0;0
2016-02-17-03-00-00;0;0;0;0;0
2016-02-17-03-15-00;0;0;0;0;0
2016-02-17-03-30-00;0;0;0;0;0
2016-02-17-03-45-00;0;0;0;0;0
2016-02-17-04-00-00;0;0;0;0;0
2016-02-17-04-15-00;0;0;0;0;0
2016-02-17-04-30-00;0;0;0;0;0
2016-02-17-04-45-00;0;0;0;0;0
2016-02-17-05-00-00;0;0;0;0;0
2016-02-17-05-15-00;0;0;0;0;0
2016-02-17-05-30-00;1;0;0;0;1
2016-02-17-05-45-00;0;0;0;0;0
2016-02-17-06-00-00;1;0;0;0;1
2016-02-17-06-15-00;2;2;0;0;0
2016-02-17-06-30-00;3;1;0;0;2
2016-02-17-06-45-00;6;1;0;0;5
2016-02-17-07-00-00;12;5;0;0;7
2016-02-17-07-15-00;24;12;1;2;9
2016-02-17-07-30-00;37;14;2;1;20
2016-02-17-07-45-00;49;22;1;0;26
2016-02-17-08-00-00;27;11;0;0;16
2016-02-17-08-15-00;20;4;0;0;16
2016-02-17-08-30-00;27;7;2;0;18
2016-02-17-08-45-00;22;7;0;1;14
2016-02-17-09-00-00;16;5;0;0;11
2016-02-17-09-15-00;12;7;0;0;5
2016-02-17-09-30-00;10;3;0;0;7
2016-02-17-09-45-00;15;7;0;2;6
2016-02-17-10-00-00;5;2;1;0;2
2016-02-17-10-15-00;10;7;0;2;1
2016-02-17-10-30-00;13;6;0;0;7
2016-02-17-10-45-00;11;3;0;2;6
2016-02-17-11-00-00;11;4;0;1;6
2016-02-17-11-15-00;12;9;0;1;2
2016-02-17-11-30-00;16;8;0;0;8
2016-02-17-11-45-00;14;3;0;0;11
2016-02-17-12-00-00;8;3;0;1;4
2016-02-17-12-15-00;22;9;2;0;11
2016-02-17-12-30-00;19;9;2;1;7
2016-02-17-12-45-00;17;4;1;2;10
2016-02-17-13-00-00;19;7;1;0;11
2016-02-17-13-15-00;34;15;0;4;15
2016-02-17-13-30-00;21;10;1;3;7
2016-02-17-13-45-00;15;9;0;1;5
2016-02-17-14-00-00;22;14;1;1;6
2016-02-17-14-15-00;23;10;4;2;7
2016-02-17-14-30-00;20;11;0;0;9
2016-02-17-14-45-00;29;13;1;1;14
2016-02-17-15-00-00;17;8;0;0;9
2016-02-17-15-15-00;23;12;0;3;8
2016-02-17-15-30-00;20;11;1;0;8
2016-02-17-15-45-00;27;12;0;6;9
2016-02-17-16-00-00;45;27;1;5;12
2016-02-17-16-15-00;44;19;3;3;19
2016-02-17-16-30-00;34;22;0;4;8
2016-02-17-16-45-00;20;7;2;2;9
2016-02-17-17-00-00;26;12;0;1;13
2016-02-17-17-15-00;30;17;1;1;11
2016-02-17-17-30-00;24;16;0;1;7
2016-02-17-17-45-00;31;21;1;1;8
2016-02-17-18-00-00;25;15;2;4;4
2016-02-17-18-15-00;21;13;0;0;8
2016-02-17-18-30-00;9;6;1;0;2
2016-02-17-18-45-00;22;7;0;1;14
2016-02-17-19-00-00;15;9;0;2;4
2016-02-17-19-15-00;7;4;0;0;3
2016-02-17-19-30-00;8;4;0;1;3
2016-02-17-19-45-00;9;3;0;1;5
2016-02-17-20-00-00;7;5;0;1;1
2016-02-17-20-15-00;4;2;0;0;2
2016-02-17-20-30-00;2;1;1;0;0
2016-02-17-20-45-00;1;0;0;1;0
2016-02-17-21-00-00;5;3;0;0;2
2016-02-17-21-15-00;5;1;0;2;2
2016-02-17-21-30-00;2;1;0;0;1
2016-02-17-21-45-00;2;0;0;0;2
2016-02-17-22-00-00;2;1;0;0;1
2016-02-17-22-15-00;3;1;0;1;1
2016-02-17-22-30-00;3;1;1;1;0
2016-02-17-22-45-00;2;0;0;0;2
2016-02-17-23-00-00;2;1;0;0;1
2016-02-17-23-15-00;0;0;0;0;0
2016-02-17-23-30-00;1;1;0;0;0
2016-02-17-23-45-00;0;0;0;0;0
2016-02-18-00-00-00;1;0;0;1;0
2016-02-18-00-15-00;0;0;0;0;0
2016-02-18-00-30-00;0;0;0;0;0
2016-02-18-00-45-00;0;0;0;0;0
2016-02-18-01-00-00;0;0;0;0;0
2016-02-18-01-15-00;0;0;0;0;0
2016-02-18-01-30-00;0;0;0;0;0
2016-02-18-01-45-00;0;0;0;0;0
2016-02-18-02-00-00;0;0;0;0;0
2016-02-18-02-15-00;0;0;0;0;0
2016-02-18-02-30-00;0;0;0;0;0
2016-02-18-02-45-00;0;0;0;0;0
2016-02-18-03-00-00;0;0;0;0;0
2016-02-18-03-15-00;0;0;0;0;0
2016-02-18-03-30-00;0;0;0;0;0
2016-02-18-03-45-00;0;0;0;0;0
2016-02-18-04-00-00;0;0;0;0;0
2016-02-18-04-15-00;0;0;0;0;0
2016-02-18-04-30-00;0;0;0;0;0
2016-02-18-04-45-00;0;0;0;0;0
2016-02-18-05-00-00;1;1;0;0;0
2016-02-18-05-15-00;0;0;0;0;0
2016-02-18-05-30-00;1;0;0;0;1
2016-02-18-05-45-00;0;0;0;0;0
2016-02-18-06-00-00;1;0;0;0;1
2016-02-18-06-15-00;1;0;0;0;1
2016-02-18-06-30-00;4;0;0;0;4
2016-02-18-06-45-00;7;3;0;0;4
2016-02-18-07-00-00;11;5;0;0;6
2016-02-18-07-15-00;19;9;0;0;10
2016-02-18-07-30-00;46;17;2;0;27
2016-02-18-07-45-00;22;9;0;0;13
2016-02-18-08-00-00;24;11;0;1;12
2016-02-18-08-15-00;30;10;0;1;19
2016-02-18-08-30-00;37;9;1;0;27
2016-02-18-08-45-00;25;7;1;0;17
2016-02-18-09-00-00;14;9;0;1;4
2016-02-18-09-15-00;19;11;0;0;8
2016-02-18-09-30-00;5;4;0;0;1
2016-02-18-09-45-00;6;3;0;0;3
2016-02-18-10-00-00;5;5;0;0;0
2016-02-18-10-15-00;7;2;0;0;5
2016-02-18-10-30-00;11;6;0;0;5
2016-02-18-10-45-00;7;2;0;1;4
2016-02-18-11-00-00;8;3;0;0;5
2016-02-18-11-15-00;14;7;1;0;6
2016-02-18-11-30-00;8;5;0;0;3
2016-02-18-11-45-00;11;7;0;1;3
2016-02-18-12-00-00;17;11;1;0;5
2016-02-18-12-15-00;7;2;0;0;5
2016-02-18-12-30-00;8;1;0;0;7
2016-02-18-12-45-00;10;5;0;0;5
