 ;5.12 BN - Straßburger Weg ;5.12 BN - Straßenburger Weg Radfahrer Ri. Süden ;5.12 BN - Straßenburger Weg Radfahrer Ri. Norden
2015-06-04-17-00-00;37;11;26
2015-06-04-17-15-00;48;32;16
2015-06-04-17-30-00;39;13;26
2015-06-04-17-45-00;35;10;25
2015-06-04-18-00-00;44;23;21
2015-06-04-18-15-00;33;22;11
2015-06-04-18-30-00;20;9;11
2015-06-04-18-45-00;17;13;4
2015-06-04-19-00-00;33;16;17
2015-06-04-19-15-00;27;14;13
2015-06-04-19-30-00;31;18;13
2015-06-04-19-45-00;17;5;12
2015-06-04-20-00-00;23;7;16
2015-06-04-20-15-00;24;14;10
2015-06-04-20-30-00;19;13;6
2015-06-04-20-45-00;22;10;12
2015-06-04-21-00-00;19;9;10
2015-06-04-21-15-00;23;8;15
2015-06-04-21-30-00;12;6;6
2015-06-04-21-45-00;20;3;17
2015-06-04-22-00-00;9;4;5
2015-06-04-22-15-00;10;6;4
2015-06-04-22-30-00;9;1;8
2015-06-04-22-45-00;9;5;4
2015-06-04-23-00-00;7;4;3
2015-06-04-23-15-00;3;2;1
2015-06-04-23-30-00;7;3;4
2015-06-04-23-45-00;4;3;1
2015-06-05-00-00-00;5;2;3
2015-06-05-00-15-00;5;2;3
2015-06-05-00-30-00;4;1;3
2015-06-05-00-45-00;2;0;2
2015-06-05-01-00-00;4;0;4
2015-06-05-01-15-00;1;0;1
2015-06-05-01-30-00;3;0;3
2015-06-05-01-45-00;1;0;1
2015-06-05-02-00-00;0;0;0
2015-06-05-02-15-00;0;0;0
2015-06-05-02-30-00;0;0;0
2015-06-05-02-45-00;0;0;0
2015-06-05-03-00-00;0;0;0
2015-06-05-03-15-00;0;0;0
2015-06-05-03-30-00;1;1;0
2015-06-05-03-45-00;0;0;0
2015-06-05-04-00-00;0;0;0
2015-06-05-04-15-00;0;0;0
2015-06-05-04-30-00;0;0;0
2015-06-05-04-45-00;1;1;0
2015-06-05-05-00-00;2;2;0
2015-06-05-05-15-00;0;0;0
2015-06-05-05-30-00;4;2;2
2015-06-05-05-45-00;8;6;2
2015-06-05-06-00-00;8;2;6
2015-06-05-06-15-00;10;5;5
2015-06-05-06-30-00;15;8;7
2015-06-05-06-45-00;14;8;6
2015-06-05-07-00-00;23;11;12
2015-06-05-07-15-00;30;13;17
2015-06-05-07-30-00;48;29;19
2015-06-05-07-45-00;47;27;20
2015-06-05-08-00-00;47;27;20
2015-06-05-08-15-00;56;25;31
2015-06-05-08-30-00;71;37;34
2015-06-05-08-45-00;65;24;41
2015-06-05-09-00-00;47;20;27
2015-06-05-09-15-00;38;19;19
2015-06-05-09-30-00;33;23;10
2015-06-05-09-45-00;35;23;12
2015-06-05-10-00-00;44;28;16
2015-06-05-10-15-00;29;17;12
2015-06-05-10-30-00;32;20;12
2015-06-05-10-45-00;27;15;12
2015-06-05-11-00-00;39;15;24
2015-06-05-11-15-00;22;14;8
2015-06-05-11-30-00;39;19;20
2015-06-05-11-45-00;40;20;20
2015-06-05-12-00-00;40;13;27
2015-06-05-12-15-00;31;10;21
2015-06-05-12-30-00;32;17;15
2015-06-05-12-45-00;37;19;18
2015-06-05-13-00-00;50;25;25
2015-06-05-13-15-00;40;18;22
2015-06-05-13-30-00;42;13;29
2015-06-05-13-45-00;38;22;16
2015-06-05-14-00-00;32;17;15
2015-06-05-14-15-00;53;22;31
2015-06-05-14-30-00;58;30;28
2015-06-05-14-45-00;38;12;26
2015-06-05-15-00-00;40;14;26
2015-06-05-15-15-00;54;27;27
2015-06-05-15-30-00;48;22;26
2015-06-05-15-45-00;44;15;29
2015-06-05-16-00-00;45;14;31
2015-06-05-16-15-00;50;25;25
2015-06-05-16-30-00;56;24;32
2015-06-05-16-45-00;40;19;21
2015-06-05-17-00-00;50;30;20
2015-06-05-17-15-00;45;16;29
2015-06-05-17-30-00;39;13;26
2015-06-05-17-45-00;47;25;22
2015-06-05-18-00-00;38;12;26
2015-06-05-18-15-00;41;24;17
2015-06-05-18-30-00;53;21;32
2015-06-05-18-45-00;31;15;16
2015-06-05-19-00-00;35;15;20
2015-06-05-19-15-00;42;21;21
2015-06-05-19-30-00;33;18;15
2015-06-05-19-45-00;28;15;13
2015-06-05-20-00-00;22;4;18
2015-06-05-20-15-00;29;12;17
2015-06-05-20-30-00;9;5;4
2015-06-05-20-45-00;19;11;8
2015-06-05-21-00-00;12;4;8
2015-06-05-21-15-00;20;9;11
2015-06-05-21-30-00;11;5;6
2015-06-05-21-45-00;14;6;8
2015-06-05-22-00-00;3;2;1
2015-06-05-22-15-00;14;6;8
2015-06-05-22-30-00;12;4;8
2015-06-05-22-45-00;9;3;6
2015-06-05-23-00-00;12;7;5
2015-06-05-23-15-00;9;6;3
2015-06-05-23-30-00;8;0;8
2015-06-05-23-45-00;19;6;13
2015-06-06-00-00-00;7;0;7
2015-06-06-00-15-00;10;7;3
2015-06-06-00-30-00;3;0;3
2015-06-06-00-45-00;3;0;3
2015-06-06-01-00-00;2;2;0
2015-06-06-01-15-00;0;0;0
2015-06-06-01-30-00;2;0;2
2015-06-06-01-45-00;2;0;2
2015-06-06-02-00-00;0;0;0
2015-06-06-02-15-00;2;1;1
2015-06-06-02-30-00;1;1;0
2015-06-06-02-45-00;0;0;0
2015-06-06-03-00-00;0;0;0
2015-06-06-03-15-00;0;0;0
2015-06-06-03-30-00;0;0;0
2015-06-06-03-45-00;0;0;0
2015-06-06-04-00-00;0;0;0
2015-06-06-04-15-00;2;1;1
2015-06-06-04-30-00;1;0;1
2015-06-06-04-45-00;2;1;1
2015-06-06-05-00-00;2;1;1
2015-06-06-05-15-00;0;0;0
2015-06-06-05-30-00;1;0;1
2015-06-06-05-45-00;3;0;3
2015-06-06-06-00-00;0;0;0
2015-06-06-06-15-00;1;0;1
2015-06-06-06-30-00;1;0;1
2015-06-06-06-45-00;3;2;1
2015-06-06-07-00-00;1;0;1
2015-06-06-07-15-00;2;2;0
2015-06-06-07-30-00;2;2;0
2015-06-06-07-45-00;3;3;0
2015-06-06-08-00-00;9;4;5
2015-06-06-08-15-00;6;3;3
2015-06-06-08-30-00;13;7;6
2015-06-06-08-45-00;10;6;4
2015-06-06-09-00-00;11;4;7
2015-06-06-09-15-00;18;12;6
2015-06-06-09-30-00;13;11;2
2015-06-06-09-45-00;18;12;6
2015-06-06-10-00-00;13;10;3
2015-06-06-10-15-00;19;8;11
2015-06-06-10-30-00;32;19;13
2015-06-06-10-45-00;24;12;12
2015-06-06-11-00-00;15;8;7
2015-06-06-11-15-00;29;16;13
2015-06-06-11-30-00;28;15;13
2015-06-06-11-45-00;27;15;12
2015-06-06-12-00-00;20;11;9
2015-06-06-12-15-00;28;9;19
2015-06-06-12-30-00;25;16;9
2015-06-06-12-45-00;22;8;14
2015-06-06-13-00-00;22;11;11
2015-06-06-13-15-00;24;9;15
2015-06-06-13-30-00;52;21;31
2015-06-06-13-45-00;31;15;16
2015-06-06-14-00-00;27;6;21
2015-06-06-14-15-00;28;16;12
2015-06-06-14-30-00;35;17;18
2015-06-06-14-45-00;42;21;21
2015-06-06-15-00-00;41;20;21
2015-06-06-15-15-00;36;15;21
2015-06-06-15-30-00;26;11;15
2015-06-06-15-45-00;36;14;22
2015-06-06-16-00-00;48;20;28
2015-06-06-16-15-00;45;17;28
2015-06-06-16-30-00;33;11;22
2015-06-06-16-45-00;33;12;21
2015-06-06-17-00-00;41;25;16
2015-06-06-17-15-00;26;12;14
2015-06-06-17-30-00;41;17;24
2015-06-06-17-45-00;36;12;24
2015-06-06-18-00-00;46;16;30
2015-06-06-18-15-00;30;16;14
2015-06-06-18-30-00;24;11;13
2015-06-06-18-45-00;34;12;22
2015-06-06-19-00-00;38;20;18
2015-06-06-19-15-00;36;11;25
2015-06-06-19-30-00;30;13;17
2015-06-06-19-45-00;29;8;21
2015-06-06-20-00-00;23;4;19
2015-06-06-20-15-00;12;6;6
2015-06-06-20-30-00;15;5;10
2015-06-06-20-45-00;7;0;7
2015-06-06-21-00-00;17;6;11
2015-06-06-21-15-00;13;5;8
2015-06-06-21-30-00;8;2;6
2015-06-06-21-45-00;6;2;4
2015-06-06-22-00-00;14;11;3
2015-06-06-22-15-00;8;4;4
2015-06-06-22-30-00;3;0;3
2015-06-06-22-45-00;11;6;5
2015-06-06-23-00-00;12;3;9
2015-06-06-23-15-00;10;5;5
2015-06-06-23-30-00;13;3;10
2015-06-06-23-45-00;11;3;8
2015-06-07-00-00-00;8;4;4
2015-06-07-00-15-00;8;2;6
2015-06-07-00-30-00;8;2;6
2015-06-07-00-45-00;5;1;4
2015-06-07-01-00-00;5;2;3
2015-06-07-01-15-00;6;0;6
2015-06-07-01-30-00;3;1;2
2015-06-07-01-45-00;4;4;0
2015-06-07-02-00-00;3;0;3
2015-06-07-02-15-00;3;0;3
2015-06-07-02-30-00;1;0;1
2015-06-07-02-45-00;0;0;0
2015-06-07-03-00-00;2;1;1
2015-06-07-03-15-00;0;0;0
2015-06-07-03-30-00;2;0;2
2015-06-07-03-45-00;1;0;1
2015-06-07-04-00-00;0;0;0
2015-06-07-04-15-00;4;1;3
2015-06-07-04-30-00;0;0;0
2015-06-07-04-45-00;1;1;0
2015-06-07-05-00-00;0;0;0
2015-06-07-05-15-00;0;0;0
2015-06-07-05-30-00;1;0;1
2015-06-07-05-45-00;1;0;1
2015-06-07-06-00-00;0;0;0
2015-06-07-06-15-00;0;0;0
2015-06-07-06-30-00;0;0;0
2015-06-07-06-45-00;0;0;0
2015-06-07-07-00-00;0;0;0
2015-06-07-07-15-00;1;0;1
2015-06-07-07-30-00;0;0;0
2015-06-07-07-45-00;3;2;1
2015-06-07-08-00-00;6;3;3
2015-06-07-08-15-00;5;3;2
2015-06-07-08-30-00;3;3;0
2015-06-07-08-45-00;2;2;0
2015-06-07-09-00-00;7;4;3
2015-06-07-09-15-00;11;10;1
2015-06-07-09-30-00;10;6;4
2015-06-07-09-45-00;9;6;3
2015-06-07-10-00-00;6;2;4
2015-06-07-10-15-00;23;6;17
2015-06-07-10-30-00;22;11;11
2015-06-07-10-45-00;23;8;15
2015-06-07-11-00-00;25;11;14
2015-06-07-11-15-00;32;11;21
2015-06-07-11-30-00;22;9;13
