 ;5.12 BN - Straßburger Weg ;5.12 BN - Straßenburger Weg Radfahrer Ri. Süden ;5.12 BN - Straßenburger Weg Radfahrer Ri. Norden
2015-10-05-06-30-00;14;11;3
2015-10-05-06-45-00;22;9;13
2015-10-05-07-00-00;21;9;12
2015-10-05-07-15-00;34;25;9
2015-10-05-07-30-00;39;17;22
2015-10-05-07-45-00;50;20;30
2015-10-05-08-00-00;46;22;24
2015-10-05-08-15-00;68;22;46
2015-10-05-08-30-00;80;32;48
2015-10-05-08-45-00;103;30;73
2015-10-05-09-00-00;63;24;39
2015-10-05-09-15-00;48;17;31
2015-10-05-09-30-00;39;23;16
2015-10-05-09-45-00;33;18;15
2015-10-05-10-00-00;23;16;7
2015-10-05-10-15-00;29;19;10
2015-10-05-10-30-00;12;9;3
2015-10-05-10-45-00;19;9;10
2015-10-05-11-00-00;22;13;9
2015-10-05-11-15-00;11;6;5
2015-10-05-11-30-00;24;16;8
2015-10-05-11-45-00;19;4;15
2015-10-05-12-00-00;21;8;13
2015-10-05-12-15-00;36;18;18
2015-10-05-12-30-00;33;14;19
2015-10-05-12-45-00;21;10;11
2015-10-05-13-00-00;39;14;25
2015-10-05-13-15-00;29;8;21
2015-10-05-13-30-00;30;14;16
2015-10-05-13-45-00;38;15;23
2015-10-05-14-00-00;32;18;14
2015-10-05-14-15-00;36;13;23
2015-10-05-14-30-00;44;23;21
2015-10-05-14-45-00;31;13;18
2015-10-05-15-00-00;34;18;16
2015-10-05-15-15-00;45;20;25
2015-10-05-15-30-00;47;19;28
2015-10-05-15-45-00;36;17;19
2015-10-05-16-00-00;37;19;18
2015-10-05-16-15-00;45;13;32
2015-10-05-16-30-00;69;29;40
2015-10-05-16-45-00;50;22;28
2015-10-05-17-00-00;53;24;29
2015-10-05-17-15-00;57;26;31
2015-10-05-17-30-00;72;43;29
2015-10-05-17-45-00;66;32;34
2015-10-05-18-00-00;53;32;21
2015-10-05-18-15-00;66;40;26
2015-10-05-18-30-00;57;28;29
2015-10-05-18-45-00;52;23;29
2015-10-05-19-00-00;33;11;22
2015-10-05-19-15-00;42;13;29
2015-10-05-19-30-00;27;13;14
2015-10-05-19-45-00;27;12;15
2015-10-05-20-00-00;35;16;19
2015-10-05-20-15-00;22;7;15
2015-10-05-20-30-00;21;8;13
2015-10-05-20-45-00;8;6;2
2015-10-05-21-00-00;17;6;11
2015-10-05-21-15-00;11;4;7
2015-10-05-21-30-00;6;3;3
2015-10-05-21-45-00;6;1;5
2015-10-05-22-00-00;8;5;3
2015-10-05-22-15-00;9;3;6
2015-10-05-22-30-00;6;3;3
2015-10-05-22-45-00;3;1;2
2015-10-05-23-00-00;8;4;4
2015-10-05-23-15-00;3;0;3
2015-10-05-23-30-00;0;0;0
2015-10-05-23-45-00;0;0;0
2015-10-06-00-00-00;0;0;0
2015-10-06-00-15-00;1;1;0
2015-10-06-00-30-00;1;0;1
2015-10-06-00-45-00;1;0;1
2015-10-06-01-00-00;0;0;0
2015-10-06-01-15-00;1;1;0
2015-10-06-01-30-00;0;0;0
2015-10-06-01-45-00;1;0;1
2015-10-06-02-00-00;1;0;1
2015-10-06-02-15-00;1;0;1
2015-10-06-02-30-00;0;0;0
2015-10-06-02-45-00;0;0;0
2015-10-06-03-00-00;0;0;0
2015-10-06-03-15-00;0;0;0
2015-10-06-03-30-00;1;0;1
2015-10-06-03-45-00;0;0;0
2015-10-06-04-00-00;1;1;0
2015-10-06-04-15-00;0;0;0
2015-10-06-04-30-00;1;1;0
2015-10-06-04-45-00;1;1;0
2015-10-06-05-00-00;0;0;0
2015-10-06-05-15-00;1;0;1
2015-10-06-05-30-00;3;2;1
2015-10-06-05-45-00;8;2;6
2015-10-06-06-00-00;8;3;5
2015-10-06-06-15-00;7;4;3
2015-10-06-06-30-00;14;11;3
2015-10-06-06-45-00;23;12;11
2015-10-06-07-00-00;16;9;7
2015-10-06-07-15-00;27;18;9
2015-10-06-07-30-00;40;20;20
2015-10-06-07-45-00;43;20;23
2015-10-06-08-00-00;48;20;28
2015-10-06-08-15-00;85;32;53
2015-10-06-08-30-00;85;25;60
2015-10-06-08-45-00;102;37;65
2015-10-06-09-00-00;50;17;33
2015-10-06-09-15-00;42;12;30
2015-10-06-09-30-00;36;16;20
2015-10-06-09-45-00;29;16;13
2015-10-06-10-00-00;35;20;15
2015-10-06-10-15-00;27;18;9
2015-10-06-10-30-00;17;9;8
2015-10-06-10-45-00;13;11;2
2015-10-06-11-00-00;24;13;11
2015-10-06-11-15-00;14;8;6
2015-10-06-11-30-00;23;13;10
2015-10-06-11-45-00;17;8;9
2015-10-06-12-00-00;23;14;9
2015-10-06-12-15-00;25;17;8
2015-10-06-12-30-00;22;8;14
2015-10-06-12-45-00;22;7;15
2015-10-06-13-00-00;22;7;15
2015-10-06-13-15-00;34;13;21
2015-10-06-13-30-00;26;17;9
2015-10-06-13-45-00;39;19;20
2015-10-06-14-00-00;26;14;12
2015-10-06-14-15-00;27;10;17
2015-10-06-14-30-00;31;16;15
2015-10-06-14-45-00;31;10;21
2015-10-06-15-00-00;29;16;13
2015-10-06-15-15-00;32;12;20
2015-10-06-15-30-00;17;7;10
2015-10-06-15-45-00;19;4;15
2015-10-06-16-00-00;19;14;5
2015-10-06-16-15-00;38;19;19
2015-10-06-16-30-00;45;22;23
2015-10-06-16-45-00;45;22;23
2015-10-06-17-00-00;56;30;26
2015-10-06-17-15-00;50;29;21
2015-10-06-17-30-00;41;27;14
2015-10-06-17-45-00;55;29;26
2015-10-06-18-00-00;46;25;21
2015-10-06-18-15-00;52;24;28
2015-10-06-18-30-00;43;23;20
2015-10-06-18-45-00;39;21;18
2015-10-06-19-00-00;38;18;20
2015-10-06-19-15-00;27;10;17
2015-10-06-19-30-00;25;13;12
2015-10-06-19-45-00;21;9;12
2015-10-06-20-00-00;19;11;8
2015-10-06-20-15-00;10;3;7
2015-10-06-20-30-00;16;5;11
2015-10-06-20-45-00;14;6;8
2015-10-06-21-00-00;15;7;8
2015-10-06-21-15-00;12;1;11
2015-10-06-21-30-00;9;2;7
2015-10-06-21-45-00;9;2;7
2015-10-06-22-00-00;10;3;7
2015-10-06-22-15-00;14;3;11
2015-10-06-22-30-00;7;2;5
2015-10-06-22-45-00;2;1;1
2015-10-06-23-00-00;4;2;2
2015-10-06-23-15-00;4;3;1
2015-10-06-23-30-00;9;1;8
2015-10-06-23-45-00;3;1;2
2015-10-07-00-00-00;5;2;3
2015-10-07-00-15-00;0;0;0
2015-10-07-00-30-00;1;0;1
2015-10-07-00-45-00;0;0;0
2015-10-07-01-00-00;0;0;0
2015-10-07-01-15-00;3;1;2
2015-10-07-01-30-00;0;0;0
2015-10-07-01-45-00;1;0;1
2015-10-07-02-00-00;0;0;0
2015-10-07-02-15-00;0;0;0
2015-10-07-02-30-00;0;0;0
2015-10-07-02-45-00;1;1;0
2015-10-07-03-00-00;0;0;0
2015-10-07-03-15-00;0;0;0
2015-10-07-03-30-00;0;0;0
2015-10-07-03-45-00;0;0;0
2015-10-07-04-00-00;0;0;0
2015-10-07-04-15-00;2;1;1
2015-10-07-04-30-00;0;0;0
2015-10-07-04-45-00;1;1;0
2015-10-07-05-00-00;1;1;0
2015-10-07-05-15-00;0;0;0
2015-10-07-05-30-00;5;4;1
2015-10-07-05-45-00;8;5;3
2015-10-07-06-00-00;9;5;4
2015-10-07-06-15-00;9;5;4
2015-10-07-06-30-00;12;10;2
2015-10-07-06-45-00;24;13;11
2015-10-07-07-00-00;22;12;10
2015-10-07-07-15-00;24;15;9
2015-10-07-07-30-00;34;17;17
2015-10-07-07-45-00;46;15;31
2015-10-07-08-00-00;56;24;32
2015-10-07-08-15-00;76;28;48
2015-10-07-08-30-00;90;24;66
2015-10-07-08-45-00;84;28;56
2015-10-07-09-00-00;68;30;38
2015-10-07-09-15-00;52;17;35
2015-10-07-09-30-00;28;9;19
2015-10-07-09-45-00;24;19;5
2015-10-07-10-00-00;27;14;13
2015-10-07-10-15-00;29;18;11
2015-10-07-10-30-00;23;14;9
2015-10-07-10-45-00;28;16;12
2015-10-07-11-00-00;25;16;9
2015-10-07-11-15-00;30;19;11
2015-10-07-11-30-00;22;14;8
2015-10-07-11-45-00;22;6;16
2015-10-07-12-00-00;29;18;11
2015-10-07-12-15-00;32;14;18
2015-10-07-12-30-00;27;8;19
2015-10-07-12-45-00;37;12;25
2015-10-07-13-00-00;27;15;12
2015-10-07-13-15-00;22;9;13
2015-10-07-13-30-00;36;10;26
2015-10-07-13-45-00;32;16;16
2015-10-07-14-00-00;32;15;17
2015-10-07-14-15-00;28;11;17
2015-10-07-14-30-00;36;14;22
2015-10-07-14-45-00;31;15;16
2015-10-07-15-00-00;31;7;24
2015-10-07-15-15-00;36;19;17
2015-10-07-15-30-00;38;13;25
2015-10-07-15-45-00;34;16;18
2015-10-07-16-00-00;39;13;26
2015-10-07-16-15-00;53;33;20
2015-10-07-16-30-00;66;34;32
2015-10-07-16-45-00;55;30;25
2015-10-07-17-00-00;60;29;31
2015-10-07-17-15-00;64;38;26
2015-10-07-17-30-00;78;37;41
2015-10-07-17-45-00;56;32;24
2015-10-07-18-00-00;52;26;26
2015-10-07-18-15-00;69;37;32
2015-10-07-18-30-00;48;17;31
2015-10-07-18-45-00;37;16;21
2015-10-07-19-00-00;43;23;20
2015-10-07-19-15-00;48;33;15
2015-10-07-19-30-00;32;14;18
2015-10-07-19-45-00;22;10;12
2015-10-07-20-00-00;22;12;10
2015-10-07-20-15-00;17;3;14
2015-10-07-20-30-00;22;8;14
2015-10-07-20-45-00;15;8;7
2015-10-07-21-00-00;22;8;14
2015-10-07-21-15-00;13;7;6
2015-10-07-21-30-00;10;4;6
2015-10-07-21-45-00;12;2;10
2015-10-07-22-00-00;7;1;6
2015-10-07-22-15-00;10;3;7
2015-10-07-22-30-00;6;1;5
2015-10-07-22-45-00;8;2;6
2015-10-07-23-00-00;9;1;8
2015-10-07-23-15-00;3;3;0
2015-10-07-23-30-00;2;1;1
2015-10-07-23-45-00;2;0;2
2015-10-08-00-00-00;1;0;1
2015-10-08-00-15-00;4;1;3
2015-10-08-00-30-00;3;2;1
2015-10-08-00-45-00;2;1;1
2015-10-08-01-00-00;0;0;0
2015-10-08-01-15-00;1;0;1
2015-10-08-01-30-00;1;0;1
2015-10-08-01-45-00;0;0;0
2015-10-08-02-00-00;1;0;1
2015-10-08-02-15-00;1;0;1
2015-10-08-02-30-00;0;0;0
2015-10-08-02-45-00;0;0;0
2015-10-08-03-00-00;1;0;1
2015-10-08-03-15-00;0;0;0
2015-10-08-03-30-00;1;1;0
2015-10-08-03-45-00;0;0;0
2015-10-08-04-00-00;2;1;1
2015-10-08-04-15-00;0;0;0
2015-10-08-04-30-00;0;0;0
2015-10-08-04-45-00;0;0;0
2015-10-08-05-00-00;1;0;1
2015-10-08-05-15-00;0;0;0
2015-10-08-05-30-00;2;2;0
2015-10-08-05-45-00;6;3;3
2015-10-08-06-00-00;10;6;4
2015-10-08-06-15-00;5;4;1
2015-10-08-06-30-00;24;13;11
2015-10-08-06-45-00;22;10;12
2015-10-08-07-00-00;18;10;8
2015-10-08-07-15-00;21;14;7
2015-10-08-07-30-00;36;15;21
2015-10-08-07-45-00;45;24;21
2015-10-08-08-00-00;54;17;37
2015-10-08-08-15-00;61;20;41
2015-10-08-08-30-00;80;29;51
2015-10-08-08-45-00;80;32;48
2015-10-08-09-00-00;69;18;51
2015-10-08-09-15-00;59;25;34
2015-10-08-09-30-00;38;19;19
2015-10-08-09-45-00;27;15;12
2015-10-08-10-00-00;25;19;6
2015-10-08-10-15-00;15;7;8
2015-10-08-10-30-00;23;11;12
2015-10-08-10-45-00;15;7;8
2015-10-08-11-00-00;22;10;12
2015-10-08-11-15-00;10;7;3
2015-10-08-11-30-00;9;4;5
2015-10-08-11-45-00;14;9;5
2015-10-08-12-00-00;9;5;4
2015-10-08-12-15-00;15;7;8
2015-10-08-12-30-00;19;8;11
2015-10-08-12-45-00;20;9;11
2015-10-08-13-00-00;14;6;8
2015-10-08-13-15-00;17;8;9
2015-10-08-13-30-00;19;7;12
2015-10-08-13-45-00;12;3;9
2015-10-08-14-00-00;17;4;13
2015-10-08-14-15-00;27;11;16
2015-10-08-14-30-00;25;11;14
2015-10-08-14-45-00;18;7;11
2015-10-08-15-00-00;21;9;12
2015-10-08-15-15-00;19;9;10
2015-10-08-15-30-00;17;12;5
2015-10-08-15-45-00;44;25;19
2015-10-08-16-00-00;35;19;16
2015-10-08-16-15-00;48;20;28
2015-10-08-16-30-00;41;25;16
2015-10-08-16-45-00;36;14;22
2015-10-08-17-00-00;56;25;31
2015-10-08-17-15-00;56;35;21
2015-10-08-17-30-00;52;26;26
2015-10-08-17-45-00;47;28;19
2015-10-08-18-00-00;56;34;22
2015-10-08-18-15-00;53;32;21
2015-10-08-18-30-00;36;14;22
2015-10-08-18-45-00;37;17;20
2015-10-08-19-00-00;36;14;22
2015-10-08-19-15-00;33;17;16
2015-10-08-19-30-00;27;15;12
2015-10-08-19-45-00;19;7;12
2015-10-08-20-00-00;12;2;10
2015-10-08-20-15-00;12;4;8
2015-10-08-20-30-00;14;5;9
2015-10-08-20-45-00;13;6;7
2015-10-08-21-00-00;10;2;8
2015-10-08-21-15-00;10;1;9
2015-10-08-21-30-00;11;3;8
2015-10-08-21-45-00;7;3;4
2015-10-08-22-00-00;8;3;5
2015-10-08-22-15-00;7;3;4
2015-10-08-22-30-00;6;0;6
2015-10-08-22-45-00;8;1;7
2015-10-08-23-00-00;7;1;6
2015-10-08-23-15-00;6;2;4
2015-10-08-23-30-00;4;1;3
2015-10-08-23-45-00;2;0;2
2015-10-09-00-00-00;2;1;1
2015-10-09-00-15-00;1;0;1
2015-10-09-00-30-00;2;0;2
2015-10-09-00-45-00;1;0;1
2015-10-09-01-00-00;1;1;0
2015-10-09-01-15-00;0;0;0
2015-10-09-01-30-00;0;0;0
2015-10-09-01-45-00;1;0;1
2015-10-09-02-00-00;2;0;2
2015-10-09-02-15-00;1;0;1
2015-10-09-02-30-00;1;1;0
2015-10-09-02-45-00;0;0;0
2015-10-09-03-00-00;0;0;0
2015-10-09-03-15-00;0;0;0
2015-10-09-03-30-00;0;0;0
2015-10-09-03-45-00;0;0;0
2015-10-09-04-00-00;3;1;2
2015-10-09-04-15-00;1;1;0
2015-10-09-04-30-00;0;0;0
2015-10-09-04-45-00;0;0;0
2015-10-09-05-00-00;0;0;0
2015-10-09-05-15-00;1;0;1
2015-10-09-05-30-00;5;3;2
2015-10-09-05-45-00;6;3;3
2015-10-09-06-00-00;4;3;1
2015-10-09-06-15-00;5;3;2
2015-10-09-06-30-00;16;9;7
2015-10-09-06-45-00;23;12;11
2015-10-09-07-00-00;13;8;5
2015-10-09-07-15-00;13;8;5
2015-10-09-07-30-00;33;15;18
2015-10-09-07-45-00;30;14;16
2015-10-09-08-00-00;43;21;22
2015-10-09-08-15-00;56;18;38
2015-10-09-08-30-00;63;22;41
2015-10-09-08-45-00;84;32;52
2015-10-09-09-00-00;39;13;26
2015-10-09-09-15-00;37;14;23
2015-10-09-09-30-00;35;14;21
2015-10-09-09-45-00;31;15;16
2015-10-09-10-00-00;14;10;4
2015-10-09-10-15-00;17;7;10
2015-10-09-10-30-00;21;16;5
2015-10-09-10-45-00;15;9;6
2015-10-09-11-00-00;14;9;5
2015-10-09-11-15-00;9;6;3
2015-10-09-11-30-00;14;9;5
2015-10-09-11-45-00;19;10;9
2015-10-09-12-00-00;21;10;11
2015-10-09-12-15-00;23;7;16
2015-10-09-12-30-00;17;9;8
2015-10-09-12-45-00;26;11;15
2015-10-09-13-00-00;28;15;13
2015-10-09-13-15-00;35;10;25
2015-10-09-13-30-00;33;15;18
2015-10-09-13-45-00;29;11;18
2015-10-09-14-00-00;36;8;28
2015-10-09-14-15-00;36;17;19
2015-10-09-14-30-00;29;16;13
2015-10-09-14-45-00;28;11;17
2015-10-09-15-00-00;24;8;16
2015-10-09-15-15-00;27;14;13
2015-10-09-15-30-00;29;14;15
2015-10-09-15-45-00;36;20;16
2015-10-09-16-00-00;35;21;14
2015-10-09-16-15-00;40;23;17
2015-10-09-16-30-00;43;18;25
2015-10-09-16-45-00;39;22;17
2015-10-09-17-00-00;53;34;19
2015-10-09-17-15-00;35;25;10
2015-10-09-17-30-00;52;23;29
2015-10-09-17-45-00;31;23;8
2015-10-09-18-00-00;33;20;13
2015-10-09-18-15-00;29;17;12
2015-10-09-18-30-00;32;15;17
2015-10-09-18-45-00;28;12;16
2015-10-09-19-00-00;35;11;24
2015-10-09-19-15-00;25;11;14
2015-10-09-19-30-00;18;4;14
2015-10-09-19-45-00;14;6;8
2015-10-09-20-00-00;23;7;16
2015-10-09-20-15-00;12;4;8
2015-10-09-20-30-00;7;5;2
2015-10-09-20-45-00;6;1;5
2015-10-09-21-00-00;8;5;3
2015-10-09-21-15-00;5;1;4
2015-10-09-21-30-00;5;2;3
2015-10-09-21-45-00;5;2;3
2015-10-09-22-00-00;6;1;5
2015-10-09-22-15-00;8;3;5
2015-10-09-22-30-00;12;10;2
2015-10-09-22-45-00;3;2;1
2015-10-09-23-00-00;5;2;3
2015-10-09-23-15-00;6;3;3
2015-10-09-23-30-00;6;1;5
2015-10-09-23-45-00;2;1;1
2015-10-10-00-00-00;1;0;1
2015-10-10-00-15-00;3;0;3
2015-10-10-00-30-00;1;0;1
2015-10-10-00-45-00;1;0;1
2015-10-10-01-00-00;0;0;0
2015-10-10-01-15-00;1;1;0
2015-10-10-01-30-00;3;2;1
2015-10-10-01-45-00;2;0;2
2015-10-10-02-00-00;3;2;1
2015-10-10-02-15-00;1;0;1
2015-10-10-02-30-00;2;0;2
2015-10-10-02-45-00;5;0;5
2015-10-10-03-00-00;1;0;1
2015-10-10-03-15-00;0;0;0
2015-10-10-03-30-00;4;1;3
2015-10-10-03-45-00;1;0;1
2015-10-10-04-00-00;3;0;3
2015-10-10-04-15-00;2;0;2
2015-10-10-04-30-00;2;0;2
2015-10-10-04-45-00;0;0;0
2015-10-10-05-00-00;0;0;0
2015-10-10-05-15-00;0;0;0
2015-10-10-05-30-00;2;0;2
2015-10-10-05-45-00;2;0;2
2015-10-10-06-00-00;0;0;0
2015-10-10-06-15-00;2;0;2
2015-10-10-06-30-00;1;1;0
2015-10-10-06-45-00;0;0;0
2015-10-10-07-00-00;0;0;0
2015-10-10-07-15-00;1;1;0
2015-10-10-07-30-00;1;0;1
2015-10-10-07-45-00;4;4;0
2015-10-10-08-00-00;3;3;0
2015-10-10-08-15-00;3;3;0
2015-10-10-08-30-00;9;7;2
2015-10-10-08-45-00;7;4;3
2015-10-10-09-00-00;10;8;2
2015-10-10-09-15-00;9;5;4
2015-10-10-09-30-00;15;9;6
2015-10-10-09-45-00;15;10;5
2015-10-10-10-00-00;16;8;8
2015-10-10-10-15-00;10;5;5
2015-10-10-10-30-00;17;15;2
2015-10-10-10-45-00;13;8;5
2015-10-10-11-00-00;44;38;6
2015-10-10-11-15-00;15;6;9
2015-10-10-11-30-00;26;20;6
2015-10-10-11-45-00;19;10;9
2015-10-10-12-00-00;29;13;16
2015-10-10-12-15-00;23;13;10
2015-10-10-12-30-00;20;7;13
2015-10-10-12-45-00;22;14;8
2015-10-10-13-00-00;25;7;18
2015-10-10-13-15-00;29;11;18
2015-10-10-13-30-00;29;9;20
2015-10-10-13-45-00;32;17;15
2015-10-10-14-00-00;20;8;12
2015-10-10-14-15-00;31;11;20
2015-10-10-14-30-00;26;8;18
2015-10-10-14-45-00;24;12;12
2015-10-10-15-00-00;33;7;26
2015-10-10-15-15-00;15;11;4
2015-10-10-15-30-00;31;17;14
2015-10-10-15-45-00;26;12;14
2015-10-10-16-00-00;38;24;14
2015-10-10-16-15-00;22;10;12
2015-10-10-16-30-00;28;17;11
2015-10-10-16-45-00;28;11;17
2015-10-10-17-00-00;24;9;15
2015-10-10-17-15-00;19;7;12
2015-10-10-17-30-00;21;10;11
2015-10-10-17-45-00;22;13;9
2015-10-10-18-00-00;23;8;15
2015-10-10-18-15-00;29;8;21
2015-10-10-18-30-00;17;6;11
2015-10-10-18-45-00;21;9;12
2015-10-10-19-00-00;22;4;18
2015-10-10-19-15-00;19;9;10
2015-10-10-19-30-00;17;3;14
2015-10-10-19-45-00;7;3;4
2015-10-10-20-00-00;10;3;7
2015-10-10-20-15-00;11;7;4
2015-10-10-20-30-00;9;4;5
2015-10-10-20-45-00;8;6;2
2015-10-10-21-00-00;6;2;4
2015-10-10-21-15-00;8;2;6
2015-10-10-21-30-00;5;3;2
2015-10-10-21-45-00;3;1;2
2015-10-10-22-00-00;4;2;2
2015-10-10-22-15-00;5;1;4
2015-10-10-22-30-00;6;2;4
2015-10-10-22-45-00;5;3;2
2015-10-10-23-00-00;4;3;1
2015-10-10-23-15-00;8;4;4
2015-10-10-23-30-00;9;3;6
2015-10-10-23-45-00;2;0;2
2015-10-11-00-00-00;3;0;3
2015-10-11-00-15-00;1;1;0
2015-10-11-00-30-00;9;2;7
2015-10-11-00-45-00;3;1;2
2015-10-11-01-00-00;10;2;8
2015-10-11-01-15-00;2;0;2
2015-10-11-01-30-00;2;2;0
2015-10-11-01-45-00;1;0;1
2015-10-11-02-00-00;2;0;2
2015-10-11-02-15-00;3;1;2
2015-10-11-02-30-00;3;1;2
2015-10-11-02-45-00;0;0;0
2015-10-11-03-00-00;1;0;1
2015-10-11-03-15-00;1;0;1
2015-10-11-03-30-00;2;0;2
2015-10-11-03-45-00;0;0;0
2015-10-11-04-00-00;0;0;0
2015-10-11-04-15-00;0;0;0
2015-10-11-04-30-00;7;0;7
2015-10-11-04-45-00;0;0;0
2015-10-11-05-00-00;0;0;0
2015-10-11-05-15-00;1;1;0
2015-10-11-05-30-00;2;0;2
2015-10-11-05-45-00;2;0;2
2015-10-11-06-00-00;0;0;0
2015-10-11-06-15-00;1;1;0
2015-10-11-06-30-00;0;0;0
2015-10-11-06-45-00;1;1;0
2015-10-11-07-00-00;2;1;1
2015-10-11-07-15-00;0;0;0
2015-10-11-07-30-00;3;3;0
2015-10-11-07-45-00;0;0;0
2015-10-11-08-00-00;0;0;0
2015-10-11-08-15-00;1;0;1
2015-10-11-08-30-00;6;5;1
2015-10-11-08-45-00;5;4;1
2015-10-11-09-00-00;5;3;2
2015-10-11-09-15-00;9;7;2
2015-10-11-09-30-00;1;0;1
2015-10-11-09-45-00;11;6;5
2015-10-11-10-00-00;17;11;6
2015-10-11-10-15-00;6;5;1
2015-10-11-10-30-00;5;3;2
2015-10-11-10-45-00;14;8;6
2015-10-11-11-00-00;9;7;2
2015-10-11-11-15-00;9;7;2
2015-10-11-11-30-00;15;9;6
2015-10-11-11-45-00;11;6;5
2015-10-11-12-00-00;8;4;4
2015-10-11-12-15-00;14;4;10
2015-10-11-12-30-00;20;10;10
2015-10-11-12-45-00;13;4;9
2015-10-11-13-00-00;18;10;8
2015-10-11-13-15-00;29;14;15
2015-10-11-13-30-00;34;23;11
2015-10-11-13-45-00;21;13;8
2015-10-11-14-00-00;15;3;12
2015-10-11-14-15-00;13;2;11
2015-10-11-14-30-00;22;15;7
2015-10-11-14-45-00;27;12;15
2015-10-11-15-00-00;14;8;6
2015-10-11-15-15-00;21;10;11
2015-10-11-15-30-00;16;6;10
2015-10-11-15-45-00;26;13;13
2015-10-11-16-00-00;22;8;14
2015-10-11-16-15-00;17;5;12
2015-10-11-16-30-00;15;3;12
2015-10-11-16-45-00;20;13;7
2015-10-11-17-00-00;12;5;7
2015-10-11-17-15-00;18;9;9
2015-10-11-17-30-00;19;9;10
2015-10-11-17-45-00;9;5;4
2015-10-11-18-00-00;22;10;12
2015-10-11-18-15-00;14;7;7
2015-10-11-18-30-00;9;2;7
2015-10-11-18-45-00;13;4;9
2015-10-11-19-00-00;8;3;5
2015-10-11-19-15-00;10;5;5
2015-10-11-19-30-00;14;5;9
2015-10-11-19-45-00;8;4;4
2015-10-11-20-00-00;8;4;4
2015-10-11-20-15-00;4;3;1
2015-10-11-20-30-00;7;2;5
2015-10-11-20-45-00;3;1;2
2015-10-11-21-00-00;9;1;8
2015-10-11-21-15-00;5;0;5
2015-10-11-21-30-00;7;1;6
2015-10-11-21-45-00;1;1;0
2015-10-11-22-00-00;4;0;4
2015-10-11-22-15-00;3;1;2
2015-10-11-22-30-00;4;1;3
2015-10-11-22-45-00;6;0;6
2015-10-11-23-00-00;3;1;2
2015-10-11-23-15-00;4;1;3
2015-10-11-23-30-00;1;0;1
2015-10-11-23-45-00;3;1;2
2015-10-12-00-00-00;4;0;4
2015-10-12-00-15-00;1;1;0
2015-10-12-00-30-00;0;0;0
2015-10-12-00-45-00;0;0;0
2015-10-12-01-00-00;0;0;0
2015-10-12-01-15-00;0;0;0
2015-10-12-01-30-00;0;0;0
2015-10-12-01-45-00;0;0;0
2015-10-12-02-00-00;1;0;1
2015-10-12-02-15-00;0;0;0
2015-10-12-02-30-00;0;0;0
2015-10-12-02-45-00;0;0;0
2015-10-12-03-00-00;0;0;0
2015-10-12-03-15-00;0;0;0
2015-10-12-03-30-00;0;0;0
2015-10-12-03-45-00;0;0;0
2015-10-12-04-00-00;0;0;0
2015-10-12-04-15-00;0;0;0
2015-10-12-04-30-00;0;0;0
2015-10-12-04-45-00;0;0;0
2015-10-12-05-00-00;1;1;0
2015-10-12-05-15-00;0;0;0
2015-10-12-05-30-00;4;2;2
2015-10-12-05-45-00;6;3;3
2015-10-12-06-00-00;4;3;1
2015-10-12-06-15-00;9;6;3
2015-10-12-06-30-00;19;8;11
2015-10-12-06-45-00;16;9;7
2015-10-12-07-00-00;19;12;7
2015-10-12-07-15-00;37;23;14
2015-10-12-07-30-00;34;15;19
2015-10-12-07-45-00;47;26;21
2015-10-12-08-00-00;44;20;24
2015-10-12-08-15-00;63;24;39
2015-10-12-08-30-00;97;30;67
2015-10-12-08-45-00;79;29;50
2015-10-12-09-00-00;56;23;33
2015-10-12-09-15-00;51;21;30
2015-10-12-09-30-00;30;16;14
2015-10-12-09-45-00;23;13;10
2015-10-12-10-00-00;30;17;13
2015-10-12-10-15-00;26;15;11
2015-10-12-10-30-00;25;10;15
2015-10-12-10-45-00;22;14;8
2015-10-12-11-00-00;18;8;10
2015-10-12-11-15-00;18;10;8
2015-10-12-11-30-00;27;21;6
2015-10-12-11-45-00;20;9;11
2015-10-12-12-00-00;30;14;16
2015-10-12-12-15-00;30;15;15
2015-10-12-12-30-00;17;2;15
2015-10-12-12-45-00;28;8;20
2015-10-12-13-00-00;24;12;12
2015-10-12-13-15-00;19;3;16
2015-10-12-13-30-00;35;21;14
2015-10-12-13-45-00;24;7;17
2015-10-12-14-00-00;22;6;16
2015-10-12-14-15-00;44;22;22
2015-10-12-14-30-00;23;15;8
2015-10-12-14-45-00;26;9;17
2015-10-12-15-00-00;25;11;14
2015-10-12-15-15-00;34;17;17
2015-10-12-15-30-00;35;15;20
2015-10-12-15-45-00;42;15;27
2015-10-12-16-00-00;52;28;24
2015-10-12-16-15-00;46;22;24
2015-10-12-16-30-00;58;26;32
2015-10-12-16-45-00;50;28;22
2015-10-12-17-00-00;38;16;22
2015-10-12-17-15-00;55;35;20
2015-10-12-17-30-00;62;29;33
2015-10-12-17-45-00;62;38;24
2015-10-12-18-00-00;51;35;16
2015-10-12-18-15-00;61;32;29
2015-10-12-18-30-00;44;25;19
2015-10-12-18-45-00;44;20;24
2015-10-12-19-00-00;46;21;25
2015-10-12-19-15-00;41;23;18
2015-10-12-19-30-00;27;8;19
2015-10-12-19-45-00;17;9;8
2015-10-12-20-00-00;24;4;20
2015-10-12-20-15-00;12;3;9
2015-10-12-20-30-00;14;6;8
2015-10-12-20-45-00;11;5;6
2015-10-12-21-00-00;18;10;8
2015-10-12-21-15-00;16;4;12
