 ;5.13 BN - Wilhelm-Spiritus-Ufer ;5.13 BN - Wilhelm-Spiritus-Ufer Radfahrer Ri. Süden ;5.13 BN - Wilhelm-Spiritus-Ufer Radfahrer Ri. Norden ;5.13 BN - Wilhelm-Spiritus-Ufer Radfahrer Ri. Süden ;5.13 BN - Wilhelm-Spiritus-Ufer Radfahrer Ri. Norden ;5.13 BN - Wilhelm-Spiritus-Ufer Radfahrer Ri. Süden ;5.13 BN - Wilhelm-Spiritus-Ufer Radfahrer Ri. Norden
2016-07-20-11-15-00;53;25;4;3;21;0;0
2016-07-20-11-30-00;55;23;4;2;26;0;0
2016-07-20-11-45-00;59;25;2;3;29;0;0
2016-07-20-12-00-00;62;25;0;2;35;0;0
2016-07-20-12-15-00;47;26;2;0;19;0;0
2016-07-20-12-30-00;47;17;2;2;26;0;0
2016-07-20-12-45-00;29;14;0;4;11;0;0
2016-07-20-13-00-00;83;39;5;5;34;0;0
2016-07-20-13-15-00;48;27;1;1;19;0;0
2016-07-20-13-30-00;50;18;2;5;25;0;0
2016-07-20-13-45-00;31;12;0;3;16;0;0
2016-07-20-14-00-00;63;36;1;6;20;0;0
2016-07-20-14-15-00;56;22;3;0;31;0;0
2016-07-20-14-30-00;63;36;2;9;16;0;0
2016-07-20-14-45-00;61;28;3;1;29;0;0
2016-07-20-15-00-00;55;37;1;1;16;0;0
2016-07-20-15-15-00;75;41;6;2;26;0;0
2016-07-20-15-30-00;58;31;1;2;24;0;0
2016-07-20-15-45-00;67;34;2;5;26;0;0
2016-07-20-16-00-00;92;43;3;3;43;0;0
2016-07-20-16-15-00;76;48;1;3;24;0;0
2016-07-20-16-30-00;102;60;0;4;38;0;0
2016-07-20-16-45-00;106;77;2;1;26;0;0
2016-07-20-17-00-00;118;80;2;7;29;0;0
2016-07-20-17-15-00;124;89;1;8;26;0;0
2016-07-20-17-30-00;136;80;1;10;45;0;0
2016-07-20-17-45-00;118;68;3;6;41;0;0
2016-07-20-18-00-00;111;64;2;5;40;0;0
2016-07-20-18-15-00;130;78;5;6;41;0;0
2016-07-20-18-30-00;94;50;4;7;33;0;0
2016-07-20-18-45-00;90;43;5;5;37;0;0
2016-07-20-19-00-00;83;46;1;2;34;0;0
2016-07-20-19-15-00;78;35;2;5;36;0;0
2016-07-20-19-30-00;62;29;3;4;26;0;0
2016-07-20-19-45-00;71;36;4;6;25;0;0
2016-07-20-20-00-00;73;38;4;4;27;0;0
2016-07-20-20-15-00;50;28;1;4;17;0;0
2016-07-20-20-30-00;43;25;1;2;15;0;0
2016-07-20-20-45-00;51;29;3;5;14;0;0
2016-07-20-21-00-00;52;27;1;3;21;0;0
2016-07-20-21-15-00;38;23;4;2;9;0;0
2016-07-20-21-30-00;35;20;2;3;10;0;0
2016-07-20-21-45-00;33;22;0;3;8;0;0
2016-07-20-22-00-00;26;15;0;4;7;0;0
2016-07-20-22-15-00;30;15;1;7;7;0;0
2016-07-20-22-30-00;27;14;0;6;7;0;0
2016-07-20-22-45-00;16;8;1;5;2;0;0
2016-07-20-23-00-00;8;5;1;1;1;0;0
2016-07-20-23-15-00;8;7;0;1;0;0;0
2016-07-20-23-30-00;4;1;1;0;2;0;0
2016-07-20-23-45-00;3;2;0;0;1;0;0
2016-07-21-00-00-00;6;3;0;3;0;0;0
2016-07-21-00-15-00;4;4;0;0;0;0;0
2016-07-21-00-30-00;1;1;0;0;0;0;0
2016-07-21-00-45-00;2;1;0;0;1;0;0
2016-07-21-01-00-00;4;2;1;0;1;0;0
2016-07-21-01-15-00;2;1;0;1;0;0;0
2016-07-21-01-30-00;1;1;0;0;0;0;0
2016-07-21-01-45-00;1;1;0;0;0;0;0
2016-07-21-02-00-00;0;0;0;0;0;0;0
2016-07-21-02-15-00;1;1;0;0;0;0;0
2016-07-21-02-30-00;2;1;0;1;0;0;0
2016-07-21-02-45-00;1;0;0;0;1;0;0
2016-07-21-03-00-00;2;0;0;0;2;0;0
2016-07-21-03-15-00;1;1;0;0;0;0;0
2016-07-21-03-30-00;0;0;0;0;0;0;0
2016-07-21-03-45-00;1;1;0;0;0;0;0
2016-07-21-04-00-00;0;0;0;0;0;0;0
2016-07-21-04-15-00;1;0;0;0;1;0;0
2016-07-21-04-30-00;2;1;0;0;1;0;0
2016-07-21-04-45-00;2;1;0;0;1;0;0
2016-07-21-05-00-00;2;2;0;0;0;0;0
2016-07-21-05-15-00;0;0;0;0;0;0;0
2016-07-21-05-30-00;5;1;1;0;3;0;0
2016-07-21-05-45-00;11;5;0;0;6;0;0
2016-07-21-06-00-00;9;3;0;0;6;0;0
2016-07-21-06-15-00;10;3;1;0;6;0;0
2016-07-21-06-30-00;22;10;1;1;10;0;0
2016-07-21-06-45-00;19;5;0;0;14;0;0
2016-07-21-07-00-00;40;13;1;0;26;0;0
2016-07-21-07-15-00;55;16;1;0;38;0;0
2016-07-21-07-30-00;49;12;0;0;37;0;0
2016-07-21-07-45-00;60;11;6;1;42;0;0
2016-07-21-08-00-00;92;16;2;2;72;0;0
2016-07-21-08-15-00;98;17;6;1;74;0;0
2016-07-21-08-30-00;108;20;3;0;85;0;0
2016-07-21-08-45-00;102;15;5;0;82;0;0
2016-07-21-09-00-00;73;17;1;0;55;0;0
2016-07-21-09-15-00;65;13;4;0;48;0;0
2016-07-21-09-30-00;48;13;0;0;35;0;0
2016-07-21-09-45-00;50;21;2;2;25;0;0
2016-07-21-10-00-00;33;18;1;5;9;0;0
2016-07-21-10-15-00;34;16;1;0;17;0;0
2016-07-21-10-30-00;37;16;2;4;15;0;0
2016-07-21-10-45-00;26;7;0;4;15;0;0
2016-07-21-11-00-00;36;8;4;2;22;0;0
2016-07-21-11-15-00;21;9;1;1;10;0;0
2016-07-21-11-30-00;47;17;2;5;23;0;0
2016-07-21-11-45-00;38;22;1;2;13;0;0
2016-07-21-12-00-00;53;31;2;3;17;0;0
2016-07-21-12-15-00;68;38;2;3;25;0;0
2016-07-21-12-30-00;43;17;3;1;22;0;0
2016-07-21-12-45-00;42;23;0;4;15;0;0
2016-07-21-13-00-00;47;24;1;0;22;0;0
2016-07-21-13-15-00;39;19;1;5;14;0;0
2016-07-21-13-30-00;46;19;2;1;24;0;0
2016-07-21-13-45-00;47;22;2;0;23;0;0
2016-07-21-14-00-00;45;26;1;6;12;0;0
2016-07-21-14-15-00;48;24;2;3;19;0;0
2016-07-21-14-30-00;54;26;3;6;19;0;0
2016-07-21-14-45-00;41;20;1;1;19;0;0
2016-07-21-15-00-00;51;33;1;3;14;0;0
2016-07-21-15-15-00;73;41;2;5;25;0;0
2016-07-21-15-30-00;63;36;3;3;21;0;0
2016-07-21-15-45-00;58;38;2;3;15;0;0
2016-07-21-16-00-00;63;35;2;7;19;0;0
2016-07-21-16-15-00;59;38;1;4;16;0;0
2016-07-21-16-30-00;60;43;0;0;17;0;0
2016-07-21-16-45-00;26;17;0;2;7;0;0
2016-07-21-17-00-00;45;28;0;3;14;0;0
2016-07-21-17-15-00;63;44;1;2;16;0;0
2016-07-21-17-30-00;86;58;3;6;19;0;0
2016-07-21-17-45-00;89;62;0;5;22;0;0
2016-07-21-18-00-00;88;55;1;9;23;0;0
2016-07-21-18-15-00;57;41;1;3;12;0;0
2016-07-21-18-30-00;40;24;1;1;14;0;0
2016-07-21-18-45-00;54;28;2;4;20;0;0
2016-07-21-19-00-00;45;26;1;6;12;0;0
2016-07-21-19-15-00;49;21;5;4;19;0;0
2016-07-21-19-30-00;44;19;2;4;19;0;0
2016-07-21-19-45-00;39;22;0;4;13;0;0
2016-07-21-20-00-00;64;24;6;2;32;0;0
2016-07-21-20-15-00;47;23;4;1;19;0;0
2016-07-21-20-30-00;61;23;1;9;28;0;0
2016-07-21-20-45-00;32;15;2;1;14;0;0
2016-07-21-21-00-00;36;22;0;4;10;0;0
2016-07-21-21-15-00;31;19;2;4;6;0;0
2016-07-21-21-30-00;38;24;1;1;12;0;0
2016-07-21-21-45-00;18;12;0;2;4;0;0
2016-07-21-22-00-00;69;44;0;17;8;0;0
2016-07-21-22-15-00;30;18;0;7;5;0;0
2016-07-21-22-30-00;15;10;1;3;1;0;0
2016-07-21-22-45-00;13;9;0;2;2;0;0
2016-07-21-23-00-00;12;7;0;2;3;0;0
2016-07-21-23-15-00;12;8;1;1;2;0;0
2016-07-21-23-30-00;5;2;1;0;2;0;0
2016-07-21-23-45-00;4;2;0;1;1;0;0
2016-07-22-00-00-00;0;0;0;0;0;0;0
2016-07-22-00-15-00;1;0;0;0;1;0;0
2016-07-22-00-30-00;1;1;0;0;0;0;0
2016-07-22-00-45-00;2;2;0;0;0;0;0
2016-07-22-01-00-00;3;2;0;1;0;0;0
2016-07-22-01-15-00;1;0;0;0;1;0;0
2016-07-22-01-30-00;0;0;0;0;0;0;0
2016-07-22-01-45-00;0;0;0;0;0;0;0
2016-07-22-02-00-00;1;0;0;0;1;0;0
2016-07-22-02-15-00;3;2;0;1;0;0;0
2016-07-22-02-30-00;2;0;0;1;1;0;0
2016-07-22-02-45-00;1;0;0;1;0;0;0
2016-07-22-03-00-00;0;0;0;0;0;0;0
2016-07-22-03-15-00;0;0;0;0;0;0;0
2016-07-22-03-30-00;0;0;0;0;0;0;0
2016-07-22-03-45-00;0;0;0;0;0;0;0
2016-07-22-04-00-00;0;0;0;0;0;0;0
2016-07-22-04-15-00;0;0;0;0;0;0;0
2016-07-22-04-30-00;1;0;0;0;1;0;0
2016-07-22-04-45-00;1;1;0;0;0;0;0
2016-07-22-05-00-00;0;0;0;0;0;0;0
2016-07-22-05-15-00;1;0;0;1;0;0;0
2016-07-22-05-30-00;4;1;0;0;3;0;0
2016-07-22-05-45-00;5;2;0;0;3;0;0
2016-07-22-06-00-00;7;2;0;0;5;0;0
2016-07-22-06-15-00;12;2;1;0;9;0;0
2016-07-22-06-30-00;14;3;0;2;9;0;0
2016-07-22-06-45-00;27;7;1;1;18;0;0
2016-07-22-07-00-00;34;11;1;2;20;0;0
2016-07-22-07-15-00;36;11;1;0;24;0;0
2016-07-22-07-30-00;46;8;1;0;37;0;0
2016-07-22-07-45-00;59;8;1;0;50;0;0
2016-07-22-08-00-00;61;13;2;0;46;0;0
2016-07-22-08-15-00;83;16;1;0;66;0;0
2016-07-22-08-30-00;74;16;3;0;55;0;0
2016-07-22-08-45-00;64;18;2;0;44;0;0
2016-07-22-09-00-00;69;17;8;1;43;0;0
2016-07-22-09-15-00;59;14;5;2;38;0;0
2016-07-22-09-30-00;41;11;2;1;27;0;0
2016-07-22-09-45-00;43;16;0;4;23;0;0
2016-07-22-10-00-00;38;11;2;3;22;0;0
2016-07-22-10-15-00;36;19;0;2;15;0;0
2016-07-22-10-30-00;26;12;2;0;12;0;0
2016-07-22-10-45-00;35;16;0;3;16;0;0
2016-07-22-11-00-00;43;22;3;4;14;0;0
2016-07-22-11-15-00;40;21;2;3;14;0;0
2016-07-22-11-30-00;48;27;2;3;16;0;0
2016-07-22-11-45-00;45;23;2;5;15;0;0
2016-07-22-12-00-00;54;25;3;3;23;0;0
2016-07-22-12-15-00;70;35;3;10;22;0;0
2016-07-22-12-30-00;68;29;5;0;34;0;0
2016-07-22-12-45-00;42;23;0;2;17;0;0
2016-07-22-13-00-00;58;28;1;2;27;0;0
2016-07-22-13-15-00;61;20;2;4;35;0;0
2016-07-22-13-30-00;44;21;2;0;21;0;0
2016-07-22-13-45-00;72;29;5;8;30;0;0
2016-07-22-14-00-00;52;29;1;5;17;0;0
2016-07-22-14-15-00;61;25;4;1;31;0;0
2016-07-22-14-30-00;79;41;3;3;32;0;0
2016-07-22-14-45-00;63;37;2;1;23;0;0
2016-07-22-15-00-00;63;40;2;3;18;0;0
2016-07-22-15-15-00;66;35;0;3;28;0;0
2016-07-22-15-30-00;71;34;1;7;29;0;0
2016-07-22-15-45-00;62;34;3;2;23;0;0
2016-07-22-16-00-00;72;41;0;5;26;0;0
2016-07-22-16-15-00;107;54;6;2;45;0;0
2016-07-22-16-30-00;73;38;3;2;30;0;0
2016-07-22-16-45-00;75;42;2;3;28;0;0
2016-07-22-17-00-00;99;57;4;5;33;0;0
2016-07-22-17-15-00;107;46;6;3;52;0;0
2016-07-22-17-30-00;113;48;4;1;60;0;0
2016-07-22-17-45-00;110;29;11;2;68;0;0
2016-07-22-18-00-00;135;35;15;1;84;0;0
2016-07-22-18-15-00;119;44;4;4;67;0;0
2016-07-22-18-30-00;97;28;8;1;60;0;0
2016-07-22-18-45-00;140;34;20;4;82;0;0
2016-07-22-19-00-00;97;19;11;1;66;0;0
2016-07-22-19-15-00;110;38;15;2;55;0;0
2016-07-22-19-30-00;106;21;16;0;69;0;0
2016-07-22-19-45-00;98;27;11;5;55;0;0
2016-07-22-20-00-00;69;23;5;2;39;0;0
2016-07-22-20-15-00;58;15;6;1;36;0;0
2016-07-22-20-30-00;58;20;6;4;28;0;0
2016-07-22-20-45-00;53;16;5;8;24;0;0
2016-07-22-21-00-00;86;41;5;9;31;0;0
2016-07-22-21-15-00;62;29;5;4;24;0;0
2016-07-22-21-30-00;46;31;0;7;8;0;0
2016-07-22-21-45-00;61;36;3;12;10;0;0
2016-07-22-22-00-00;95;63;0;20;12;0;0
2016-07-22-22-15-00;115;72;0;32;11;0;0
2016-07-22-22-30-00;72;49;1;13;9;0;0
2016-07-22-22-45-00;65;41;1;18;5;0;0
2016-07-22-23-00-00;74;53;0;17;4;0;0
2016-07-22-23-15-00;62;43;0;16;3;0;0
2016-07-22-23-30-00;76;44;1;29;2;0;0
2016-07-22-23-45-00;50;29;1;13;7;0;0
2016-07-23-00-00-00;66;43;0;19;4;0;0
2016-07-23-00-15-00;54;38;0;15;1;0;0
2016-07-23-00-30-00;57;35;0;18;4;0;0
2016-07-23-00-45-00;48;29;1;16;2;0;0
2016-07-23-01-00-00;53;34;0;18;1;0;0
2016-07-23-01-15-00;20;11;0;6;3;0;0
2016-07-23-01-30-00;16;10;0;3;3;0;0
2016-07-23-01-45-00;8;6;1;0;1;0;0
2016-07-23-02-00-00;6;2;0;3;1;0;0
2016-07-23-02-15-00;2;1;0;1;0;0;0
2016-07-23-02-30-00;0;0;0;0;0;0;0
2016-07-23-02-45-00;0;0;0;0;0;0;0
2016-07-23-03-00-00;0;0;0;0;0;0;0
2016-07-23-03-15-00;0;0;0;0;0;0;0
2016-07-23-03-30-00;1;0;0;0;1;0;0
2016-07-23-03-45-00;1;1;0;0;0;0;0
2016-07-23-04-00-00;3;1;0;0;2;0;0
2016-07-23-04-15-00;2;1;0;0;1;0;0
2016-07-23-04-30-00;0;0;0;0;0;0;0
2016-07-23-04-45-00;2;1;0;1;0;0;0
2016-07-23-05-00-00;1;0;0;0;1;0;0
2016-07-23-05-15-00;13;0;12;0;1;0;0
2016-07-23-05-30-00;4;1;1;1;1;0;0
2016-07-23-05-45-00;1;0;1;0;0;0;0
2016-07-23-06-00-00;2;0;1;0;1;0;0
2016-07-23-06-15-00;3;2;0;0;1;0;0
2016-07-23-06-30-00;4;3;0;1;0;0;0
2016-07-23-06-45-00;2;0;1;0;1;0;0
2016-07-23-07-00-00;3;0;0;2;1;0;0
2016-07-23-07-15-00;3;2;0;0;1;0;0
2016-07-23-07-30-00;2;0;0;1;1;0;0
2016-07-23-07-45-00;2;1;0;1;0;0;0
2016-07-23-08-00-00;8;2;2;0;4;0;0
2016-07-23-08-15-00;11;1;3;0;7;0;0
2016-07-23-08-30-00;7;2;2;0;3;0;0
2016-07-23-08-45-00;7;2;0;0;5;0;0
2016-07-23-09-00-00;5;2;0;0;3;0;0
2016-07-23-09-15-00;13;6;1;2;4;0;0
2016-07-23-09-30-00;23;6;0;0;17;0;0
2016-07-23-09-45-00;17;8;1;2;6;0;0
2016-07-23-10-00-00;19;8;3;1;7;0;0
2016-07-23-10-15-00;23;10;3;3;7;0;0
2016-07-23-10-30-00;21;9;1;1;10;0;0
2016-07-23-10-45-00;24;10;4;2;8;0;0
2016-07-23-11-00-00;26;16;0;2;8;0;0
2016-07-23-11-15-00;19;9;1;1;8;0;0
2016-07-23-11-30-00;23;13;2;2;6;0;0
2016-07-23-11-45-00;17;6;1;0;10;0;0
2016-07-23-12-00-00;10;5;0;2;3;0;0
2016-07-23-12-15-00;7;3;0;1;3;0;0
2016-07-23-12-30-00;8;3;1;0;4;0;0
2016-07-23-12-45-00;4;2;1;1;0;0;0
2016-07-23-13-00-00;9;1;2;1;5;0;0
2016-07-23-13-15-00;21;6;2;2;11;0;0
2016-07-23-13-30-00;8;3;2;1;2;0;0
2016-07-23-13-45-00;8;1;1;0;6;0;0
2016-07-23-14-00-00;19;11;1;0;7;0;0
2016-07-23-14-15-00;8;4;1;1;2;0;0
2016-07-23-14-30-00;3;0;0;0;3;0;0
2016-07-23-14-45-00;7;6;0;0;1;0;0
2016-07-23-15-00-00;22;10;2;5;5;0;0
2016-07-23-15-15-00;12;6;0;2;4;0;0
2016-07-23-15-30-00;15;9;0;4;2;0;0
2016-07-23-15-45-00;9;4;1;2;2;0;0
2016-07-23-16-00-00;9;4;1;2;2;0;0
2016-07-23-16-15-00;10;2;4;0;4;0;0
2016-07-23-16-30-00;14;8;0;2;4;0;0
2016-07-23-16-45-00;9;2;0;0;7;0;0
2016-07-23-17-00-00;7;3;1;0;3;0;0
2016-07-23-17-15-00;17;5;4;1;7;0;0
2016-07-23-17-30-00;35;7;5;2;21;0;0
2016-07-23-17-45-00;28;13;2;5;8;0;0
2016-07-23-18-00-00;32;11;4;2;15;0;0
2016-07-23-18-15-00;24;5;5;0;14;0;0
2016-07-23-18-30-00;37;12;2;2;21;0;0
2016-07-23-18-45-00;45;15;5;0;25;0;0
2016-07-23-19-00-00;65;21;7;3;34;0;0
2016-07-23-19-15-00;55;17;5;1;32;0;0
2016-07-23-19-30-00;42;6;4;2;30;0;0
2016-07-23-19-45-00;48;15;5;3;25;0;0
2016-07-23-20-00-00;63;16;9;0;38;0;0
2016-07-23-20-15-00;34;7;4;1;22;0;0
2016-07-23-20-30-00;40;16;7;1;16;0;0
2016-07-23-20-45-00;34;11;6;2;15;0;0
2016-07-23-21-00-00;23;7;5;3;8;0;0
2016-07-23-21-15-00;22;11;2;3;6;0;0
2016-07-23-21-30-00;22;14;0;4;4;0;0
2016-07-23-21-45-00;33;22;0;9;2;0;0
2016-07-23-22-00-00;9;8;0;1;0;0;0
2016-07-23-22-15-00;22;14;0;8;0;0;0
2016-07-23-22-30-00;18;10;1;4;3;0;0
2016-07-23-22-45-00;18;11;1;4;2;0;0
2016-07-23-23-00-00;21;14;1;5;1;0;0
2016-07-23-23-15-00;7;3;0;4;0;0;0
2016-07-23-23-30-00;16;11;0;5;0;0;0
2016-07-23-23-45-00;32;20;0;11;1;0;0
2016-07-24-00-00-00;9;6;0;3;0;0;0
2016-07-24-00-15-00;8;5;0;3;0;0;0
2016-07-24-00-30-00;11;8;0;3;0;0;0
2016-07-24-00-45-00;6;3;0;2;1;0;0
2016-07-24-01-00-00;9;2;1;3;3;0;0
2016-07-24-01-15-00;4;1;1;1;1;0;0
2016-07-24-01-30-00;3;0;2;0;1;0;0
2016-07-24-01-45-00;3;2;1;0;0;0;0
2016-07-24-02-00-00;1;0;0;0;1;0;0
2016-07-24-02-15-00;1;0;1;0;0;0;0
2016-07-24-02-30-00;2;0;1;0;1;0;0
2016-07-24-02-45-00;0;0;0;0;0;0;0
2016-07-24-03-00-00;5;2;0;3;0;0;0
2016-07-24-03-15-00;1;0;0;0;1;0;0
2016-07-24-03-30-00;0;0;0;0;0;0;0
2016-07-24-03-45-00;0;0;0;0;0;0;0
2016-07-24-04-00-00;0;0;0;0;0;0;0
2016-07-24-04-15-00;2;1;0;0;1;0;0
2016-07-24-04-30-00;2;0;1;0;1;0;0
2016-07-24-04-45-00;0;0;0;0;0;0;0
2016-07-24-05-00-00;2;1;0;0;1;0;0
2016-07-24-05-15-00;1;0;0;0;1;0;0
2016-07-24-05-30-00;2;0;0;0;2;0;0
2016-07-24-05-45-00;1;1;0;0;0;0;0
2016-07-24-06-00-00;0;0;0;0;0;0;0
2016-07-24-06-15-00;1;0;0;0;1;0;0
2016-07-24-06-30-00;1;1;0;0;0;0;0
2016-07-24-06-45-00;2;1;0;0;1;0;0
2016-07-24-07-00-00;3;0;0;0;3;0;0
2016-07-24-07-15-00;5;2;0;0;3;0;0
2016-07-24-07-30-00;7;3;0;0;4;0;0
2016-07-24-07-45-00;10;3;1;0;6;0;0
2016-07-24-08-00-00;4;2;0;0;2;0;0
2016-07-24-08-15-00;4;0;0;0;4;0;0
2016-07-24-08-30-00;8;0;0;0;8;0;0
2016-07-24-08-45-00;16;3;1;2;10;0;0
2016-07-24-09-00-00;22;10;2;1;9;0;0
2016-07-24-09-15-00;22;8;3;0;11;0;0
2016-07-24-09-30-00;23;15;0;3;5;0;0
2016-07-24-09-45-00;16;6;0;0;10;0;0
2016-07-24-10-00-00;41;16;1;1;23;0;0
2016-07-24-10-15-00;51;13;7;3;28;0;0
2016-07-24-10-30-00;50;18;6;2;24;0;0
2016-07-24-10-45-00;57;23;4;3;27;0;0
2016-07-24-11-00-00;53;19;5;1;28;0;0
2016-07-24-11-15-00;75;37;3;1;34;0;0
2016-07-24-11-30-00;76;19;7;0;50;0;0
2016-07-24-11-45-00;101;34;3;5;59;0;0
2016-07-24-12-00-00;92;37;11;1;43;0;0
2016-07-24-12-15-00;91;31;8;1;51;0;0
2016-07-24-12-30-00;129;42;13;1;73;0;0
2016-07-24-12-45-00;119;42;10;2;65;0;0
2016-07-24-13-00-00;136;48;9;1;78;0;0
2016-07-24-13-15-00;126;40;8;0;78;0;0
2016-07-24-13-30-00;110;39;11;1;59;0;0
2016-07-24-13-45-00;155;59;15;1;80;0;0
2016-07-24-14-00-00;139;64;7;3;65;0;0
2016-07-24-14-15-00;132;55;12;3;62;0;0
2016-07-24-14-30-00;156;57;14;0;85;0;0
2016-07-24-14-45-00;188;89;12;7;80;0;0
2016-07-24-15-00-00;175;65;11;0;99;0;0
2016-07-24-15-15-00;183;58;15;9;101;0;0
2016-07-24-15-30-00;185;58;8;1;118;0;0
2016-07-24-15-45-00;171;77;7;5;82;0;0
2016-07-24-16-00-00;161;66;9;2;84;0;0
2016-07-24-16-15-00;208;87;13;6;102;0;0
2016-07-24-16-30-00;198;93;6;9;90;0;0
2016-07-24-16-45-00;164;76;9;3;76;0;0
2016-07-24-17-00-00;168;98;2;11;57;0;0
2016-07-24-17-15-00;129;83;0;12;34;0;0
2016-07-24-17-30-00;124;75;4;11;34;0;0
2016-07-24-17-45-00;147;92;3;7;45;0;0
2016-07-24-18-00-00;138;83;3;9;43;0;0
2016-07-24-18-15-00;148;89;9;10;40;0;0
2016-07-24-18-30-00;103;56;3;14;30;0;0
2016-07-24-18-45-00;128;83;6;18;21;0;0
2016-07-24-19-00-00;105;61;4;9;31;0;0
2016-07-24-19-15-00;110;57;3;13;37;0;0
2016-07-24-19-30-00;97;49;2;7;39;0;0
2016-07-24-19-45-00;119;74;3;9;33;0;0
2016-07-24-20-00-00;78;46;3;6;23;0;0
2016-07-24-20-15-00;94;57;2;18;17;0;0
2016-07-24-20-30-00;89;58;3;16;12;0;0
2016-07-24-20-45-00;77;48;2;8;19;0;0
2016-07-24-21-00-00;51;34;0;5;12;0;0
2016-07-24-21-15-00;44;25;3;4;12;0;0
2016-07-24-21-30-00;76;53;0;19;4;0;0
2016-07-24-21-45-00;52;30;1;13;8;0;0
2016-07-24-22-00-00;38;21;4;7;6;0;0
2016-07-24-22-15-00;11;5;1;2;3;0;0
2016-07-24-22-30-00;7;2;1;1;3;0;0
2016-07-24-22-45-00;17;5;2;1;9;0;0
2016-07-24-23-00-00;9;6;0;2;1;0;0
2016-07-24-23-15-00;11;6;0;3;2;0;0
2016-07-24-23-30-00;5;2;1;0;2;0;0
2016-07-24-23-45-00;2;1;0;0;1;0;0
2016-07-25-00-00-00;1;1;0;0;0;0;0
2016-07-25-00-15-00;3;2;0;1;0;0;0
2016-07-25-00-30-00;2;2;0;0;0;0;0
2016-07-25-00-45-00;1;1;0;0;0;0;0
2016-07-25-01-00-00;1;0;0;1;0;0;0
2016-07-25-01-15-00;1;0;0;0;1;0;0
2016-07-25-01-30-00;0;0;0;0;0;0;0
2016-07-25-01-45-00;2;2;0;0;0;0;0
2016-07-25-02-00-00;0;0;0;0;0;0;0
2016-07-25-02-15-00;0;0;0;0;0;0;0
2016-07-25-02-30-00;0;0;0;0;0;0;0
2016-07-25-02-45-00;1;0;0;0;1;0;0
2016-07-25-03-00-00;0;0;0;0;0;0;0
2016-07-25-03-15-00;0;0;0;0;0;0;0
2016-07-25-03-30-00;1;0;0;0;1;0;0
2016-07-25-03-45-00;0;0;0;0;0;0;0
2016-07-25-04-00-00;2;1;0;0;1;0;0
2016-07-25-04-15-00;0;0;0;0;0;0;0
2016-07-25-04-30-00;1;0;0;0;1;0;0
2016-07-25-04-45-00;0;0;0;0;0;0;0
2016-07-25-05-00-00;1;1;0;0;0;0;0
2016-07-25-05-15-00;2;0;1;0;1;0;0
2016-07-25-05-30-00;8;2;2;0;4;0;0
2016-07-25-05-45-00;6;2;0;0;4;0;0
2016-07-25-06-00-00;3;2;0;0;1;0;0
2016-07-25-06-15-00;14;3;0;0;11;0;0
2016-07-25-06-30-00;28;9;2;0;17;0;0
2016-07-25-06-45-00;25;6;0;1;18;0;0
2016-07-25-07-00-00;40;11;1;2;26;0;0
2016-07-25-07-15-00;40;14;6;0;20;0;0
2016-07-25-07-30-00;74;21;3;1;49;0;0
2016-07-25-07-45-00;72;23;2;1;46;0;0
2016-07-25-08-00-00;70;12;2;0;56;0;0
2016-07-25-08-15-00;104;21;6;0;77;0;0
2016-07-25-08-30-00;95;14;3;2;76;0;0
2016-07-25-08-45-00;120;36;5;0;79;0;0
2016-07-25-09-00-00;66;10;5;3;48;0;0
2016-07-25-09-15-00;59;11;5;1;42;0;0
2016-07-25-09-30-00;58;22;5;1;30;0;0
2016-07-25-09-45-00;34;12;2;1;19;0;0
2016-07-25-10-00-00;37;20;2;2;13;0;0
2016-07-25-10-15-00;38;14;4;0;20;0;0
2016-07-25-10-30-00;43;19;1;2;21;0;0
2016-07-25-10-45-00;36;19;0;1;16;0;0
2016-07-25-11-00-00;48;26;1;4;17;0;0
2016-07-25-11-15-00;33;21;1;0;11;0;0
2016-07-25-11-30-00;46;21;2;3;20;0;0
2016-07-25-11-45-00;55;31;4;1;19;0;0
2016-07-25-12-00-00;41;19;2;2;18;0;0
2016-07-25-12-15-00;52;24;3;2;23;0;0
2016-07-25-12-30-00;52;27;0;4;21;0;0
2016-07-25-12-45-00;57;29;5;0;23;0;0
2016-07-25-13-00-00;48;19;3;2;24;0;0
2016-07-25-13-15-00;56;23;2;3;28;0;0
2016-07-25-13-30-00;60;31;4;3;22;0;0
2016-07-25-13-45-00;45;21;3;1;20;0;0
2016-07-25-14-00-00;55;20;2;3;30;0;0
2016-07-25-14-15-00;50;17;3;1;29;0;0
2016-07-25-14-30-00;59;27;6;2;24;0;0
2016-07-25-14-45-00;57;27;4;2;24;0;0
2016-07-25-15-00-00;58;29;4;3;22;0;0
2016-07-25-15-15-00;66;28;6;2;30;0;0
2016-07-25-15-30-00;71;31;0;0;40;0;0
2016-07-25-15-45-00;65;27;4;2;32;0;0
2016-07-25-16-00-00;91;57;2;5;27;0;0
2016-07-25-16-15-00;82;42;5;4;31;0;0
2016-07-25-16-30-00;88;47;3;4;34;0;0
2016-07-25-16-45-00;126;81;0;10;35;0;0
2016-07-25-17-00-00;85;62;0;5;18;0;0
2016-07-25-17-15-00;94;61;1;8;24;0;0
2016-07-25-17-30-00;114;67;5;2;40;0;0
2016-07-25-17-45-00;109;72;0;13;24;0;0
2016-07-25-18-00-00;116;75;3;5;33;0;0
