 ;5.13 BN - Wilhelm-Spiritus-Ufer ;5.13 BN - Wilhelm-Spiritus-Ufer Radfahrer Ri. Süden ;5.13 BN - Wilhelm-Spiritus-Ufer Radfahrer Ri. Norden ;5.13 BN - Wilhelm-Spiritus-Ufer Radfahrer Ri. Süden ;5.13 BN - Wilhelm-Spiritus-Ufer Radfahrer Ri. Norden ;5.13 BN - Wilhelm-Spiritus-Ufer Radfahrer Ri. Süden ;5.13 BN - Wilhelm-Spiritus-Ufer Radfahrer Ri. Norden
2016-01-17-03-00-00;4;0;1;0;3;0;0
2016-01-17-03-15-00;0;0;0;0;0;0;0
2016-01-17-03-30-00;1;0;1;0;0;0;0
2016-01-17-03-45-00;0;0;0;0;0;0;0
2016-01-17-04-00-00;0;0;0;0;0;0;0
2016-01-17-04-15-00;0;0;0;0;0;0;0
2016-01-17-04-30-00;0;0;0;0;0;0;0
2016-01-17-04-45-00;0;0;0;0;0;0;0
2016-01-17-05-00-00;0;0;0;0;0;0;0
2016-01-17-05-15-00;0;0;0;0;0;0;0
2016-01-17-05-30-00;0;0;0;0;0;0;0
2016-01-17-05-45-00;0;0;0;0;0;0;0
2016-01-17-06-00-00;0;0;0;0;0;0;0
2016-01-17-06-15-00;1;0;0;0;1;0;0
2016-01-17-06-30-00;1;1;0;0;0;0;0
2016-01-17-06-45-00;1;1;0;0;0;0;0
2016-01-17-07-00-00;0;0;0;0;0;0;0
2016-01-17-07-15-00;0;0;0;0;0;0;0
2016-01-17-07-30-00;0;0;0;0;0;0;0
2016-01-17-07-45-00;0;0;0;0;0;0;0
2016-01-17-08-00-00;0;0;0;0;0;0;0
2016-01-17-08-15-00;1;1;0;0;0;0;0
2016-01-17-08-30-00;1;0;0;0;1;0;0
2016-01-17-08-45-00;6;0;0;0;6;0;0
2016-01-17-09-00-00;0;0;0;0;0;0;0
2016-01-17-09-15-00;2;1;0;0;1;0;0
2016-01-17-09-30-00;4;0;0;0;4;0;0
2016-01-17-09-45-00;4;2;0;0;2;0;0
2016-01-17-10-00-00;0;0;0;0;0;0;0
2016-01-17-10-15-00;2;1;0;0;1;0;0
2016-01-17-10-30-00;9;3;0;1;5;0;0
2016-01-17-10-45-00;2;2;0;0;0;0;0
2016-01-17-11-00-00;5;2;1;0;2;0;0
2016-01-17-11-15-00;10;3;1;1;5;0;0
2016-01-17-11-30-00;6;2;1;0;3;0;0
2016-01-17-11-45-00;7;2;1;0;4;0;0
2016-01-17-12-00-00;9;4;3;0;2;0;0
2016-01-17-12-15-00;14;6;1;2;5;0;0
2016-01-17-12-30-00;10;5;1;1;3;0;0
2016-01-17-12-45-00;17;6;1;0;10;0;0
2016-01-17-13-00-00;14;3;0;0;11;0;0
2016-01-17-13-15-00;15;4;3;2;6;0;0
2016-01-17-13-30-00;9;1;2;1;5;0;0
2016-01-17-13-45-00;11;4;0;1;6;0;0
2016-01-17-14-00-00;5;2;0;1;2;0;0
2016-01-17-14-15-00;12;3;1;4;4;0;0
2016-01-17-14-30-00;20;8;2;2;8;0;0
2016-01-17-14-45-00;14;5;0;1;8;0;0
2016-01-17-15-00-00;5;0;1;2;2;0;0
2016-01-17-15-15-00;9;6;0;0;3;0;0
2016-01-17-15-30-00;13;7;0;0;6;0;0
2016-01-17-15-45-00;8;3;0;0;5;0;0
2016-01-17-16-00-00;16;5;3;1;7;0;0
2016-01-17-16-15-00;8;5;0;1;2;0;0
2016-01-17-16-30-00;9;6;0;0;3;0;0
2016-01-17-16-45-00;4;3;0;1;0;0;0
2016-01-17-17-00-00;9;8;0;1;0;0;0
2016-01-17-17-15-00;3;3;0;0;0;0;0
2016-01-17-17-30-00;7;5;0;1;1;0;0
2016-01-17-17-45-00;9;3;0;4;2;0;0
2016-01-17-18-00-00;6;3;0;1;2;0;0
2016-01-17-18-15-00;1;1;0;0;0;0;0
2016-01-17-18-30-00;2;1;0;1;0;0;0
2016-01-17-18-45-00;1;0;0;0;1;0;0
2016-01-17-19-00-00;4;2;1;0;1;0;0
2016-01-17-19-15-00;1;1;0;0;0;0;0
2016-01-17-19-30-00;2;0;0;0;2;0;0
2016-01-17-19-45-00;1;1;0;0;0;0;0
2016-01-17-20-00-00;1;1;0;0;0;0;0
2016-01-17-20-15-00;1;1;0;0;0;0;0
2016-01-17-20-30-00;1;0;0;0;1;0;0
2016-01-17-20-45-00;0;0;0;0;0;0;0
2016-01-17-21-00-00;3;0;1;0;2;0;0
2016-01-17-21-15-00;1;0;0;0;1;0;0
2016-01-17-21-30-00;2;1;0;0;1;0;0
2016-01-17-21-45-00;2;0;0;0;2;0;0
2016-01-17-22-00-00;1;1;0;0;0;0;0
2016-01-17-22-15-00;1;0;0;0;1;0;0
2016-01-17-22-30-00;1;1;0;0;0;0;0
2016-01-17-22-45-00;2;2;0;0;0;0;0
2016-01-17-23-00-00;0;0;0;0;0;0;0
2016-01-17-23-15-00;0;0;0;0;0;0;0
2016-01-17-23-30-00;0;0;0;0;0;0;0
2016-01-17-23-45-00;1;0;0;0;1;0;0
2016-01-18-00-00-00;0;0;0;0;0;0;0
2016-01-18-00-15-00;0;0;0;0;0;0;0
2016-01-18-00-30-00;0;0;0;0;0;0;0
2016-01-18-00-45-00;0;0;0;0;0;0;0
2016-01-18-01-00-00;0;0;0;0;0;0;0
2016-01-18-01-15-00;0;0;0;0;0;0;0
2016-01-18-01-30-00;0;0;0;0;0;0;0
2016-01-18-01-45-00;0;0;0;0;0;0;0
2016-01-18-02-00-00;0;0;0;0;0;0;0
2016-01-18-02-15-00;0;0;0;0;0;0;0
2016-01-18-02-30-00;0;0;0;0;0;0;0
2016-01-18-02-45-00;0;0;0;0;0;0;0
2016-01-18-03-00-00;0;0;0;0;0;0;0
2016-01-18-03-15-00;0;0;0;0;0;0;0
2016-01-18-03-30-00;0;0;0;0;0;0;0
2016-01-18-03-45-00;0;0;0;0;0;0;0
2016-01-18-04-00-00;0;0;0;0;0;0;0
2016-01-18-04-15-00;0;0;0;0;0;0;0
2016-01-18-04-30-00;0;0;0;0;0;0;0
2016-01-18-04-45-00;3;0;1;0;2;0;0
2016-01-18-05-00-00;1;1;0;0;0;0;0
2016-01-18-05-15-00;1;0;0;0;1;0;0
2016-01-18-05-30-00;4;2;0;0;2;0;0
2016-01-18-05-45-00;5;2;1;0;2;0;0
2016-01-18-06-00-00;4;0;0;1;3;0;0
2016-01-18-06-15-00;6;4;0;0;2;0;0
2016-01-18-06-30-00;7;1;0;0;6;0;0
2016-01-18-06-45-00;10;4;0;0;6;0;0
2016-01-18-07-00-00;9;2;0;0;7;0;0
2016-01-18-07-15-00;16;4;0;0;12;0;0
2016-01-18-07-30-00;38;12;1;0;25;0;0
2016-01-18-07-45-00;43;8;1;0;34;0;0
2016-01-18-08-00-00;47;13;0;1;33;0;0
2016-01-18-08-15-00;49;11;4;1;33;0;0
2016-01-18-08-30-00;55;10;3;0;42;0;0
2016-01-18-08-45-00;53;10;1;0;42;0;0
