 ;5.14 BN - Mc Cloy Weg ;5.14 BN - Mc Cloy Weg Radfahrer Ri. Remagen ;5.14 BN - Mc Cloy Weg Radfahrer Ri. Bonn ;5.14 BN - Mc Cloy Weg Radfahrer Ri. Remagen ;5.14 BN - Mc Cloy Weg Radfahrer Ri. Bonn
2016-01-13-09-00-00;4;2;1;1;0
2016-01-13-09-15-00;3;3;0;0;0
2016-01-13-09-30-00;4;2;1;0;1
2016-01-13-09-45-00;5;2;1;0;2
2016-01-13-10-00-00;1;1;0;0;0
2016-01-13-10-15-00;2;1;0;0;1
2016-01-13-10-30-00;1;0;0;0;1
2016-01-13-10-45-00;2;1;1;0;0
2016-01-13-11-00-00;3;2;0;0;1
2016-01-13-11-15-00;1;1;0;0;0
2016-01-13-11-30-00;2;1;0;0;1
2016-01-13-11-45-00;4;0;2;0;2
2016-01-13-12-00-00;3;1;1;1;0
2016-01-13-12-15-00;1;1;0;0;0
2016-01-13-12-30-00;5;1;0;0;4
2016-01-13-12-45-00;3;1;1;0;1
2016-01-13-13-00-00;3;1;1;0;1
2016-01-13-13-15-00;1;1;0;0;0
2016-01-13-13-30-00;1;0;0;0;1
2016-01-13-13-45-00;1;1;0;0;0
2016-01-13-14-00-00;1;0;0;0;1
2016-01-13-14-15-00;2;0;0;1;1
2016-01-13-14-30-00;4;1;2;0;1
2016-01-13-14-45-00;3;0;1;0;2
2016-01-13-15-00-00;2;1;1;0;0
2016-01-13-15-15-00;4;1;1;1;1
2016-01-13-15-30-00;2;0;0;1;1
2016-01-13-15-45-00;2;0;0;0;2
2016-01-13-16-00-00;4;3;0;0;1
2016-01-13-16-15-00;8;6;0;1;1
2016-01-13-16-30-00;9;3;2;1;3
2016-01-13-16-45-00;9;4;0;2;3
2016-01-13-17-00-00;6;1;0;2;3
2016-01-13-17-15-00;2;0;1;0;1
2016-01-13-17-30-00;12;3;3;0;6
2016-01-13-17-45-00;6;2;1;1;2
2016-01-13-18-00-00;12;4;3;1;4
2016-01-13-18-15-00;4;2;2;0;0
2016-01-13-18-30-00;8;2;2;0;4
2016-01-13-18-45-00;6;1;2;0;3
2016-01-13-19-00-00;3;2;0;0;1
2016-01-13-19-15-00;5;1;2;0;2
2016-01-13-19-30-00;4;0;2;0;2
2016-01-13-19-45-00;0;0;0;0;0
2016-01-13-20-00-00;1;0;0;0;1
2016-01-13-20-15-00;1;0;0;1;0
2016-01-13-20-30-00;1;1;0;0;0
2016-01-13-20-45-00;6;2;2;0;2
2016-01-13-21-00-00;1;1;0;0;0
2016-01-13-21-15-00;3;0;2;0;1
2016-01-13-21-30-00;1;0;1;0;0
2016-01-13-21-45-00;4;0;2;0;2
2016-01-13-22-00-00;1;0;0;0;1
2016-01-13-22-15-00;1;1;0;0;0
2016-01-13-22-30-00;1;0;1;0;0
2016-01-13-22-45-00;1;0;0;0;1
2016-01-13-23-00-00;0;0;0;0;0
2016-01-13-23-15-00;1;1;0;0;0
2016-01-13-23-30-00;0;0;0;0;0
2016-01-13-23-45-00;0;0;0;0;0
2016-01-14-00-00-00;1;0;0;0;1
2016-01-14-00-15-00;0;0;0;0;0
2016-01-14-00-30-00;0;0;0;0;0
2016-01-14-00-45-00;0;0;0;0;0
2016-01-14-01-00-00;0;0;0;0;0
2016-01-14-01-15-00;2;0;1;1;0
2016-01-14-01-30-00;0;0;0;0;0
2016-01-14-01-45-00;2;0;1;0;1
2016-01-14-02-00-00;0;0;0;0;0
2016-01-14-02-15-00;0;0;0;0;0
2016-01-14-02-30-00;0;0;0;0;0
2016-01-14-02-45-00;0;0;0;0;0
2016-01-14-03-00-00;0;0;0;0;0
2016-01-14-03-15-00;0;0;0;0;0
2016-01-14-03-30-00;0;0;0;0;0
2016-01-14-03-45-00;0;0;0;0;0
2016-01-14-04-00-00;0;0;0;0;0
2016-01-14-04-15-00;0;0;0;0;0
2016-01-14-04-30-00;0;0;0;0;0
2016-01-14-04-45-00;0;0;0;0;0
2016-01-14-05-00-00;0;0;0;0;0
2016-01-14-05-15-00;2;0;1;1;0
2016-01-14-05-30-00;1;1;0;0;0
2016-01-14-05-45-00;6;3;2;1;0
2016-01-14-06-00-00;0;0;0;0;0
2016-01-14-06-15-00;1;1;0;0;0
2016-01-14-06-30-00;1;0;0;0;1
2016-01-14-06-45-00;3;2;0;0;1
2016-01-14-07-00-00;3;3;0;0;0
2016-01-14-07-15-00;5;4;0;0;1
2016-01-14-07-30-00;9;7;1;0;1
2016-01-14-07-45-00;12;6;1;3;2
2016-01-14-08-00-00;8;6;1;0;1
2016-01-14-08-15-00;8;6;0;0;2
2016-01-14-08-30-00;7;7;0;0;0
2016-01-14-08-45-00;4;4;0;0;0
2016-01-14-09-00-00;6;3;2;0;1
2016-01-14-09-15-00;3;1;1;0;1
2016-01-14-09-30-00;4;4;0;0;0
2016-01-14-09-45-00;2;1;0;0;1
2016-01-14-10-00-00;5;2;0;0;3
2016-01-14-10-15-00;2;1;0;0;1
2016-01-14-10-30-00;2;1;0;0;1
2016-01-14-10-45-00;4;2;0;0;2
2016-01-14-11-00-00;3;2;1;0;0
2016-01-14-11-15-00;2;1;1;0;0
2016-01-14-11-30-00;2;2;0;0;0
2016-01-14-11-45-00;6;5;0;0;1
2016-01-14-12-00-00;3;3;0;0;0
2016-01-14-12-15-00;5;3;1;0;1
2016-01-14-12-30-00;5;1;2;0;2
2016-01-14-12-45-00;2;2;0;0;0
2016-01-14-13-00-00;5;3;1;0;1
2016-01-14-13-15-00;6;3;1;0;2
2016-01-14-13-30-00;7;1;1;0;5
2016-01-14-13-45-00;0;0;0;0;0
2016-01-14-14-00-00;6;2;1;1;2
2016-01-14-14-15-00;2;0;1;0;1
2016-01-14-14-30-00;1;1;0;0;0
2016-01-14-14-45-00;2;1;0;0;1
2016-01-14-15-00-00;4;3;0;0;1
2016-01-14-15-15-00;3;2;0;0;1
2016-01-14-15-30-00;1;1;0;0;0
2016-01-14-15-45-00;4;1;0;0;3
2016-01-14-16-00-00;5;4;0;0;1
2016-01-14-16-15-00;5;1;1;0;3
2016-01-14-16-30-00;9;5;0;1;3
2016-01-14-16-45-00;13;2;4;0;7
2016-01-14-17-00-00;7;1;1;1;4
2016-01-14-17-15-00;7;2;2;0;3
2016-01-14-17-30-00;11;1;4;0;6
2016-01-14-17-45-00;3;1;1;0;1
2016-01-14-18-00-00;9;2;1;0;6
2016-01-14-18-15-00;4;1;0;0;3
2016-01-14-18-30-00;9;4;1;1;3
2016-01-14-18-45-00;1;0;1;0;0
2016-01-14-19-00-00;6;2;1;1;2
2016-01-14-19-15-00;7;0;2;1;4
2016-01-14-19-30-00;3;0;1;1;1
2016-01-14-19-45-00;1;1;0;0;0
2016-01-14-20-00-00;4;1;1;1;1
2016-01-14-20-15-00;1;1;0;0;0
2016-01-14-20-30-00;2;2;0;0;0
2016-01-14-20-45-00;1;0;1;0;0
2016-01-14-21-00-00;0;0;0;0;0
2016-01-14-21-15-00;0;0;0;0;0
2016-01-14-21-30-00;2;1;1;0;0
2016-01-14-21-45-00;0;0;0;0;0
2016-01-14-22-00-00;3;0;1;1;1
2016-01-14-22-15-00;0;0;0;0;0
2016-01-14-22-30-00;0;0;0;0;0
2016-01-14-22-45-00;0;0;0;0;0
2016-01-14-23-00-00;0;0;0;0;0
2016-01-14-23-15-00;1;0;1;0;0
2016-01-14-23-30-00;0;0;0;0;0
2016-01-14-23-45-00;0;0;0;0;0
2016-01-15-00-00-00;0;0;0;0;0
2016-01-15-00-15-00;0;0;0;0;0
2016-01-15-00-30-00;0;0;0;0;0
2016-01-15-00-45-00;0;0;0;0;0
2016-01-15-01-00-00;0;0;0;0;0
2016-01-15-01-15-00;0;0;0;0;0
2016-01-15-01-30-00;0;0;0;0;0
2016-01-15-01-45-00;0;0;0;0;0
2016-01-15-02-00-00;0;0;0;0;0
2016-01-15-02-15-00;0;0;0;0;0
2016-01-15-02-30-00;0;0;0;0;0
2016-01-15-02-45-00;0;0;0;0;0
2016-01-15-03-00-00;0;0;0;0;0
2016-01-15-03-15-00;0;0;0;0;0
2016-01-15-03-30-00;0;0;0;0;0
2016-01-15-03-45-00;0;0;0;0;0
