 ;5.14 BN - Mc Cloy Weg ;5.14 BN - Mc Cloy Weg Radfahrer Ri. Remagen ;5.14 BN - Mc Cloy Weg Radfahrer Ri. Bonn ;5.14 BN - Mc Cloy Weg Radfahrer Ri. Remagen ;5.14 BN - Mc Cloy Weg Radfahrer Ri. Bonn
2016-06-24-21-00-00;8;4;0;0;4
2016-06-24-21-15-00;2;2;0;0;0
2016-06-24-21-30-00;11;5;3;0;3
2016-06-24-21-45-00;11;2;2;2;5
2016-06-24-22-00-00;4;3;0;1;0
2016-06-24-22-15-00;3;0;1;0;2
2016-06-24-22-30-00;8;2;1;3;2
2016-06-24-22-45-00;3;1;1;1;0
2016-06-24-23-00-00;3;0;2;1;0
2016-06-24-23-15-00;1;1;0;0;0
2016-06-24-23-30-00;7;3;2;1;1
2016-06-24-23-45-00;3;2;0;1;0
2016-06-25-00-00-00;5;2;1;0;2
2016-06-25-00-15-00;1;0;0;0;1
2016-06-25-00-30-00;0;0;0;0;0
2016-06-25-00-45-00;0;0;0;0;0
2016-06-25-01-00-00;3;0;1;0;2
2016-06-25-01-15-00;0;0;0;0;0
2016-06-25-01-30-00;0;0;0;0;0
2016-06-25-01-45-00;0;0;0;0;0
2016-06-25-02-00-00;0;0;0;0;0
2016-06-25-02-15-00;1;1;0;0;0
2016-06-25-02-30-00;1;0;0;0;1
2016-06-25-02-45-00;0;0;0;0;0
2016-06-25-03-00-00;0;0;0;0;0
2016-06-25-03-15-00;0;0;0;0;0
2016-06-25-03-30-00;0;0;0;0;0
2016-06-25-03-45-00;0;0;0;0;0
2016-06-25-04-00-00;0;0;0;0;0
2016-06-25-04-15-00;0;0;0;0;0
2016-06-25-04-30-00;0;0;0;0;0
2016-06-25-04-45-00;0;0;0;0;0
2016-06-25-05-00-00;0;0;0;0;0
2016-06-25-05-15-00;2;1;0;1;0
2016-06-25-05-30-00;0;0;0;0;0
2016-06-25-05-45-00;0;0;0;0;0
2016-06-25-06-00-00;0;0;0;0;0
2016-06-25-06-15-00;2;0;1;0;1
2016-06-25-06-30-00;0;0;0;0;0
2016-06-25-06-45-00;0;0;0;0;0
2016-06-25-07-00-00;5;3;0;2;0
2016-06-25-07-15-00;1;1;0;0;0
2016-06-25-07-30-00;1;0;0;0;1
2016-06-25-07-45-00;0;0;0;0;0
2016-06-25-08-00-00;0;0;0;0;0
2016-06-25-08-15-00;0;0;0;0;0
2016-06-25-08-30-00;0;0;0;0;0
2016-06-25-08-45-00;1;1;0;0;0
2016-06-25-09-00-00;3;0;1;0;2
2016-06-25-09-15-00;5;1;0;4;0
2016-06-25-09-30-00;3;1;0;1;1
2016-06-25-09-45-00;4;0;1;1;2
2016-06-25-10-00-00;2;1;1;0;0
2016-06-25-10-15-00;2;2;0;0;0
2016-06-25-10-30-00;3;0;2;1;0
2016-06-25-10-45-00;1;0;0;0;1
2016-06-25-11-00-00;1;0;0;0;1
2016-06-25-11-15-00;7;1;1;3;2
2016-06-25-11-30-00;3;0;1;0;2
2016-06-25-11-45-00;5;1;1;1;2
2016-06-25-12-00-00;3;1;0;0;2
2016-06-25-12-15-00;4;0;2;0;2
2016-06-25-12-30-00;8;3;2;1;2
2016-06-25-12-45-00;5;3;0;2;0
2016-06-25-13-00-00;3;1;0;0;2
2016-06-25-13-15-00;1;0;0;1;0
2016-06-25-13-30-00;3;1;0;1;1
2016-06-25-13-45-00;8;3;0;2;3
2016-06-25-14-00-00;5;2;0;3;0
2016-06-25-14-15-00;7;3;0;3;1
2016-06-25-14-30-00;2;0;2;0;0
2016-06-25-14-45-00;2;1;0;1;0
2016-06-25-15-00-00;1;0;0;0;1
2016-06-25-15-15-00;3;1;0;0;2
2016-06-25-15-30-00;3;1;0;0;2
2016-06-25-15-45-00;2;1;0;1;0
2016-06-25-16-00-00;8;4;0;3;1
2016-06-25-16-15-00;6;4;1;0;1
2016-06-25-16-30-00;3;2;0;1;0
2016-06-25-16-45-00;2;1;0;0;1
2016-06-25-17-00-00;3;0;1;0;2
2016-06-25-17-15-00;1;0;0;1;0
2016-06-25-17-30-00;1;0;0;0;1
2016-06-25-17-45-00;0;0;0;0;0
2016-06-25-18-00-00;12;2;1;4;5
2016-06-25-18-15-00;3;0;1;1;1
2016-06-25-18-30-00;1;0;0;1;0
2016-06-25-18-45-00;0;0;0;0;0
2016-06-25-19-00-00;1;1;0;0;0
2016-06-25-19-15-00;3;0;1;1;1
2016-06-25-19-30-00;4;1;2;1;0
2016-06-25-19-45-00;3;0;1;0;2
2016-06-25-20-00-00;8;0;2;1;5
2016-06-25-20-15-00;9;2;4;1;2
2016-06-25-20-30-00;8;2;1;2;3
2016-06-25-20-45-00;7;5;0;1;1
2016-06-25-21-00-00;12;7;1;1;3
2016-06-25-21-15-00;5;3;1;0;1
2016-06-25-21-30-00;4;2;0;2;0
2016-06-25-21-45-00;3;1;0;1;1
2016-06-25-22-00-00;5;0;1;1;3
2016-06-25-22-15-00;1;0;1;0;0
2016-06-25-22-30-00;3;1;0;1;1
2016-06-25-22-45-00;2;1;0;1;0
2016-06-25-23-00-00;0;0;0;0;0
2016-06-25-23-15-00;2;0;0;0;2
2016-06-25-23-30-00;3;2;0;1;0
2016-06-25-23-45-00;0;0;0;0;0
2016-06-26-00-00-00;2;0;1;0;1
2016-06-26-00-15-00;2;1;0;0;1
2016-06-26-00-30-00;0;0;0;0;0
2016-06-26-00-45-00;1;0;0;1;0
2016-06-26-01-00-00;0;0;0;0;0
2016-06-26-01-15-00;0;0;0;0;0
2016-06-26-01-30-00;0;0;0;0;0
2016-06-26-01-45-00;0;0;0;0;0
2016-06-26-02-00-00;0;0;0;0;0
2016-06-26-02-15-00;0;0;0;0;0
2016-06-26-02-30-00;0;0;0;0;0
2016-06-26-02-45-00;0;0;0;0;0
2016-06-26-03-00-00;0;0;0;0;0
2016-06-26-03-15-00;1;0;0;0;1
2016-06-26-03-30-00;0;0;0;0;0
2016-06-26-03-45-00;0;0;0;0;0
2016-06-26-04-00-00;0;0;0;0;0
2016-06-26-04-15-00;0;0;0;0;0
2016-06-26-04-30-00;0;0;0;0;0
2016-06-26-04-45-00;0;0;0;0;0
2016-06-26-05-00-00;0;0;0;0;0
2016-06-26-05-15-00;0;0;0;0;0
2016-06-26-05-30-00;0;0;0;0;0
2016-06-26-05-45-00;0;0;0;0;0
2016-06-26-06-00-00;0;0;0;0;0
2016-06-26-06-15-00;0;0;0;0;0
2016-06-26-06-30-00;1;0;0;0;1
2016-06-26-06-45-00;0;0;0;0;0
2016-06-26-07-00-00;3;2;1;0;0
2016-06-26-07-15-00;0;0;0;0;0
2016-06-26-07-30-00;3;0;1;0;2
2016-06-26-07-45-00;7;1;3;0;3
2016-06-26-08-00-00;7;3;2;1;1
2016-06-26-08-15-00;8;3;0;1;4
2016-06-26-08-30-00;8;3;2;0;3
2016-06-26-08-45-00;21;4;4;2;11
2016-06-26-09-00-00;12;7;1;0;4
2016-06-26-09-15-00;21;7;1;0;13
2016-06-26-09-30-00;26;10;1;4;11
2016-06-26-09-45-00;22;5;4;2;11
2016-06-26-10-00-00;45;27;0;3;15
2016-06-26-10-15-00;43;16;3;5;19
2016-06-26-10-30-00;57;30;5;3;19
2016-06-26-10-45-00;69;25;6;3;35
2016-06-26-11-00-00;78;32;6;3;37
2016-06-26-11-15-00;71;23;6;6;36
2016-06-26-11-30-00;66;29;1;2;34
2016-06-26-11-45-00;81;26;6;2;47
2016-06-26-12-00-00;62;26;7;3;26
2016-06-26-12-15-00;66;23;8;8;27
2016-06-26-12-30-00;72;28;7;3;34
2016-06-26-12-45-00;82;42;5;2;33
2016-06-26-13-00-00;63;21;8;3;31
2016-06-26-13-15-00;54;22;7;0;25
2016-06-26-13-30-00;51;21;8;3;19
2016-06-26-13-45-00;58;23;6;12;17
2016-06-26-14-00-00;43;31;0;4;8
2016-06-26-14-15-00;61;25;0;7;29
2016-06-26-14-30-00;66;25;3;15;23
2016-06-26-14-45-00;53;19;0;11;23
2016-06-26-15-00-00;30;7;3;7;13
2016-06-26-15-15-00;25;12;3;1;9
2016-06-26-15-30-00;46;21;3;8;14
2016-06-26-15-45-00;53;23;3;14;13
2016-06-26-16-00-00;44;22;1;3;18
2016-06-26-16-15-00;32;8;2;4;18
2016-06-26-16-30-00;51;23;0;7;21
2016-06-26-16-45-00;38;18;1;7;12
2016-06-26-17-00-00;27;9;3;7;8
2016-06-26-17-15-00;53;27;4;5;17
2016-06-26-17-30-00;46;17;2;6;21
2016-06-26-17-45-00;17;6;1;7;3
2016-06-26-18-00-00;10;1;0;3;6
2016-06-26-18-15-00;9;1;2;2;4
2016-06-26-18-30-00;8;4;0;3;1
2016-06-26-18-45-00;5;2;0;2;1
2016-06-26-19-00-00;7;2;2;2;1
2016-06-26-19-15-00;5;1;0;4;0
2016-06-26-19-30-00;2;0;0;0;2
2016-06-26-19-45-00;5;2;1;2;0
2016-06-26-20-00-00;9;2;0;3;4
2016-06-26-20-15-00;10;4;2;0;4
2016-06-26-20-30-00;16;4;2;2;8
2016-06-26-20-45-00;18;5;2;3;8
2016-06-26-21-00-00;7;4;0;0;3
2016-06-26-21-15-00;5;2;0;1;2
2016-06-26-21-30-00;9;6;1;1;1
2016-06-26-21-45-00;3;2;0;1;0
2016-06-26-22-00-00;9;2;1;1;5
2016-06-26-22-15-00;3;1;1;1;0
2016-06-26-22-30-00;1;0;0;1;0
2016-06-26-22-45-00;2;0;0;1;1
2016-06-26-23-00-00;3;0;1;2;0
2016-06-26-23-15-00;1;0;1;0;0
2016-06-26-23-30-00;0;0;0;0;0
2016-06-26-23-45-00;0;0;0;0;0
2016-06-27-00-00-00;0;0;0;0;0
2016-06-27-00-15-00;0;0;0;0;0
2016-06-27-00-30-00;0;0;0;0;0
2016-06-27-00-45-00;0;0;0;0;0
2016-06-27-01-00-00;0;0;0;0;0
2016-06-27-01-15-00;0;0;0;0;0
2016-06-27-01-30-00;0;0;0;0;0
2016-06-27-01-45-00;0;0;0;0;0
2016-06-27-02-00-00;0;0;0;0;0
2016-06-27-02-15-00;0;0;0;0;0
2016-06-27-02-30-00;0;0;0;0;0
2016-06-27-02-45-00;0;0;0;0;0
2016-06-27-03-00-00;0;0;0;0;0
2016-06-27-03-15-00;2;0;0;1;1
2016-06-27-03-30-00;1;0;0;0;1
2016-06-27-03-45-00;0;0;0;0;0
2016-06-27-04-00-00;0;0;0;0;0
2016-06-27-04-15-00;0;0;0;0;0
2016-06-27-04-30-00;0;0;0;0;0
2016-06-27-04-45-00;1;0;0;0;1
2016-06-27-05-00-00;0;0;0;0;0
2016-06-27-05-15-00;1;0;1;0;0
2016-06-27-05-30-00;1;1;0;0;0
2016-06-27-05-45-00;3;1;0;1;1
2016-06-27-06-00-00;2;2;0;0;0
2016-06-27-06-15-00;1;1;0;0;0
2016-06-27-06-30-00;4;2;0;1;1
2016-06-27-06-45-00;2;1;0;1;0
2016-06-27-07-00-00;11;8;2;1;0
2016-06-27-07-15-00;21;11;4;4;2
2016-06-27-07-30-00;22;17;1;2;2
2016-06-27-07-45-00;26;12;4;1;9
2016-06-27-08-00-00;17;12;1;3;1
2016-06-27-08-15-00;16;10;1;2;3
2016-06-27-08-30-00;12;9;0;1;2
2016-06-27-08-45-00;8;6;1;1;0
2016-06-27-09-00-00;11;6;0;1;4
2016-06-27-09-15-00;12;4;1;2;5
2016-06-27-09-30-00;7;4;1;0;2
2016-06-27-09-45-00;9;4;1;0;4
2016-06-27-10-00-00;19;10;4;1;4
2016-06-27-10-15-00;12;4;0;0;8
2016-06-27-10-30-00;16;11;0;1;4
2016-06-27-10-45-00;19;9;1;2;7
2016-06-27-11-00-00;18;8;1;5;4
2016-06-27-11-15-00;21;11;4;3;3
2016-06-27-11-30-00;25;6;3;10;6
2016-06-27-11-45-00;5;4;0;0;1
2016-06-27-12-00-00;9;2;1;0;6
2016-06-27-12-15-00;14;4;0;3;7
2016-06-27-12-30-00;8;4;0;1;3
2016-06-27-12-45-00;6;2;2;0;2
2016-06-27-13-00-00;12;4;1;2;5
2016-06-27-13-15-00;9;5;2;0;2
2016-06-27-13-30-00;8;2;1;0;5
2016-06-27-13-45-00;12;3;2;0;7
2016-06-27-14-00-00;13;3;1;2;7
2016-06-27-14-15-00;18;9;1;1;7
2016-06-27-14-30-00;6;2;0;0;4
2016-06-27-14-45-00;19;7;4;3;5
2016-06-27-15-00-00;16;8;2;1;5
2016-06-27-15-15-00;11;5;3;3;0
2016-06-27-15-30-00;15;2;2;2;9
2016-06-27-15-45-00;10;3;1;1;5
2016-06-27-16-00-00;15;3;5;1;6
2016-06-27-16-15-00;13;3;5;1;4
2016-06-27-16-30-00;22;7;7;0;8
2016-06-27-16-45-00;16;4;5;3;4
2016-06-27-17-00-00;24;9;4;6;5
2016-06-27-17-15-00;15;4;1;5;5
2016-06-27-17-30-00;27;3;1;11;12
2016-06-27-17-45-00;16;2;5;0;9
2016-06-27-18-00-00;13;5;2;0;6
2016-06-27-18-15-00;9;2;4;2;1
2016-06-27-18-30-00;10;0;3;1;6
2016-06-27-18-45-00;8;1;0;0;7
2016-06-27-19-00-00;16;2;3;5;6
2016-06-27-19-15-00;12;1;2;2;7
2016-06-27-19-30-00;11;3;0;1;7
2016-06-27-19-45-00;8;1;3;0;4
2016-06-27-20-00-00;7;2;1;2;2
2016-06-27-20-15-00;0;0;0;0;0
2016-06-27-20-30-00;6;1;1;1;3
2016-06-27-20-45-00;7;4;1;1;1
2016-06-27-21-00-00;1;1;0;0;0
2016-06-27-21-15-00;2;1;1;0;0
2016-06-27-21-30-00;4;2;1;0;1
2016-06-27-21-45-00;4;1;3;0;0
2016-06-27-22-00-00;2;2;0;0;0
2016-06-27-22-15-00;0;0;0;0;0
2016-06-27-22-30-00;1;0;1;0;0
2016-06-27-22-45-00;1;0;0;0;1
2016-06-27-23-00-00;0;0;0;0;0
2016-06-27-23-15-00;1;0;1;0;0
2016-06-27-23-30-00;1;0;0;0;1
2016-06-27-23-45-00;0;0;0;0;0
2016-06-28-00-00-00;0;0;0;0;0
2016-06-28-00-15-00;0;0;0;0;0
2016-06-28-00-30-00;0;0;0;0;0
2016-06-28-00-45-00;0;0;0;0;0
2016-06-28-01-00-00;0;0;0;0;0
2016-06-28-01-15-00;0;0;0;0;0
2016-06-28-01-30-00;0;0;0;0;0
2016-06-28-01-45-00;0;0;0;0;0
2016-06-28-02-00-00;0;0;0;0;0
2016-06-28-02-15-00;0;0;0;0;0
2016-06-28-02-30-00;0;0;0;0;0
2016-06-28-02-45-00;0;0;0;0;0
2016-06-28-03-00-00;0;0;0;0;0
2016-06-28-03-15-00;0;0;0;0;0
2016-06-28-03-30-00;0;0;0;0;0
2016-06-28-03-45-00;0;0;0;0;0
2016-06-28-04-00-00;0;0;0;0;0
2016-06-28-04-15-00;0;0;0;0;0
2016-06-28-04-30-00;0;0;0;0;0
2016-06-28-04-45-00;0;0;0;0;0
2016-06-28-05-00-00;0;0;0;0;0
2016-06-28-05-15-00;1;1;0;0;0
2016-06-28-05-30-00;2;0;1;0;1
2016-06-28-05-45-00;6;5;0;1;0
2016-06-28-06-00-00;2;2;0;0;0
2016-06-28-06-15-00;3;3;0;0;0
2016-06-28-06-30-00;4;3;1;0;0
2016-06-28-06-45-00;11;7;2;1;1
2016-06-28-07-00-00;10;6;1;0;3
2016-06-28-07-15-00;15;6;3;3;3
2016-06-28-07-30-00;30;25;2;1;2
2016-06-28-07-45-00;35;15;6;5;9
2016-06-28-08-00-00;21;14;1;3;3
2016-06-28-08-15-00;19;16;0;1;2
2016-06-28-08-30-00;20;10;0;5;5
2016-06-28-08-45-00;18;12;1;2;3
2016-06-28-09-00-00;21;9;3;5;4
2016-06-28-09-15-00;14;9;1;1;3
2016-06-28-09-30-00;12;6;1;0;5
2016-06-28-09-45-00;29;17;6;3;3
2016-06-28-10-00-00;19;10;2;3;4
2016-06-28-10-15-00;19;8;3;3;5
2016-06-28-10-30-00;16;11;0;2;3
2016-06-28-10-45-00;14;6;2;0;6
2016-06-28-11-00-00;22;6;1;2;13
2016-06-28-11-15-00;10;7;1;0;2
2016-06-28-11-30-00;29;12;3;3;11
2016-06-28-11-45-00;24;12;2;1;9
2016-06-28-12-00-00;17;8;2;1;6
2016-06-28-12-15-00;26;8;5;3;10
2016-06-28-12-30-00;10;6;1;0;3
2016-06-28-12-45-00;26;10;6;4;6
2016-06-28-13-00-00;19;9;4;0;6
2016-06-28-13-15-00;23;11;0;1;11
2016-06-28-13-30-00;18;4;5;0;9
2016-06-28-13-45-00;20;5;3;4;8
2016-06-28-14-00-00;20;9;2;3;6
2016-06-28-14-15-00;32;15;0;3;14
2016-06-28-14-30-00;16;4;2;1;9
2016-06-28-14-45-00;22;10;2;2;8
2016-06-28-15-00-00;28;14;1;1;12
2016-06-28-15-15-00;31;14;2;2;13
2016-06-28-15-30-00;32;14;2;3;13
2016-06-28-15-45-00;32;11;5;2;14
2016-06-28-16-00-00;29;10;2;7;10
2016-06-28-16-15-00;37;16;8;2;11
2016-06-28-16-30-00;33;10;2;4;17
2016-06-28-16-45-00;36;11;2;2;21
2016-06-28-17-00-00;37;17;5;2;13
2016-06-28-17-15-00;41;16;2;5;18
2016-06-28-17-30-00;38;21;1;5;11
2016-06-28-17-45-00;39;10;8;0;21
2016-06-28-18-00-00;42;16;4;1;21
2016-06-28-18-15-00;45;22;8;3;12
2016-06-28-18-30-00;41;16;6;2;17
2016-06-28-18-45-00;29;10;2;1;16
2016-06-28-19-00-00;32;13;3;2;14
2016-06-28-19-15-00;33;10;1;4;18
2016-06-28-19-30-00;34;16;5;1;12
2016-06-28-19-45-00;27;9;2;1;15
2016-06-28-20-00-00;30;18;3;1;8
2016-06-28-20-15-00;33;15;6;3;9
2016-06-28-20-30-00;28;14;0;3;11
2016-06-28-20-45-00;20;10;1;0;9
2016-06-28-21-00-00;10;3;2;0;5
2016-06-28-21-15-00;10;4;3;0;3
2016-06-28-21-30-00;19;7;5;4;3
2016-06-28-21-45-00;12;4;2;0;6
2016-06-28-22-00-00;6;4;0;0;2
2016-06-28-22-15-00;7;2;1;3;1
2016-06-28-22-30-00;10;1;4;0;5
2016-06-28-22-45-00;5;2;2;0;1
2016-06-28-23-00-00;7;1;1;1;4
2016-06-28-23-15-00;2;0;1;0;1
2016-06-28-23-30-00;1;1;0;0;0
2016-06-28-23-45-00;1;0;0;0;1
2016-06-29-00-00-00;1;0;0;0;1
2016-06-29-00-15-00;0;0;0;0;0
2016-06-29-00-30-00;1;1;0;0;0
2016-06-29-00-45-00;1;1;0;0;0
2016-06-29-01-00-00;0;0;0;0;0
2016-06-29-01-15-00;0;0;0;0;0
2016-06-29-01-30-00;2;0;2;0;0
2016-06-29-01-45-00;0;0;0;0;0
2016-06-29-02-00-00;0;0;0;0;0
2016-06-29-02-15-00;0;0;0;0;0
2016-06-29-02-30-00;0;0;0;0;0
2016-06-29-02-45-00;1;0;0;1;0
2016-06-29-03-00-00;2;1;0;0;1
2016-06-29-03-15-00;1;0;0;0;1
2016-06-29-03-30-00;0;0;0;0;0
2016-06-29-03-45-00;0;0;0;0;0
2016-06-29-04-00-00;0;0;0;0;0
2016-06-29-04-15-00;0;0;0;0;0
2016-06-29-04-30-00;0;0;0;0;0
2016-06-29-04-45-00;0;0;0;0;0
2016-06-29-05-00-00;0;0;0;0;0
2016-06-29-05-15-00;1;1;0;0;0
2016-06-29-05-30-00;0;0;0;0;0
2016-06-29-05-45-00;4;4;0;0;0
2016-06-29-06-00-00;2;1;1;0;0
2016-06-29-06-15-00;3;3;0;0;0
2016-06-29-06-30-00;10;8;1;0;1
2016-06-29-06-45-00;6;6;0;0;0
2016-06-29-07-00-00;9;6;1;0;2
2016-06-29-07-15-00;17;11;3;1;2
2016-06-29-07-30-00;27;17;4;1;5
2016-06-29-07-45-00;33;19;3;4;7
2016-06-29-08-00-00;25;15;2;2;6
2016-06-29-08-15-00;26;17;0;1;8
2016-06-29-08-30-00;20;12;1;4;3
2016-06-29-08-45-00;26;15;4;2;5
2016-06-29-09-00-00;14;6;3;0;5
2016-06-29-09-15-00;14;10;1;1;2
2016-06-29-09-30-00;24;11;2;2;9
2016-06-29-09-45-00;24;11;2;0;11
2016-06-29-10-00-00;16;8;2;0;6
2016-06-29-10-15-00;22;9;2;3;8
2016-06-29-10-30-00;20;9;2;2;7
2016-06-29-10-45-00;34;11;8;3;12
2016-06-29-11-00-00;34;12;4;3;15
2016-06-29-11-15-00;22;12;1;3;6
2016-06-29-11-30-00;31;18;2;1;10
2016-06-29-11-45-00;29;11;3;6;9
2016-06-29-12-00-00;30;16;3;5;6
2016-06-29-12-15-00;30;14;4;2;10
2016-06-29-12-30-00;21;11;0;4;6
2016-06-29-12-45-00;30;14;5;0;11
2016-06-29-13-00-00;27;7;4;2;14
2016-06-29-13-15-00;31;6;9;4;12
2016-06-29-13-30-00;33;14;4;2;13
2016-06-29-13-45-00;29;7;5;3;14
2016-06-29-14-00-00;29;18;2;2;7
2016-06-29-14-15-00;34;13;3;1;17
2016-06-29-14-30-00;46;16;7;0;23
2016-06-29-14-45-00;25;7;9;3;6
2016-06-29-15-00-00;27;11;2;4;10
2016-06-29-15-15-00;41;11;5;2;23
2016-06-29-15-30-00;45;22;3;4;16
2016-06-29-15-45-00;37;9;5;7;16
2016-06-29-16-00-00;40;13;5;2;20
2016-06-29-16-15-00;43;16;3;1;23
2016-06-29-16-30-00;39;12;3;3;21
2016-06-29-16-45-00;37;18;2;4;13
2016-06-29-17-00-00;36;19;2;1;14
2016-06-29-17-15-00;37;12;3;3;19
2016-06-29-17-30-00;53;26;6;3;18
2016-06-29-17-45-00;42;16;4;2;20
2016-06-29-18-00-00;59;31;5;1;22
2016-06-29-18-15-00;32;14;1;1;16
2016-06-29-18-30-00;35;12;4;2;17
2016-06-29-18-45-00;46;14;6;3;23
2016-06-29-19-00-00;35;15;3;1;16
2016-06-29-19-15-00;40;21;5;5;9
2016-06-29-19-30-00;39;19;5;3;12
2016-06-29-19-45-00;34;12;6;1;15
2016-06-29-20-00-00;12;5;2;2;3
2016-06-29-20-15-00;28;12;5;4;7
2016-06-29-20-30-00;17;6;1;1;9
2016-06-29-20-45-00;16;2;7;0;7
2016-06-29-21-00-00;13;6;2;1;4
2016-06-29-21-15-00;14;5;2;1;6
2016-06-29-21-30-00;7;4;1;1;1
2016-06-29-21-45-00;4;3;0;1;0
2016-06-29-22-00-00;11;4;2;0;5
2016-06-29-22-15-00;6;4;0;1;1
2016-06-29-22-30-00;8;3;2;0;3
2016-06-29-22-45-00;2;0;1;0;1
2016-06-29-23-00-00;0;0;0;0;0
2016-06-29-23-15-00;2;0;1;0;1
2016-06-29-23-30-00;3;1;0;1;1
2016-06-29-23-45-00;2;0;1;0;1
2016-06-30-00-00-00;3;1;0;2;0
2016-06-30-00-15-00;0;0;0;0;0
2016-06-30-00-30-00;2;0;1;0;1
2016-06-30-00-45-00;0;0;0;0;0
2016-06-30-01-00-00;0;0;0;0;0
2016-06-30-01-15-00;0;0;0;0;0
2016-06-30-01-30-00;0;0;0;0;0
2016-06-30-01-45-00;1;1;0;0;0
2016-06-30-02-00-00;0;0;0;0;0
2016-06-30-02-15-00;0;0;0;0;0
2016-06-30-02-30-00;0;0;0;0;0
2016-06-30-02-45-00;2;1;0;0;1
2016-06-30-03-00-00;0;0;0;0;0
2016-06-30-03-15-00;0;0;0;0;0
2016-06-30-03-30-00;0;0;0;0;0
2016-06-30-03-45-00;0;0;0;0;0
2016-06-30-04-00-00;1;0;0;1;0
2016-06-30-04-15-00;0;0;0;0;0
2016-06-30-04-30-00;0;0;0;0;0
2016-06-30-04-45-00;0;0;0;0;0
2016-06-30-05-00-00;0;0;0;0;0
2016-06-30-05-15-00;2;0;0;1;1
2016-06-30-05-30-00;1;0;1;0;0
2016-06-30-05-45-00;2;2;0;0;0
2016-06-30-06-00-00;4;3;1;0;0
2016-06-30-06-15-00;5;4;0;1;0
2016-06-30-06-30-00;6;6;0;0;0
2016-06-30-06-45-00;3;2;1;0;0
2016-06-30-07-00-00;9;7;0;0;2
2016-06-30-07-15-00;13;10;1;0;2
2016-06-30-07-30-00;20;15;3;1;1
2016-06-30-07-45-00;22;10;0;3;9
2016-06-30-08-00-00;21;8;0;9;4
2016-06-30-08-15-00;14;12;0;0;2
2016-06-30-08-30-00;18;12;1;3;2
2016-06-30-08-45-00;17;10;0;0;7
2016-06-30-09-00-00;12;10;0;0;2
2016-06-30-09-15-00;12;8;0;2;2
2016-06-30-09-30-00;14;7;1;3;3
2016-06-30-09-45-00;13;6;1;1;5
2016-06-30-10-00-00;9;3;2;0;4
2016-06-30-10-15-00;10;7;1;1;1
2016-06-30-10-30-00;12;9;1;0;2
2016-06-30-10-45-00;20;9;3;0;8
2016-06-30-11-00-00;25;8;5;0;12
2016-06-30-11-15-00;22;8;6;1;7
2016-06-30-11-30-00;15;7;1;2;5
2016-06-30-11-45-00;24;14;2;3;5
2016-06-30-12-00-00;24;12;2;3;7
2016-06-30-12-15-00;34;11;2;1;20
2016-06-30-12-30-00;16;9;1;0;6
2016-06-30-12-45-00;19;5;1;0;13
2016-06-30-13-00-00;15;5;1;3;6
2016-06-30-13-15-00;20;10;2;1;7
2016-06-30-13-30-00;12;4;1;1;6
2016-06-30-13-45-00;27;11;6;4;6
2016-06-30-14-00-00;15;7;1;2;5
2016-06-30-14-15-00;23;10;1;3;9
2016-06-30-14-30-00;15;7;2;0;6
2016-06-30-14-45-00;21;9;1;0;11
2016-06-30-15-00-00;16;7;1;2;6
2016-06-30-15-15-00;19;13;2;1;3
2016-06-30-15-30-00;23;17;1;1;4
2016-06-30-15-45-00;25;9;3;1;12
2016-06-30-16-00-00;14;4;1;1;8
2016-06-30-16-15-00;16;10;0;1;5
2016-06-30-16-30-00;16;3;7;0;6
2016-06-30-16-45-00;24;9;3;0;12
2016-06-30-17-00-00;20;9;0;2;9
2016-06-30-17-15-00;31;12;3;2;14
2016-06-30-17-30-00;23;11;4;2;6
2016-06-30-17-45-00;37;14;2;2;19
2016-06-30-18-00-00;26;12;4;0;10
2016-06-30-18-15-00;23;12;1;1;9
2016-06-30-18-30-00;18;6;2;4;6
2016-06-30-18-45-00;12;2;0;2;8
2016-06-30-19-00-00;34;12;2;3;17
2016-06-30-19-15-00;22;9;2;2;9
2016-06-30-19-30-00;22;8;1;1;12
2016-06-30-19-45-00;12;1;3;0;8
2016-06-30-20-00-00;11;5;2;1;3
2016-06-30-20-15-00;19;4;2;3;10
2016-06-30-20-30-00;9;1;4;2;2
2016-06-30-20-45-00;27;14;5;2;6
2016-06-30-21-00-00;10;4;0;0;6
2016-06-30-21-15-00;8;2;0;3;3
2016-06-30-21-30-00;5;3;2;0;0
2016-06-30-21-45-00;9;2;1;3;3
2016-06-30-22-00-00;0;0;0;0;0
2016-06-30-22-15-00;3;1;0;1;1
2016-06-30-22-30-00;3;0;3;0;0
2016-06-30-22-45-00;0;0;0;0;0
2016-06-30-23-00-00;2;1;0;1;0
2016-06-30-23-15-00;0;0;0;0;0
2016-06-30-23-30-00;0;0;0;0;0
2016-06-30-23-45-00;1;0;1;0;0
2016-07-01-00-00-00;0;0;0;0;0
2016-07-01-00-15-00;1;0;0;0;1
2016-07-01-00-30-00;0;0;0;0;0
2016-07-01-00-45-00;0;0;0;0;0
2016-07-01-01-00-00;3;2;0;1;0
2016-07-01-01-15-00;0;0;0;0;0
2016-07-01-01-30-00;0;0;0;0;0
2016-07-01-01-45-00;0;0;0;0;0
2016-07-01-02-00-00;0;0;0;0;0
2016-07-01-02-15-00;0;0;0;0;0
2016-07-01-02-30-00;0;0;0;0;0
2016-07-01-02-45-00;0;0;0;0;0
2016-07-01-03-00-00;0;0;0;0;0
2016-07-01-03-15-00;0;0;0;0;0
