time,Kennedybruecke (Nord) Ri. Innenstadt,Kennedybruecke (Nord) Ri. Beuel,days
2018-02-01 08:45:00,30,5,2018-02-01
2018-02-01 09:00:00,17,4,2018-02-01
2018-02-01 09:15:00,17,4,2018-02-01
2018-02-01 09:30:00,18,4,2018-02-01
2018-02-01 09:45:00,20,4,2018-02-01
2018-02-01 10:00:00,19,3,2018-02-01
2018-02-01 10:15:00,19,4,2018-02-01
2018-02-01 10:30:00,19,1,2018-02-01
2018-02-01 10:45:00,14,6,2018-02-01
2018-02-01 11:00:00,20,7,2018-02-01
2018-02-01 11:15:00,12,8,2018-02-01
2018-02-01 11:30:00,15,7,2018-02-01
2018-02-01 11:45:00,18,3,2018-02-01
2018-02-01 12:00:00,14,4,2018-02-01
2018-02-01 12:15:00,10,1,2018-02-01
2018-02-01 12:30:00,12,3,2018-02-01
2018-02-01 12:45:00,12,5,2018-02-01
2018-02-01 13:00:00,21,3,2018-02-01
2018-02-01 13:15:00,18,5,2018-02-01
2018-02-01 13:30:00,19,2,2018-02-01
2018-02-01 13:45:00,15,4,2018-02-01
2018-02-01 14:00:00,18,4,2018-02-01
2018-02-01 14:15:00,17,2,2018-02-01
2018-02-01 14:30:00,11,2,2018-02-01
2018-02-01 14:45:00,18,1,2018-02-01
2018-02-01 15:00:00,19,7,2018-02-01
2018-02-01 15:15:00,15,6,2018-02-01
2018-02-01 15:30:00,19,9,2018-02-01
2018-02-01 15:45:00,19,6,2018-02-01
2018-02-01 16:00:00,16,3,2018-02-01
2018-02-01 16:15:00,22,7,2018-02-01
2018-02-01 16:30:00,18,4,2018-02-01
2018-02-01 16:45:00,24,8,2018-02-01
2018-02-01 17:00:00,23,10,2018-02-01
2018-02-01 17:15:00,20,8,2018-02-01
2018-02-01 17:30:00,20,8,2018-02-01
2018-02-01 17:45:00,20,3,2018-02-01
2018-02-01 18:00:00,12,7,2018-02-01
2018-02-01 18:15:00,11,6,2018-02-01
2018-02-01 18:30:00,10,3,2018-02-01
2018-02-01 18:45:00,15,3,2018-02-01
2018-02-01 19:00:00,15,2,2018-02-01
2018-02-01 19:15:00,13,9,2018-02-01
2018-02-01 19:30:00,7,2,2018-02-01
2018-02-01 19:45:00,10,1,2018-02-01
2018-02-01 20:00:00,15,3,2018-02-01
2018-02-01 20:15:00,12,8,2018-02-01
2018-02-01 20:30:00,7,2,2018-02-01
2018-02-01 20:45:00,8,2,2018-02-01
2018-02-01 21:00:00,5,1,2018-02-01
2018-02-01 21:15:00,6,0,2018-02-01
2018-02-01 21:30:00,4,3,2018-02-01
2018-02-01 21:45:00,0,0,2018-02-01
2018-02-01 22:00:00,5,1,2018-02-01
2018-02-01 22:15:00,5,2,2018-02-01
2018-02-01 22:30:00,5,1,2018-02-01
2018-02-01 22:45:00,3,0,2018-02-01
2018-02-01 23:00:00,1,1,2018-02-01
2018-02-01 23:15:00,5,0,2018-02-01
2018-02-01 23:30:00,0,0,2018-02-01
2018-02-01 23:45:00,1,0,2018-02-01
2018-03-01 00:00:00,1,0,2018-03-01
2018-03-01 00:15:00,0,1,2018-03-01
2018-03-01 00:30:00,0,0,2018-03-01
2018-03-01 00:45:00,1,0,2018-03-01
2018-03-01 01:00:00,0,0,2018-03-01
2018-03-01 01:15:00,0,0,2018-03-01
2018-03-01 01:30:00,0,0,2018-03-01
2018-03-01 01:45:00,0,0,2018-03-01
2018-03-01 02:00:00,0,0,2018-03-01
2018-03-01 02:15:00,0,0,2018-03-01
2018-03-01 02:30:00,0,0,2018-03-01
2018-03-01 02:45:00,0,0,2018-03-01
2018-03-01 03:00:00,0,1,2018-03-01
2018-03-01 03:15:00,1,0,2018-03-01
2018-03-01 03:30:00,0,0,2018-03-01
2018-03-01 03:45:00,0,0,2018-03-01
2018-03-01 04:00:00,2,0,2018-03-01
2018-03-01 04:15:00,0,0,2018-03-01
2018-03-01 04:30:00,1,0,2018-03-01
2018-03-01 04:45:00,0,0,2018-03-01
2018-03-01 05:00:00,0,0,2018-03-01
2018-03-01 05:15:00,0,1,2018-03-01
2018-03-01 05:30:00,1,1,2018-03-01
2018-03-01 05:45:00,2,0,2018-03-01
2018-03-01 06:00:00,4,0,2018-03-01
2018-03-01 06:15:00,3,1,2018-03-01
2018-03-01 06:30:00,12,1,2018-03-01
2018-03-01 06:45:00,13,0,2018-03-01
2018-03-01 07:00:00,11,4,2018-03-01
2018-03-01 07:15:00,16,1,2018-03-01
2018-03-01 07:30:00,20,5,2018-03-01
2018-03-01 07:45:00,26,3,2018-03-01
2018-03-01 08:00:00,29,2,2018-03-01
2018-03-01 08:15:00,30,9,2018-03-01
2018-03-01 08:30:00,40,7,2018-03-01
2018-03-01 08:45:00,44,4,2018-03-01
2018-03-01 09:00:00,15,5,2018-03-01
2018-03-01 09:15:00,13,1,2018-03-01
2018-03-01 09:30:00,32,4,2018-03-01
2018-03-01 09:45:00,13,2,2018-03-01
2018-03-01 10:00:00,7,1,2018-03-01
2018-03-01 10:15:00,9,2,2018-03-01
2018-03-01 10:30:00,11,4,2018-03-01
2018-03-01 10:45:00,10,3,2018-03-01
2018-03-01 11:00:00,16,2,2018-03-01
2018-03-01 11:15:00,8,1,2018-03-01
2018-03-01 11:30:00,15,2,2018-03-01
2018-03-01 11:45:00,10,4,2018-03-01
2018-03-01 12:00:00,5,2,2018-03-01
2018-03-01 12:15:00,9,4,2018-03-01
2018-03-01 12:30:00,8,1,2018-03-01
2018-03-01 12:45:00,7,4,2018-03-01
2018-03-01 13:00:00,4,1,2018-03-01
2018-03-01 13:15:00,9,6,2018-03-01
2018-03-01 13:30:00,17,2,2018-03-01
2018-03-01 13:45:00,12,3,2018-03-01
2018-03-01 14:00:00,6,2,2018-03-01
2018-03-01 14:15:00,13,1,2018-03-01
2018-03-01 14:30:00,5,1,2018-03-01
2018-03-01 14:45:00,9,0,2018-03-01
2018-03-01 15:00:00,10,4,2018-03-01
2018-03-01 15:15:00,12,3,2018-03-01
2018-03-01 15:30:00,13,7,2018-03-01
2018-03-01 15:45:00,12,4,2018-03-01
2018-03-01 16:00:00,14,4,2018-03-01
2018-03-01 16:15:00,19,3,2018-03-01
2018-03-01 16:30:00,17,5,2018-03-01
2018-03-01 16:45:00,11,4,2018-03-01
2018-03-01 17:00:00,16,4,2018-03-01
2018-03-01 17:15:00,8,7,2018-03-01
2018-03-01 17:30:00,11,11,2018-03-01
2018-03-01 17:45:00,11,4,2018-03-01
2018-03-01 18:00:00,9,1,2018-03-01
2018-03-01 18:15:00,12,7,2018-03-01
2018-03-01 18:30:00,15,4,2018-03-01
2018-03-01 18:45:00,17,7,2018-03-01
2018-03-01 19:00:00,14,4,2018-03-01
2018-03-01 19:15:00,11,2,2018-03-01
2018-03-01 19:30:00,7,2,2018-03-01
2018-03-01 19:45:00,8,4,2018-03-01
2018-03-01 20:00:00,14,9,2018-03-01
2018-03-01 20:15:00,9,2,2018-03-01
2018-03-01 20:30:00,2,2,2018-03-01
2018-03-01 20:45:00,12,2,2018-03-01
2018-03-01 21:00:00,4,2,2018-03-01
2018-03-01 21:15:00,3,0,2018-03-01
2018-03-01 21:30:00,3,2,2018-03-01
2018-03-01 21:45:00,1,1,2018-03-01
2018-03-01 22:00:00,2,1,2018-03-01
2018-03-01 22:15:00,3,4,2018-03-01
2018-03-01 22:30:00,2,2,2018-03-01
2018-03-01 22:45:00,7,5,2018-03-01
2018-03-01 23:00:00,2,1,2018-03-01
2018-03-01 23:15:00,6,1,2018-03-01
2018-03-01 23:30:00,1,0,2018-03-01
2018-03-01 23:45:00,2,1,2018-03-01
2018-04-01 00:00:00,1,0,2018-04-01
2018-04-01 00:15:00,1,0,2018-04-01
2018-04-01 00:30:00,3,0,2018-04-01
2018-04-01 00:45:00,0,0,2018-04-01
2018-04-01 01:00:00,1,0,2018-04-01
2018-04-01 01:15:00,0,1,2018-04-01
2018-04-01 01:30:00,0,0,2018-04-01
2018-04-01 01:45:00,0,0,2018-04-01
2018-04-01 02:00:00,0,0,2018-04-01
2018-04-01 02:15:00,0,0,2018-04-01
2018-04-01 02:30:00,0,0,2018-04-01
2018-04-01 02:45:00,0,0,2018-04-01
2018-04-01 03:00:00,1,1,2018-04-01
2018-04-01 03:15:00,0,0,2018-04-01
2018-04-01 03:30:00,0,0,2018-04-01
2018-04-01 03:45:00,0,0,2018-04-01
2018-04-01 04:00:00,0,2,2018-04-01
2018-04-01 04:15:00,1,0,2018-04-01
2018-04-01 04:30:00,1,2,2018-04-01
2018-04-01 04:45:00,1,0,2018-04-01
2018-04-01 05:00:00,1,0,2018-04-01
2018-04-01 05:15:00,3,1,2018-04-01
2018-04-01 05:30:00,2,0,2018-04-01
2018-04-01 05:45:00,5,1,2018-04-01
2018-04-01 06:00:00,5,0,2018-04-01
2018-04-01 06:15:00,7,1,2018-04-01
2018-04-01 06:30:00,16,1,2018-04-01
2018-04-01 06:45:00,21,4,2018-04-01
2018-04-01 07:00:00,21,2,2018-04-01
2018-04-01 07:15:00,25,4,2018-04-01
2018-04-01 07:30:00,29,3,2018-04-01
